"sourceLabels","targetLabels","numberOfNodes","percentageOfTotalNodes","Source Cypher File: Overview/Dependency_node_labels.cypher"
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",33,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType,JavaType",30,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",29,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType",28,0.01,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",27,0.01,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,JavaType",24,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",23,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",22,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,JavaType",21,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",20,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",20,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",19,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,JavaType",18,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",18,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,JavaType",17,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ResolvedDuplicateType,JavaType",16,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,JavaType,ResolvedDuplicateType",15,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ResolvedDuplicateType",14,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface,Record","Type,File,Java,ByteCode,JavaType",14,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType",13,0,""
"Type,File,Java,Class,ByteCode,Interface","Type,File,Java,ByteCode,JavaType",13,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",13,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",12,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface,Record","Type,File,Java,ByteCode,JavaType",12,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType",11,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",11,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Annotation,Record","Type,File,Java,ByteCode,JavaType",11,0,""
"Type,File,Java,ByteCode,Enum,Class","Type,File,Java,ByteCode,ResolvedDuplicateType",10,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",10,0,""
"Type,File,Java,Class,ByteCode,Annotation,GenericDeclaration","Type,File,Java,ByteCode,JavaType",10,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",9,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ExternalType",9,0,""
"Type,File,Java,Class,ByteCode,Record,Annotation,GenericDeclaration,Interface","Type,File,Java,ByteCode,JavaType",9,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",9,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",8,0,""
"Type,File,Java,Class,ByteCode,Enum,Record,Interface,GenericDeclaration,Annotation","Type,File,Java,ByteCode,JavaType",8,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ResolvedDuplicateType",8,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",7,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface","Type,File,Java,ByteCode,ResolvedDuplicateType",7,0,""
"Type,File,Java,Class,ByteCode,Record,Interface,GenericDeclaration,Annotation,Enum","Type,File,Java,ByteCode,JavaType",7,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,Void,ExternalAnnotation",6,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,Throwable,JavaType",6,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Interface","Type,File,Java,ByteCode,ResolvedDuplicateType",6,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,Record,Interface","Type,File,Java,ByteCode,JavaType",6,0,""
"Type,File,Java,ByteCode,Interface,Class,GenericDeclaration","Type,File,Java,ByteCode,Throwable,JavaType",5,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",5,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration,Interface","Type,File,Java,ByteCode,ResolvedDuplicateType",5,0,""
"Type,File,Java,Class,ByteCode,Record,GenericDeclaration,Interface,Throwable","Type,File,Java,ByteCode,JavaType",5,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,Throwable,JavaType,ExternalType,ExternalAnnotation",4,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,ExternalType,PrimitiveType",4,0,""
"Type,File,Java,Class,ByteCode,Interface,GenericDeclaration,Record","Type,File,Java,ByteCode,ResolvedDuplicateType",4,0,""
"Type,File,Java,Class,ByteCode,Interface,GenericDeclaration,Record,Throwable","Type,File,Java,ByteCode,JavaType",4,0,""
"File,Artifact,Jar,Archive,Zip,Java","File,Artifact,Jar,Archive,Zip,Java",3,0,""
"Type,File,Java,ByteCode,Interface,GenericDeclaration,Class,Throwable","Type,File,Java,ByteCode,JavaType",3,0,""
"Type,File,Java,Class,ByteCode","Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",3,0,""
"Type,File,Java,Class,ByteCode,GenericDeclaration","Type,File,Java,ByteCode,Throwable,JavaType",3,0,""
