"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","JdbcTokenStore",317,25,"updateToken",8,"updateToken",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator$CoordinationTask",313,77,"run",23,"run",""
"axon-test-5.0.1","org.axonframework.test.fixture","Reporter",224,45,"appendEventOverview",11,"appendEventOverview",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","WorkPackage",190,25,"processEvents",7,"processEvents",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.jpa","AggregateBasedJpaEventStorageEngine",189,17,"<init>",5,"queryEventsBy",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation","AnnotatedEntityMetamodel",170,18,"createOptionalChildForMember",6,"getExpectedRepresentation",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","JpaTokenStore",155,22,"storeToken",5,"validateSegment",""
"axon-common-5.0.1","org.axonframework.common.configuration","DefaultComponentRegistry",153,18,"invokeEnhancers",8,"hasComponent",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration","MessagingConfigurationDefaults",152,19,"registerComponents",4,"lambda$registerDecorators$10",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","AxonServerConfiguration",149,30,"<init>",3,"getNewPermitsThreshold",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorConfiguration",145,15,"describeTo",1,"spanFactory",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork","UnitOfWork$UnitOfWorkProcessingContext",143,21,"runNextPhase",6,"runNextPhase",""
"axon-common-5.0.1","org.axonframework.common","ReflectionUtils",142,17,"fieldNameFromMember",9,"fieldNameFromMember",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.reflection","AnnotationBasedEventSourcedEntityFactory",137,40,"addEntityCreatorExecutable",13,"addEntityCreatorExecutable",""
"axon-test-5.0.1","org.axonframework.test.fixture","AxonTestThenMessage",128,12,"verifyPayloadEquality",7,"verifyPayloadEquality",""
"axon-test-5.0.1","org.axonframework.test.server","AxonServerContainerUtils",122,20,"createContext",6,"waitForContextsCondition",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessor",119,36,"<init>",3,"lambda$new$0",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling","SimpleQueryBus",119,10,"emitUpdate",4,"query",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine",107,21,"lambda$appendEvents$0",4,"appendEvents",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration","MessagingConfigurer",107,5,"<init>",1,"lambda$registerCommandMonitor$29",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation","AnnotatedHandlerInspector",104,15,"initialize",4,"initialize",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorModule",101,8,"lambda$registerCustomizedConfiguration$2",2,"notCustomized",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.timeout","AxonTimeLimitedTask",98,16,"<init>",6,"detectInterruptionInsteadOfException",""
"axon-metrics-micrometer-5.0.1","org.axonframework.extension.metrics.micrometer","GlobalMetricRegistry",98,15,"registerEventProcessor",6,"registerComponentWithDefaultTags",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query","QueryConverter",92,21,"convertQueryMessage",3,"convertQueryMessage",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation","MethodInvokingMessageHandlingMember",91,23,"<init>",7,"<init>",""
"axon-common-5.0.1","org.axonframework.common.caching","WeakReferenceCache",91,13,"lambda$computeIfPresent$4",6,"put",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","ErrorCode",90,28,"<clinit>",2,"getQueryExecutionErrorCode",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro","AvroConverter",90,30,"convert",21,"convert",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator",89,26,"<init>",6,"start",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token","MergedTrackingToken",85,11,"unwrap",7,"unwrap",""
"axon-common-5.0.1","org.axonframework.common.infra","FilesystemStyleComponentDescriptor",84,14,"describeProperty",4,"describeProperty",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","AxonServerConfigurationEnhancer",83,14,"enhance",1,"<init>",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity","ConcreteEntityMetamodel",82,18,"<init>",7,"handleInstance",""
"axon-common-5.0.1","org.axonframework.common","TypeReflectionUtils",82,24,"getExactDirectSuperTypesOfParameterizedTypeOrClass",9,"getExactDirectSuperTypesOfParameterizedTypeOrClass",""
"axon-update-5.0.1","org.axonframework.update.detection","AxonVersionDetector",81,24,"detectAxonModules",11,"detectAxonModules",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore","AnnotationBasedTagResolver",81,19,"createTagsForValue",6,"tagsFrom",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","EventProcessorControlService",79,14,"processorTokenStoreOrGlobal",3,"infoSupplier",""
