"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled",1325,539,393,77,"Coordinator$CoordinationTask","run",23,"Coordinator$CoordinationTask","run","pooled",""
"axon-messaging-5.0.1","org.axonframework.messaging.core",1119,731,531,16,"MessageStreamUtils$Reducer","process",9,"MessageStreamUtils$Reducer","process","core",""
"axon-test-5.0.1","org.axonframework.test.fixture",719,318,202,45,"Reporter","appendEventOverview",11,"Reporter","appendEventOverview","fixture",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation",702,371,235,23,"MethodInvokingMessageHandlingMember","<init>",13,"MessageStreamResolverUtils","resolveToStream","annotation",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector",698,357,278,42,"AxonServerConnectionManager$Builder","build",12,"AxonServerConnectionManager$Builder","build","connector",""
"axon-common-5.0.1","org.axonframework.common.configuration",668,358,262,26,"DefaultAxonApplication$AxonConfigurationImpl","invokeLifecycleHandlers",8,"DefaultComponentRegistry","hasComponent","configuration",""
"axon-common-5.0.1","org.axonframework.common",608,383,182,24,"TypeReflectionUtils","getExactDirectSuperTypesOfParameterizedTypeOrClass",9,"ReflectionUtils","fieldNameFromMember","common",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore",591,371,232,19,"AnnotationBasedTagResolver","createTagsForValue",8,"AggregateBasedConsistencyMarker","from","eventstore",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event",535,215,161,21,"AggregateBasedAxonServerEventStorageEngine","lambda$appendEvents$0",4,"EventProcessorControlService$AxonProcessorInstructionHandler","mergeSegment","event",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.jpa",455,212,138,20,"GapAwareTrackingTokenOperations","withGapsCleaned",8,"SQLErrorCodesResolver","loadKeyViolationCodes","jpa",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc",455,196,130,25,"JdbcTokenStore","updateToken",8,"JdbcTokenStore","updateToken","jdbc",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling",381,216,172,14,"SimpleQueryHandlingComponent","handle",4,"SimpleQueryBus","query","queryhandling",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork",352,228,172,21,"UnitOfWork$UnitOfWorkProcessingContext","runNextPhase",6,"UnitOfWork$UnitOfWorkProcessingContext","runNextPhase","unitofwork",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query",325,127,90,21,"QueryConverter","convertQueryMessage",6,"FlowControlledResponseSender","responseSendingLoop","query",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation",321,130,75,18,"AnnotatedEntityMetamodel","createOptionalChildForMember",6,"RoutingKeyEventTargetMatcherDefinition","createChildEntityMatcher","annotation",""
"axon-test-5.0.1","org.axonframework.test.matchers",318,173,101,21,"DeepEqualsMatcher","matchingFields",8,"SequenceMatcher","matchesList","matchers",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig",307,175,131,29,"ConverterAutoConfiguration","buildConverter",9,"InterceptorAutoConfiguration","registerHandlerInterceptors","autoconfig",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token",297,217,115,12,"ReplayToken","advancedTo",7,"GapAwareTrackingToken","covers","token",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro",292,159,81,30,"AvroConverter","convert",21,"AvroConverter","convert","avro",""
"axon-metrics-micrometer-5.0.1","org.axonframework.extension.metrics.micrometer",281,99,87,15,"GlobalMetricRegistry","registerEventProcessor",6,"GlobalMetricRegistry","registerComponentWithDefaultTags","micrometer",""
"axon-modelling-5.0.1","org.axonframework.modelling.entity",268,119,76,18,"ConcreteEntityMetamodel","<init>",7,"ConcreteEntityMetamodel","handleInstance","entity",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration",259,132,120,19,"MessagingConfigurationDefaults","registerComponents",4,"MessagingConfigurationDefaults","lambda$registerDecorators$10","configuration",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot",254,143,140,9,"EventProcessorProperties$ProcessorSettings","<init>",2,"EventProcessorProperties$ProcessorSettings","processorMode","springboot",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",253,149,96,19,"TrackerStatus","split",8,"TrackerStatus","equals","segmenting",""
"axon-common-5.0.1","org.axonframework.common.caching",234,147,85,13,"WeakReferenceCache","lambda$computeIfPresent$4",8,"EhCacheAdapter$CacheEventListenerAdapter","onEvent","caching",""
"axon-common-5.0.1","org.axonframework.common.infra",233,98,56,14,"FilesystemStyleComponentDescriptor","describeProperty",7,"FilesystemStyleComponentDescriptor$TreeRenderer","renderProperty","infra",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling",228,120,101,18,"SimpleCommandHandlingComponent","handle",4,"SimpleCommandHandlingComponent","subscribe","commandhandling",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa",224,98,50,22,"JpaTokenStore","storeToken",6,"TokenEntry$PK","equals","jpa",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.timeout",217,94,56,16,"AxonTimeLimitedTask","<init>",6,"AxonTimeLimitedTask","detectInterruptionInsteadOfException","timeout",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling",207,104,84,11,"SimpleEventHandlingComponent","handle",4,"GenericEventMessage","andMetadata","eventhandling",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.annotation.reflection",197,89,48,40,"AnnotationBasedEventSourcedEntityFactory","addEntityCreatorExecutable",13,"AnnotationBasedEventSourcedEntityFactory","addEntityCreatorExecutable","reflection",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.subscribing",196,92,78,11,"SubscribingEventProcessor","process",6,"SubscribingEventProcessor","process","subscribing",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception",195,95,83,14,"JSR303ViolationException","convert",4,"DefaultDispatchInterceptorRegistry","resolveInterceptors","interception",""
"axon-test-5.0.1","org.axonframework.test.server",195,84,42,20,"AxonServerContainerUtils","createContext",12,"AxonServerContainer","equals","server",""
