"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,28,"./copy-template.ts,./loading-indicator.ts,./config.ts,./routes.ts,./typegen/route.ts,./vite/has-dependency.ts,./vite/has-rsc-plugin.ts,./vite/load-dotenv.ts,./vite/profiler.ts",""
0.87,1,"./lib/server-runtime/errors.ts",""
0.83,3,"./prompts-multi-select.ts,./prompts-select.ts,./lib/server-runtime/entry.ts",""
0.82,1,"./lib/dom/ssr/fog-of-war.ts",""
0.8,2,"./vite/optimize-deps-entries.ts,./vite/resolve-relative-route-file-path.ts",""
0.76,1,"./lib/server-runtime/urls.ts",""
0.71,1,"./lib/router/instrumentation.ts",""
0.7,1,"./lib/context.ts",""
0.68,1,"./lib/server-runtime/headers.ts",""
0.67,17,"./prompts-confirm.ts,./prompts-text.ts,./typegen/context.ts,./vite/cache.ts,./vite/dev.ts,./vite/remove-exports.ts,./vite/resolve-file-url.ts,./vite/route-chunks.ts,./vite/rsc/virtual-route-config.ts",""
0.6,4,"./vite/build.ts,./lib/server-runtime/data.ts,./lib/server-runtime/sessions.ts,./lib/types/route-data.ts",""
0.51,1,"./lib/server-runtime/routes.ts",""
0.5,5,"./index.ts,./prompts-prompt-base.ts,./vite/styles.ts,./dom-export.ts,./lib/dom/ssr/entry.ts",""
0.49,1,"./lib/router/router.ts",""
0.47,1,"./lib/server-runtime/cookies.ts",""
0.45,1,"./lib/dom/ssr/routeModules.ts",""
0.44,1,"./lib/types/route-module-annotations.ts",""
0.43,2,"./lib/router/history.ts,./lib/server-runtime/single-fetch.ts",""
0.4,2,"./prompt.ts,./lib/rsc/server.rsc.ts",""
0.33,6,"./utils.ts,./lib/actions.ts,./lib/server-runtime/serverHandoff.ts,./lib/types/route-module.ts,./vendor/turbo-stream-v2/turbo-stream.ts,./vendor/turbo-stream-v2/unflatten.ts",""
0.32,1,"./lib/router/utils.ts",""
0.31,1,"./index-react-server.ts",""
0.3,2,"./vite/rsc/virtual-route-modules.ts,./lib/server-runtime/server.ts",""
0.29,1,"./vite/babel.ts",""
0.22,1,"./config/routes.ts",""
0.2,1,"./typegen/index.ts",""
0.19,1,"./typegen/generate.ts",""
0.18,2,"./vite/vite.ts,./vite/rsc/plugin.ts",""
0.17,1,"./index.ts",""
0.15,1,"./config/config.ts",""
0.13,1,"./cli/commands.ts",""
0.09,1,"./vite/plugin.ts",""
0,30,"./index.ts,./server.ts,./stream.ts,./sessions/fileStorage.ts,./cli.ts,./manifest.ts,./cli/detectPackageManager.ts,./cli/run.ts,./cli/useJavascript.ts",""
