"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.test.extension.ProvidedAxonTestFixture","ProvidedAxonTestFixture","axon-test-5.1.1",221,2,1,1,""
"org.axonframework.messaging.core.MessageTypeNotResolvedException","MessageTypeNotResolvedException","axon-messaging-5.1.1",72.8333333333333,2,1,1,""
"org.axonframework.common.ProcessUtils","ProcessUtils","axon-common-5.1.1",20,2,1,1,""
"io.axoniq.framework.axonserver.connector.api.command.AxonServerCommandDispatchException","AxonServerCommandDispatchException","axon-server-connector-5.1.1",18,2,1,1,""
"org.axonframework.messaging.eventhandling.NoHandlerForEventException","NoHandlerForEventException","axon-messaging-5.1.1",10,2,1,1,""
"org.axonframework.test.matchers.ExactClassMatcher","ExactClassMatcher","axon-test-5.1.1",9.666666666666666,2,1,1,""
"org.axonframework.common.lock.DeadlockException","DeadlockException","axon-common-5.1.1",9,2,1,1,""
"org.axonframework.test.matchers.MatcherExecutionException","MatcherExecutionException","axon-test-5.1.1",6,2,1,1,""
"org.axonframework.common.configuration.AmbiguousComponentMatchException","AmbiguousComponentMatchException","axon-common-5.1.1",6,2,1,1,""
"org.axonframework.test.matchers.ExactSequenceMatcher","ExactSequenceMatcher","axon-test-5.1.1",4,2,1,1,""
"org.axonframework.test.matchers.ListWithAnyOfMatcher","ListWithAnyOfMatcher","axon-test-5.1.1",4,2,1,1,""
"org.axonframework.common.lifecycle.ShutdownInProgressException","ShutdownInProgressException","axon-common-5.1.1",4,2,1,1,""
"org.axonframework.test.matchers.ListWithAllOfMatcher","ListWithAllOfMatcher","axon-test-5.1.1",4,2,1,1,""
"org.axonframework.test.matchers.SequenceMatcher","SequenceMatcher","axon-test-5.1.1",4,2,1,1,""
"org.axonframework.eventsourcing.eventstore.EventStoreException","EventStoreException","axon-eventsourcing-5.1.1",3.8333333333333335,2,1,1,""
"org.axonframework.common.configuration.DuplicateModuleRegistrationException","DuplicateModuleRegistrationException","axon-common-5.1.1",3,2,1,1,""
"org.axonframework.common.ProcessRetriesExhaustedException","ProcessRetriesExhaustedException","axon-common-5.1.1",3,2,1,1,""
"org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException","WrongPolymorphicEntityTypeException","axon-modelling-5.1.1",2.166666666666666,2,1,1,""
"org.axonframework.messaging.core.interception.JSR303ViolationException","JSR303ViolationException","axon-messaging-5.1.1",2,2,1,1,""
"org.axonframework.messaging.core.annotation.MessageHandlerInvocationException","MessageHandlerInvocationException","axon-messaging-5.1.1",2,2,1,1,""
