"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionOverReferencesUtilities.cypher"
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.1.1",0,23.035178974074597,2,1,1,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.1.1",0,23.035178974074597,2,1,1,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.1.1",0,7.115028184813581,2,1,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.1",0,7.021395181913434,16,15,1,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.1.1",0,5.47938195315188,2,1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema$Builder","TokenSchema$Builder","axon-messaging-5.1.1",0,2.829387618250574,2,1,1,""
"org.axonframework.common.AxonTransientException","AxonTransientException","axon-common-5.1.1",0,1.3152568688593484,9,8,1,""
"org.axonframework.common.ExceptionUtils","ExceptionUtils","axon-common-5.1.1",0,1.2778249858191941,5,4,1,""
"org.axonframework.messaging.core.retry.RetryOutcome","RetryOutcome","axon-messaging-5.1.1",0,1.2149393386719465,2,1,1,""
"org.axonframework.messaging.core.retry.DoNotRetryOutcome","DoNotRetryOutcome","axon-messaging-5.1.1",0,1.2149393386719465,2,1,1,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","axon-common-5.1.1",0,1.1003369220891348,4,3,1,""
"org.axonframework.common.DefaultIdentifierFactory","DefaultIdentifierFactory","axon-common-5.1.1",0,1.0852371194590142,2,1,1,""
"org.axonframework.messaging.core.annotation.HasHandlerAttributes","HasHandlerAttributes","axon-messaging-5.1.1",0,0.9249302974643571,6,6,0,""
"org.axonframework.test.matchers.ListMatcher","ListMatcher","axon-test-5.1.1",0,0.69024176832026,4,4,0,""
