"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: domains/archetypes/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.1.1",1,25.218924094832786,47.914056678497346,53.85181024069589,5.937753562198545,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.1.1",1,11.228683138293563,21.486993138996564,23.035178974074597,1.5481858350780326,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.1.1",1,11.228683138293563,21.486993138996564,23.035178974074597,1.5481858350780326,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey","axon-messaging-5.1.1",1,7.655409662573601,14.737207664949679,22.39720790202485,7.660000237075169,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.1.1",1,5.060041759525349,9.834650754364223,18.59835757595238,8.763706821588158,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.1.1",1,5.004599223333534,9.729921791418997,16.88815291462526,7.158231123206262,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","axon-common-5.1.1",1,4.953374080875033,9.633159334019146,11.167066256391255,1.5339069223721093,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.1.1",1,4.880045315963202,9.49464392634189,11.042516110452677,1.5478721841107876,""
"org.axonframework.common.AxonException","AxonException","axon-common-5.1.1",1,4.132393810712935,8.082357040359634,9.503294943815503,1.4209379034558685,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.1.1",1,3.540333465036249,6.963976276009521,8.194843325795226,1.230867049785705,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.1.1",1,3.3286593909096487,6.564131539668937,7.115028184813581,0.5508966451446441,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.1.1",1,3.0291703872133713,5.998407550021431,10.529095461653233,4.5306879116318015,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.1",1,2.828939612402275,5.620178795782357,7.021395181913434,1.401216386131077,""
"org.axonframework.eventsourcing.eventstore.Position","Position","axon-eventsourcing-5.1.1",1,2.7054186171101358,5.386852064585352,6.270330651653184,0.8834785870678316,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.1.1",1,2.558568557689433,5.10945756772528,5.47938195315188,0.36992438542659983,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.1.1",1,2.4970696634234346,4.993288361531807,8.219755449865252,3.2264670883334445,""
"org.axonframework.common.annotation.Internal","Internal","axon-common-5.1.1",1,2.4166497986769713,4.841378120522021,6.992412980318732,2.15103485979671,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.1.1",1,2.4123370511515025,4.833231495082227,7.358098503854679,2.524867008772452,""
"org.axonframework.common.StringUtils","StringUtils","axon-common-5.1.1",1,2.2929037063933175,4.607626189179017,5.595076049378501,0.9874498601994834,""
