"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run/router",37,40,6,29,2,483.33333333333337,"StaticHandlerContext,Router,Action,Action.Pop,UNSAFE_mapRouteProperties,StaticHandler,createStaticHandler,RouteObject,StaticHandlerContext.matches,StaticHandlerContext.errors,StaticHandlerContext.actionData,UNSAFE_convertRoutesToDataRoutes,IDLE_BLOCKER,StaticHandlerContext.loaderData,AgnosticDataRouteMatch.route,StaticHandlerContext.basename,IDLE_NAVIGATION,IDLE_FETCHER,RevalidationState,StaticHandlerContext.location,AgnosticDataRouteObject.id,RouterState.historyAction,UNSAFE_invariant,RouterState.location,FutureConfig.v7_relativeSplatPath,Router.future,Router.routes",""
"server","@types/react",3,3,6,29,2,483.33333333333337,"React.JSX.Element,React.ReactNode",""
"react-router-dom","@remix-run/router",141,201,63,117,2,185.7142857142857,"RouteObject.id,RouteMatch.route,Router.fetch,RouteContextObject.matches,Router.deleteFetcher,Router.getFetcher,IDLE_FETCHER,UNSAFE_invariant,UNSAFE_RouteContext,RouterState.fetchers,BlockerBlocked.reset,useBlocker,Blocker.state,BlockerBlocked.proceed,BlockerFunction,History,FutureConfig,createPath,UNSAFE_NavigationContext,useResolvedPath,RouteObject.index,useLocation,joinPaths,Location.search,createHashHistory,HashHistory.location,HashHistory,HashHistory.listen,UNSAFE_logV6DeprecationWarnings,HashHistory.action,UNSAFE_useRouteId,FormEncType,HTMLFormMethod,Router.navigate,matchPath,Path.pathname,stripBasename,To,Location.pathname,useNavigation,UNSAFE_warning,Navigation.state,Location.key,useMatches,GetScrollRestorationKeyFunction,Router.enableScrollRestoration,Location.hash,History.listen,History.location,History.action,UNSAFE_DataRouterStateContext,Navigation.location,Navigator.encodeLocation,RouterState.navigation,Router.future,FutureConfig.v7_relativeSplatPath,Router.createHref,RouterState,Router.encodeLocation,RouterSubscriber,RouterState.location,RouterState.initialized,Router.window,RouterState.historyAction,ViewTransitionOpts.currentLocation,Fetcher.data,Router.state,RouterProviderProps,ViewTransitionOpts.nextLocation,Router.routes,Router.subscribe,Router.basename,RouterProps,FutureConfig.v7_partialHydration,RouteObject,Router,createBrowserHistory,Router.initialize,UNSAFE_mapRouteProperties,createRouter,useHref,JsonValue,JsonObject,NavigateOptions,HTMLFormMethod.toLowerCase,BrowserHistory,BrowserHistory.action,BrowserHistory.listen,BrowserHistory.location,useNavigate",""
"react-router-dom","@types/react",83,128,63,117,2,185.7142857142857,"React.forwardRef,React.useState,React.ForwardRefExoticComponent.displayName,React.useEffect,React.useContext,React.useMemo,React.useCallback,React.ReactPortal,React.ReactElement,React.CSSProperties,React.ReactNode,React.useRef,React.useLayoutEffect,React.JSX.Element,React.MutableRefObject.current,React.createContext,React.Context,React.RefAttributes,React.ForwardRefExoticComponent,React.MouseEvent.defaultPrevented,React.FormEvent.defaultPrevented,React.ForwardedRef,React.FormEvent.preventDefault,React.FormEvent.currentTarget,React.AnchorHTMLAttributes,React.MouseEvent,React.MouseEvent.preventDefault",""
"react-router-native","@types/react-native",11,14,17,24,4,141.1764705882353,"GestureResponderEvent,BackHandlerStatic.removeEventListener,BackHandlerStatic.addEventListener,BackHandler,TouchableHighlightProps,GestureResponderEvent.defaultPrevented,Linking,LinkingStatic.getInitialURL,LinkingStatic.addEventListener,LinkingStatic.removeEventListener",""
"react-router-native","@remix-run/router",9,10,17,24,4,141.1764705882353,"useNavigate,To,NavigateOptions,Location.search,useLocation,MemoryRouterProps",""
"react-router-native","@types/react",9,14,17,24,4,141.1764705882353,"React.useEffect,React.ReactNode,React.JSX.Element,React.MutableRefObject.current,React.useRef,React.useMemo,React.useCallback",""
"react-router-native","@ungap/url-search-params",2,4,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run/router",8,10,7,9,2,128.57142857142858,"createMemoryHistory,InitialEntry,Router,DataStrategyFunction,Router.initialize,createRouter,AgnosticPatchRoutesOnNavigationFunctionArgs,UNSAFE_warning",""
"react-router","@types/react",1,3,7,9,2,128.57142857142858,"React.createElement",""
