"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-common-5.0.3",,,false,,,1,764,114,101,23,12,8,"/org/axonframework/common/annotation -> /org/axonframework/common,/org/axonframework/common/jdbc -> /org/axonframework/common,/org/axonframework/common/property -> /org/axonframework/common,/org/axonframework/common/caching -> /org/axonframework/common","axon-common-5.0.3 -> axon-common-5.0.3","",""
"axon-common-5.0.3",,,false,,,2,937,103,93,3,2,3,"/org/axonframework/common/tx -> /org/axonframework/common,/org/axonframework/common/infra -> /org/axonframework/common/annotation,/org/axonframework/common/infra -> /org/axonframework/common/lifecycle","axon-common-5.0.3 -> axon-common-5.0.3","",""
"axon-conversion-5.0.3",,,false,,,1,764,114,101,4,4,1,"/org/axonframework/conversion/jackson -> /org/axonframework/conversion,/org/axonframework/conversion/converter -> /org/axonframework/conversion,/org/axonframework/conversion/jackson2 -> /org/axonframework/conversion,/org/axonframework/conversion/avro -> /org/axonframework/conversion","axon-conversion-5.0.3 -> axon-conversion-5.0.3","",""
"axon-conversion-5.0.3",,,true,,,1,764,114,101,9,4,3,"/org/axonframework/conversion -> /org/axonframework/common,/org/axonframework/conversion/avro -> /org/axonframework/common,/org/axonframework/conversion/jackson -> /org/axonframework/common/annotation,/org/axonframework/conversion/jackson2 -> /org/axonframework/common/annotation","axon-conversion-5.0.3 -> axon-common-5.0.3","",""
"axon-conversion-5.0.3",,,true,,,2,937,103,93,8,5,3,"/org/axonframework/conversion/jackson -> /org/axonframework/common,/org/axonframework/conversion/converter -> /org/axonframework/common,/org/axonframework/conversion/jackson2 -> /org/axonframework/common,/org/axonframework/conversion/converter -> /org/axonframework/common/infra","axon-conversion-5.0.3 -> axon-common-5.0.3","",""
"axon-conversion-5.0.3",,,true,,,3,888,94,68,6,5,3,"/org/axonframework/conversion -> /org/axonframework/common/annotation,/org/axonframework/conversion -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/jackson -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/jackson2 -> /org/axonframework/common/lifecycle","axon-conversion-5.0.3 -> axon-common-5.0.3","",""
"axon-conversion-5.0.3",,,true,,,4,535,89,52,2,1,2,"/org/axonframework/conversion/converter -> /org/axonframework/common/annotation,/org/axonframework/conversion/converter -> /org/axonframework/common/lifecycle","axon-conversion-5.0.3 -> axon-common-5.0.3","",""
"axon-eventsourcing-5.0.3",,,false,,,1,764,114,101,12,7,5,"/org/axonframework/eventsourcing/annotation -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.0.3 -> axon-eventsourcing-5.0.3","",""
"axon-eventsourcing-5.0.3",,,false,,,2,937,103,93,8,7,4,"/org/axonframework/eventsourcing/eventstore -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.0.3 -> axon-eventsourcing-5.0.3","",""
"axon-eventsourcing-5.0.3",,,false,,,3,888,94,68,5,3,2,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation/reflection,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/annotation/reflection","axon-eventsourcing-5.0.3 -> axon-eventsourcing-5.0.3","",""
"axon-eventsourcing-5.0.3",,,true,,,1,764,114,101,73,7,31,"/org/axonframework/eventsourcing/annotation -> /org/axonframework/common,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/common,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/common,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/common","axon-eventsourcing-5.0.3 -> axon-common-5.0.3,axon-eventsourcing-5.0.3 -> axon-conversion-5.0.3,axon-eventsourcing-5.0.3 -> axon-messaging-5.0.3,axon-eventsourcing-5.0.3 -> axon-modelling-5.0.3","",""
"axon-eventsourcing-5.0.3",,,true,,,2,937,103,93,97,7,46,"/org/axonframework/eventsourcing -> /org/axonframework/common,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/common,/org/axonframework/eventsourcing -> /org/axonframework/common/annotation,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/common/annotation","axon-eventsourcing-5.0.3 -> axon-common-5.0.3,axon-eventsourcing-5.0.3 -> axon-conversion-5.0.3,axon-eventsourcing-5.0.3 -> axon-messaging-5.0.3,axon-eventsourcing-5.0.3 -> axon-modelling-5.0.3","",""
"axon-eventsourcing-5.0.3",,,true,,,3,888,94,68,74,7,29,"/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/common/io,/org/axonframework/eventsourcing/configuration -> /org/axonframework/common/io,/org/axonframework/eventsourcing -> /org/axonframework/common/util,/org/axonframework/eventsourcing/annotation -> /org/axonframework/common/util","axon-eventsourcing-5.0.3 -> axon-common-5.0.3,axon-eventsourcing-5.0.3 -> axon-messaging-5.0.3,axon-eventsourcing-5.0.3 -> axon-modelling-5.0.3","",""
"axon-eventsourcing-5.0.3",,,true,,,4,535,89,52,34,7,10,"/org/axonframework/eventsourcing -> /org/axonframework/common/io,/org/axonframework/eventsourcing/annotation -> /org/axonframework/common/io,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/common/io,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/common/io","axon-eventsourcing-5.0.3 -> axon-common-5.0.3,axon-eventsourcing-5.0.3 -> axon-messaging-5.0.3,axon-eventsourcing-5.0.3 -> axon-modelling-5.0.3","",""
"axon-messaging-5.0.3",,,false,,,1,764,114,101,267,59,43,"/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/messaging/monitoring,/org/axonframework/messaging/core/configuration -> /org/axonframework/messaging/monitoring,/org/axonframework/messaging/core/configuration -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/messaging/monitoring/configuration","axon-messaging-5.0.3 -> axon-messaging-5.0.3","",""
"axon-messaging-5.0.3",,,false,,,2,937,103,93,286,59,39,"/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/core/annotation -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/eventhandling/processing/streaming/pooled -> /org/axonframework/messaging/monitoring/configuration","axon-messaging-5.0.3 -> axon-messaging-5.0.3","",""
"axon-messaging-5.0.3",,,false,,,3,888,94,68,335,57,30,"/org/axonframework/messaging/eventhandling/processing/streaming/pooled -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/processing/subscribing -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/eventhandling/interception -> /org/axonframework/messaging/commandhandling","axon-messaging-5.0.3 -> axon-messaging-5.0.3","",""
"axon-messaging-5.0.3",,,false,,,4,535,89,52,192,39,12,"/org/axonframework/messaging/eventhandling/replay -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/eventhandling/processing/streaming/token -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/eventhandling/conversion -> /org/axonframework/messaging/commandhandling/annotation,/org/axonframework/messaging/eventhandling/processing/streaming -> /org/axonframework/messaging/commandhandling/annotation","axon-messaging-5.0.3 -> axon-messaging-5.0.3","",""
"axon-messaging-5.0.3",,,false,,,5,118,32,32,31,7,7,"/org/axonframework/messaging/eventhandling/conversion -> /org/axonframework/messaging/commandhandling/gateway,/org/axonframework/messaging/eventhandling/processing/streaming -> /org/axonframework/messaging/commandhandling/gateway,/org/axonframework/messaging/eventhandling/processing/streaming/token/store -> /org/axonframework/messaging/commandhandling/gateway,/org/axonframework/messaging/eventhandling/processing/streaming/token/store/inmemory -> /org/axonframework/messaging/commandhandling/gateway","axon-messaging-5.0.3 -> axon-messaging-5.0.3","",""
"axon-messaging-5.0.3",,,true,,,1,764,114,101,147,54,12,"/org/axonframework/messaging/eventhandling/tracing -> /org/axonframework/common,/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/common,/org/axonframework/messaging/eventstreaming -> /org/axonframework/common,/org/axonframework/messaging/queryhandling -> /org/axonframework/common","axon-messaging-5.0.3 -> axon-common-5.0.3,axon-messaging-5.0.3 -> axon-conversion-5.0.3","",""
"axon-messaging-5.0.3",,,true,,,2,937,103,93,200,59,12,"/org/axonframework/messaging/queryhandling/interception -> /org/axonframework/common,/org/axonframework/messaging/queryhandling/gateway -> /org/axonframework/common,/org/axonframework/messaging/core/reflection -> /org/axonframework/common,/org/axonframework/messaging/core/correlation -> /org/axonframework/common","axon-messaging-5.0.3 -> axon-common-5.0.3,axon-messaging-5.0.3 -> axon-conversion-5.0.3","",""
"axon-messaging-5.0.3",,,true,,,3,888,94,68,175,59,10,"/org/axonframework/messaging/commandhandling/annotation -> /org/axonframework/common/io,/org/axonframework/messaging/commandhandling/configuration -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/annotation -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/common/io","axon-messaging-5.0.3 -> axon-common-5.0.3,axon-messaging-5.0.3 -> axon-conversion-5.0.3","",""
