"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",38167,23.83575331772053,""
"MODIFIES",38167,23.83575331772053,""
"UPDATES",26416,16.497111631537862,""
"COMMITTED",13488,8.423419203747072,""
"CREATES",7561,4.721935987509758,""
"HAS_PARENT",7517,4.694457455113192,""
"HAS_COMMIT",6744,4.211709601873536,""
"DELETES",5889,3.6777517564402813,""
"HAS_FILE",3576,2.233255269320843,""
"RENAMES",1699,1.0610460577673693,""
"CHANGED_TOGETHER_WITH",1691,1.0560499609679939,""
"HAS_NEW_NAME",1032,0.644496487119438,""
"HAS_AUTHOR",1000,0.624512099921936,""
"HAS_TAG",906,0.565807962529274,""
"ON_COMMIT",906,0.565807962529274,""
"DEPENDS_ON",898,0.5608118657298985,""
"HAS_KEY",668,0.4171740827478532,""
"HAS_VALUE",668,0.4171740827478532,""
"CONTAINS",598,0.3734582357533177,""
"OF_TYPE",358,0.2235753317720531,""
"HAS_COMMITTER",356,0.22232630757220923,""
"EXPORTS",309,0.19297423887587822,""
"REFERENCES",212,0.13239656518345042,""
"DECLARES",186,0.11615925058548009,""
"DECLARES_DEV_DEPENDENCY",169,0.10554254488680719,""
"DECLARES_DEPENDENCY",161,0.10054644808743168,""
"HAS_MEMBER",112,0.06994535519125683,""
"HAS_TYPE_ARGUMENT",96,0.05995316159250585,""
"DECLARES_SCRIPT",91,0.05683060109289617,""
"HAS_PARAMETER",84,0.05245901639344263,""
"RETURNS",82,0.05120999219359875,""
"CONTAINS_VALUE",51,0.03185011709601874,""
"RESOLVES_TO",40,0.02498048399687744,""
"IS_DESCRIBED_IN_NPM_PACKAGE",33,0.020608899297423888,""
"INITIALIZED_WITH",32,0.01998438719750195,""
"REQUIRES_CONCEPT",28,0.017486338797814208,""
"INCLUDES_CONCEPT",19,0.011865729898516784,""
"COPIES",15,0.00936768149882904,""
"COPY_OF",12,0.007494145199063231,""
"USES",11,0.006869633099141296,""
"DECLARES_PEER_DEPENDENCY",8,0.004996096799375488,""
"CALLS",6,0.0037470725995316155,""
"DECLARES_ENGINE",6,0.0037470725995316155,""
"EXTENDS",6,0.0037470725995316155,""
"HAS_ARGUMENT",6,0.0037470725995316155,""
"MEMBER",6,0.0037470725995316155,""
"PARENT",6,0.0037470725995316155,""
"CONTAINS_PROJECT",5,0.00312256049960968,""
"HAS_CONFIG",5,0.00312256049960968,""
"HAS_NPM_PACKAGE",5,0.00312256049960968,""
"HAS_ROOT",5,0.00312256049960968,""
"IN_REPOSITORY",5,0.00312256049960968,""
"CONSTRAINED_BY",4,0.002498048399687744,""
"HAS_HEAD",2,0.001249024199843872,""
"DECLARES_PUBLISH_CONFIG",1,0.000624512099921936,""
"HAS_BRANCH",1,0.000624512099921936,""
