"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Git",111726,96.91454941318321,""
"Change",90809,78.77050389042617,""
"Update",60310,52.31473851305049,""
"Create",18094,15.695288984499015,""
"Commit",11441,9.924273310028365,""
"Delete",8846,7.673290944892135,""
"File",6046,5.244485310063062,""
"Rename",3403,2.951866276901191,""
"Tag",1843,1.5986745660678505,""
"Person",1642,1.4243210187104778,""
"TS",1595,1.383551781268704,""
"Json",1445,1.253437193688575,""
"Author",1272,1.1033717026794931,""
"Type",1079,0.9359575999930605,""
"Value",806,0.6991490505972259,""
"Key",668,0.5794436300235074,""
"Scalar",603,0.5230606420721181,""
"NPM",470,0.4076923744177372,""
"Committer",370,0.3209493160309846,""
"Dependency",338,0.29319153734722375,""
"Primitive",293,0.25415716107318514,""
"Declared",290,0.25155486932158255,""
"ExternalDeclaration",215,0.18649757553151808,""
"Object",175,0.15180035217681706,""
"Copy",156,0.13531917108333408,""
"Literal",156,0.13531917108333408,""
"Union",120,0.10409167006410311,""
"ObjectMember",104,0.0902127807222227,""
"Script",91,0.07893618313194486,""
"Function",85,0.07373159962873971,""
"Property",65,0.05638298795138919,""
"Directory",50,0.0433715291933763,""
"FunctionParameter",40,0.034697223354701046,""
"Branch",37,0.03209493160309847,""
"Parameter",33,0.028625209267628356,""
"Package",29,0.02515548693215825,""
"Local",28,0.02428805634829073,""
"Variable",24,0.020818334012820624,""
"jQAssistant",20,0.017348611677350523,""
"Concept",19,0.016481181093482997,""
"Rule",19,0.016481181093482997,""
"Interface",17,0.014746319925747941,""
"Intersection",17,0.014746319925747941,""
"TypeAlias",16,0.013878889341880415,""
"Array",12,0.010409167006410312,""
"ExternalModule",11,0.009541736422542786,""
"NotIdentified",11,0.009541736422542786,""
"EnumMember",8,0.006939444670940207,""
"Call",6,0.005204583503205156,""
"Engine",6,0.005204583503205156,""
"Member",6,0.005204583503205156,""
"Module",6,0.005204583503205156,""
"Project",6,0.005204583503205156,""
"Repository",6,0.005204583503205156,""
"TypeParameterReference",6,0.005204583503205156,""
"Complex",5,0.004337152919337631,""
"TypeParameter",4,0.0034697223354701037,""
"Tuple",3,0.002602291751602578,""
"Enum",2,0.0017348611677350518,""
"Analyze",1,0.0008674305838675259,""
"Class",1,0.0008674305838675259,""
"Constructor",1,0.0008674305838675259,""
"Method",1,0.0008674305838675259,""
"PublishConfig",1,0.0008674305838675259,""
"Scan",1,0.0008674305838675259,""
"Task",1,0.0008674305838675259,""
