"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","axon-messaging-4.11.2",1392.6999999999998,69.24313207959615,52,51,1,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","axon-messaging-4.11.2",524.8833333333333,59.55180732402241,13,11,2,""
"org.axonframework.messaging.Message","Message","axon-messaging-4.11.2",5991.607142857144,41.04602937098101,210,207,3,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.11.2",1741,28.98420227971359,90,88,2,""
"org.axonframework.serialization.SerializedObject","SerializedObject","axon-messaging-4.11.2",1859.7499999999998,25.04047159554414,66,65,1,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.11.2",1759.666666666666,24.02362402543529,128,125,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.11.2",764.8333333333333,11.73263060482897,165,164,1,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-messaging-4.11.2",544.3666666666667,6.148907179672353,87,86,1,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","axon-messaging-4.11.2",561.7666666666667,5.56360400475095,115,114,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-messaging-4.11.2",724.4499999999999,5.334330532599414,113,110,3,""
"org.axonframework.serialization.Converter","Converter","axon-messaging-4.11.2",825.1666666666666,4.4661424915811265,18,16,2,""
"org.axonframework.config.Configuration","Configuration","axon-configuration-4.11.2",7041.89880952381,2.7448440870238655,83,50,33,""
"org.axonframework.messaging.ResultMessage","ResultMessage","axon-messaging-4.11.2",1816.7499999999998,2.6136083494274733,30,25,5,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType","RollbackConfigurationType","axon-messaging-4.11.2",1838.5,2.32420409875618,16,11,5,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","axon-messaging-4.11.2",5248.525,2.005056998216773,68,57,11,""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","axon-messaging-4.11.2",671.1833333333333,1.6247136598023082,39,36,3,""
"org.axonframework.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-4.11.2",542.2833333333334,1.4600822418569923,30,28,2,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-messaging-4.11.2",1080,1.3896441542786055,31,27,4,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","axon-server-connector-4.11.2",508,1.2448034897515265,35,28,7,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream","DomainEventStream","axon-eventsourcing-4.11.2",3246.2428571428563,1.1820273926708798,31,24,7,""
