"codeUnitName","shortCodeUnitName","projectName","betweenness","articleRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionDependencyHungryOrchestrators.cypher"
"org.axonframework.messaging.Message","Message","axon-messaging-4.11.2",5991.607142857144,10.457400067086068,210,207,3,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.11.2",1759.666666666666,5.614660736583287,128,125,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.11.2",764.8333333333333,4.566959006799679,165,164,1,""
"org.axonframework.serialization.SerializedObject","SerializedObject","axon-messaging-4.11.2",1859.7499999999998,4.488703037754069,66,65,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-messaging-4.11.2",724.4499999999999,3.532322291346622,113,110,3,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.11.2",1741,3.083016425273104,90,88,2,""
"org.axonframework.serialization.SerializedType","SerializedType","axon-messaging-4.11.2",1392.6999999999998,2.735013644034249,52,51,1,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","axon-messaging-4.11.2",561.7666666666667,2.6719105871667206,115,114,1,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-messaging-4.11.2",544.3666666666667,2.494251674266956,87,86,1,""
"org.axonframework.config.Configuration","Configuration","axon-configuration-4.11.2",7041.89880952381,1.4567049129654261,83,50,33,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","axon-messaging-4.11.2",5248.525,1.2716305249856132,68,57,11,""
"org.axonframework.messaging.ResultMessage","ResultMessage","axon-messaging-4.11.2",1816.7499999999998,1.2196934981464114,30,25,5,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","axon-server-connector-4.11.2",508,0.8967788426399178,35,28,7,""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","axon-messaging-4.11.2",671.1833333333333,0.8709057954295688,39,36,3,""
"org.axonframework.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-4.11.2",542.2833333333334,0.8301770681424196,30,28,2,""
"org.axonframework.serialization.Converter","Converter","axon-messaging-4.11.2",825.1666666666666,0.8141003329838109,18,16,2,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream","DomainEventStream","axon-eventsourcing-4.11.2",3246.2428571428563,0.8013022405495981,31,24,7,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","axon-messaging-4.11.2",524.8833333333333,0.743893230486384,13,11,2,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-messaging-4.11.2",1080,0.641457270284176,31,27,4,""
"org.axonframework.eventhandling.EventBus","EventBus","axon-messaging-4.11.2",491.6888888888889,0.5478313042481022,40,37,3,""
