"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionOverReferencesUtilities.cypher"
"org.axonframework.messaging.Message","Message","axon-messaging-4.11.2",0.028206880838459784,41.04602937098101,210,207,3,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.11.2",0.04205851619644723,28.98420227971359,90,88,2,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.11.2",0.04392224409448819,24.02362402543529,128,125,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.11.2",0.029785661492978566,11.73263060482897,165,164,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-messaging-4.11.2",0.005698005698005698,10.618569273891483,27,26,1,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-messaging-4.11.2",0.04036353916065223,6.148907179672353,87,86,1,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","axon-messaging-4.11.2",0.04012204424103737,5.56360400475095,115,114,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-messaging-4.11.2",0.024336283185840708,5.334330532599414,113,110,3,""
"org.axonframework.common.TypeReflectionUtils$VarMap","TypeReflectionUtils$VarMap","axon-messaging-4.11.2",0,2.8870727727025667,6,3,3,""
"org.axonframework.common.AxonTransientException","AxonTransientException","axon-messaging-4.11.2",0,2.600674867713142,14,13,1,""
"org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition","XStreamAutoConfiguration$XStreamConfiguredCondition","axon-spring-boot-autoconfigure-4.11.2",0,2.508910243121957,9,5,4,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema$Builder","SagaSchema$Builder","axon-modelling-4.11.2",0,2.4440544167991938,2,1,1,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager","axon-messaging-4.11.2",0.04196738839882384,1.8295769930692616,87,86,1,""
"org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$AvroConfiguredCondition","AvroSerializerAutoConfiguration$AvroConfiguredCondition","axon-spring-boot-autoconfigure-4.11.2",0,1.721498412972912,5,3,2,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","axon-messaging-4.11.2",0,1.6347378363453966,13,12,1,""
"org.axonframework.common.DefaultIdentifierFactory","DefaultIdentifierFactory","axon-messaging-4.11.2",0,1.539442760572092,2,1,1,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-messaging-4.11.2",0.034408602150537634,1.3896441542786055,31,27,4,""
"org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties","DistributedCommandBusProperties$JGroupsProperties","axon-spring-boot-autoconfigure-4.11.2",0,1.2311089022148698,3,2,1,""
"org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties$Gossip","DistributedCommandBusProperties$JGroupsProperties$Gossip","axon-spring-boot-autoconfigure-4.11.2",0,1.1963758685202766,2,1,1,""
"org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration$OnMissingDefaultSchemaStoreCondition","AvroSerializerAutoConfiguration$OnMissingDefaultSchemaStoreCondition","axon-spring-boot-autoconfigure-4.11.2",0,1.1309395403611282,3,2,1,""
