"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,148,69,86,"./server.ts uses ./binaryTypes.ts,./server.ts uses ./index.ts,./index.ts uses ./server.ts,./index.ts uses ./copy-template.ts",""
3,41,24,29,"./index.ts uses ./sessions/arcTableSessionStorage.ts,./lib/errors.ts uses ./index.ts,./lib/context.ts uses ./index.ts,./lib/server-runtime/single-fetch.ts uses ./lib/actions.ts",""
4,116,43,40,"./lib/rsc/route-modules.ts uses ./dom-export.ts,./lib/rsc/server.rsc.ts uses ./dom-export.ts,./lib/rsc/server.rsc.ts uses ./index-react-server-client.ts,./lib/router/instrumentation.ts uses ./index-react-server.ts",""
5,48,22,18,"./lib/dom/ssr/fog-of-war.ts uses ./index-react-server.ts,./lib/server-runtime/sessions/memoryStorage.ts uses ./index-react-server.ts,./lib/server-runtime/sessions/cookieStorage.ts uses ./index-react-server.ts,./lib/dom/ssr/routeModules.ts uses ./index-react-server.ts",""
6,1,1,1,"./lib/server-runtime/single-fetch.ts uses ./vendor/turbo-stream-v2/turbo-stream.ts",""
