"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-7.13.2","copy-template",2,0,2,33,""
"react-router-7.13.2","create-react-router",2,0,0,28,""
"react-router-7.13.2","loading-indicator",1,0,1,12,""
"react-router-7.13.2","prompt",1,0,1,2,""
"react-router-7.13.2","prompts-confirm",3,0,1,5,""
"react-router-7.13.2","prompts-multi-select",2,0,1,5,""
"react-router-7.13.2","prompts-prompt-base",2,0,8,14,""
"react-router-7.13.2","prompts-select",3,0,3,6,""
"react-router-7.13.2","prompts-text",2,0,1,8,""
"react-router-7.13.2","utils",28,0,36,28,""
"react-router-7.13.2","defineRoutes",3,0,2,0,""
"react-router-7.13.2","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.13.2","manifest",3,0,4,0,""
"react-router-7.13.2","normalizeSlashes",1,0,1,3,""
"react-router-7.13.2","binaryTypes",1,0,1,0,""
"react-router-7.13.2","react-router-architect",4,0,3,0,""
"react-router-7.13.2","server",6,0,3,22,""
"react-router-7.13.2","arcTableSessionStorage",1,0,1,6,""
"react-router-7.13.2","dom-export",7,0,19,0,""
"react-router-7.13.2","react-router",5,0,9,4,""
"react-router-7.13.2","react-router",40,0,112,4,""
"react-router-7.13.2","react-router",171,0,379,13,""
"react-router-7.13.2","actions",1,0,3,0,""
"react-router-7.13.2","context",19,0,11,10,""
"react-router-7.13.2","errors",4,0,2,0,""
"react-router-7.13.2","href",1,0,2,0,""
"react-router-7.13.2","dom",14,0,6,0,""
"react-router-7.13.2","global",2,0,0,0,""
"react-router-7.13.2","data",1,0,0,0,""
"react-router-7.13.2","entry",5,0,12,0,""
"react-router-7.13.2","errors",1,0,1,0,""
"react-router-7.13.2","fog-of-war",6,0,3,5,""
"react-router-7.13.2","invariant",1,0,0,0,""
"react-router-7.13.2","links",8,0,0,9,""
"react-router-7.13.2","markup",1,0,1,0,""
"react-router-7.13.2","routeModules",21,0,27,6,""
"react-router-7.13.2","history",25,0,40,0,""
"react-router-7.13.2","instrumentation",9,0,14,0,""
"react-router-7.13.2","links",3,0,6,0,""
"react-router-7.13.2","router",34,0,53,1,""
"react-router-7.13.2","utils",86,0,175,3,""
"react-router-7.13.2","route-modules",2,0,0,0,""
"react-router-7.13.2","server",22,0,40,17,""
"react-router-7.13.2","browser",1,0,1,0,""
"react-router-7.13.2","server",1,0,0,0,""
"react-router-7.13.2","build",5,0,11,0,""
"react-router-7.13.2","cookies",6,0,19,4,""
"react-router-7.13.2","crypto",2,0,2,0,""
"react-router-7.13.2","data",2,0,7,0,""
"react-router-7.13.2","dev",3,0,4,2,""
"react-router-7.13.2","entry",1,0,1,0,""
"react-router-7.13.2","errors",5,0,5,0,""
"react-router-7.13.2","headers",2,0,3,1,""
"react-router-7.13.2","invariant",1,0,0,0,""
"react-router-7.13.2","mode",2,0,5,0,""
"react-router-7.13.2","routeMatching",2,0,2,0,""
"react-router-7.13.2","routes",4,0,6,9,""
"react-router-7.13.2","server",3,0,4,0,""
"react-router-7.13.2","serverHandoff",2,0,2,0,""
"react-router-7.13.2","sessions",11,0,3,10,""
"react-router-7.13.2","single-fetch",8,0,5,4,""
"react-router-7.13.2","urls",1,0,3,0,""
"react-router-7.13.2","warnings",1,0,2,0,""
"react-router-7.13.2","cookieStorage",1,0,2,2,""
"react-router-7.13.2","memoryStorage",1,0,2,1,""
"react-router-7.13.2","future",2,0,3,0,""
"react-router-7.13.2","internal",2,0,0,0,""
"react-router-7.13.2","params",1,0,0,0,""
"react-router-7.13.2","register",4,0,1,0,""
"react-router-7.13.2","route-data",7,0,6,0,""
"react-router-7.13.2","route-module-annotations",1,0,1,0,""
"react-router-7.13.2","route-module",1,0,3,0,""
"react-router-7.13.2","serializes-to",1,0,1,0,""
"react-router-7.13.2","utils",6,0,1,0,""
"react-router-7.13.2","flatten",1,0,1,0,""
"react-router-7.13.2","turbo-stream",2,0,1,0,""
"react-router-7.13.2","unflatten",1,0,1,0,""
"react-router-7.13.2","utils",24,0,46,0,""
