"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.3","annotation","org.axonframework.messaging.core.annotation",1192.8000000000002,1,""
"axon-messaging-5.0.3","core","org.axonframework.messaging.core",1029.2333333333331,2,""
"axon-messaging-5.0.3","conversion","org.axonframework.messaging.core.conversion",432.08333333333337,3,""
"axon-messaging-5.0.3","sequencing","org.axonframework.messaging.core.sequencing",415.1333333333333,4,""
"axon-messaging-5.0.3","unitofwork","org.axonframework.messaging.core.unitofwork",375.78333333333336,5,""
"axon-server-connector-5.0.3","connector","org.axonframework.axonserver.connector",335,6,""
"axon-messaging-5.0.3","annotation","org.axonframework.messaging.commandhandling.annotation",219.08333333333331,7,""
"axon-messaging-5.0.3","configuration","org.axonframework.messaging.eventhandling.configuration",191.25,8,""
"axon-server-connector-5.0.3","event","org.axonframework.axonserver.connector.event",183,9,""
"axon-messaging-5.0.3","transaction","org.axonframework.messaging.core.unitofwork.transaction",170.15,10,""
