"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-messaging-5.0.3","conversion","org.axonframework.messaging.eventhandling.conversion",1,0.4347877720736525,1,""
"axon-common-5.0.3","io","org.axonframework.common.io",1,0.21513915966756647,2,""
"axon-messaging-5.0.3","token","org.axonframework.messaging.eventhandling.processing.streaming.token",1,0.0376550361456186,3,""
"axon-update-5.0.3","detection","org.axonframework.update.detection",1,0,4,""
"axon-conversion-5.0.3","conversion","org.axonframework.conversion",1,0,5,""
"axon-messaging-5.0.3","jpa","org.axonframework.messaging.core.unitofwork.transaction.jpa",0.9256758832086696,0.4347877720736525,6,""
"axon-update-5.0.3","configuration","org.axonframework.update.configuration",0.9134229505404832,0,7,""
"axon-messaging-5.0.3","streaming","org.axonframework.messaging.eventhandling.processing.streaming",0.8879159529793733,0.21444241493958893,8,""
"axon-messaging-5.0.3","processing","org.axonframework.messaging.eventhandling.processing",0.8766876874101467,0,9,""
"axon-messaging-5.0.3","conversion","org.axonframework.messaging.core.conversion",0.8743941735632857,0.22214891394660707,10,""
