"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: domains/overview/queries/overview/Node_label_count.cypher"
"Git",105846,51.53039117840365,""
"TS",94102,45.812906209683305,""
"Type",88226,42.95221635305859,""
"Change",86046,41.890898468878554,""
"Update",57173,27.83427862028675,""
"NotIdentified",54186,26.380078381733647,""
"Create",17009,8.280713711934958,""
"Declared",10883,5.298313088775833,""
"Commit",10711,5.2145760814001605,""
"Primitive",9616,4.6814829239794555,""
"Delete",8942,4.353350697402692,""
"File",6503,3.165940459093011,""
"Union",5440,2.64842627978871,""
"Json",4109,2.0004381587595237,""
"Literal",3658,1.7808719359314527,""
"Value",3137,1.527226698473747,""
"Rename",2850,1.3875027384922471,""
"Object",1935,0.9420413329763152,""
"Key",1929,0.9391202745794892,""
"ObjectMember",1800,0.8763175190477349,""
"Scalar",1671,0.8135147635159805,""
"Person",1658,0.8071858036561914,""
"Function",1308,0.6367907305080207,""
"Author",1295,0.6304617706482316,""
"NPM",1229,0.5983301282831479,""
"Tag",1224,0.5958959129524597,""
"Parameter",1182,0.5754485041746793,""
"ExternalDeclaration",1012,0.4926851829312821,""
"Dependency",880,0.42842189820111487,""
"FunctionParameter",719,0.35004016455295633,""
"Property",582,0.283342664492101,""
"Committer",361,0.1757503468756846,""
"TypeAlias",332,0.16163189795769334,""
"Variable",268,0.130473941724885,""
"TypeParameter",225,0.10953968988096686,""
"Script",224,0.10905284681482924,""
"Local",213,0.10369757308731531,""
"ExternalModule",179,0.08714490883863586,""
"TypeParameterReference",169,0.08227647817725955,""
"Module",159,0.07740804751588326,""
"Interface",141,0.0686448723254059,""
"Intersection",131,0.0637764416640296,""
"Method",121,0.0589080110026533,""
"ModuleMembers",105,0.05111852194445121,""
"Call",100,0.04868430661376305,""
"Member",96,0.04673693434921253,""
"StronglyConnectedComponent",91,0.04430271901852438,""
"Complex",87,0.04235534675397386,""
"Copy",72,0.0350527007619094,""
"Array",67,0.03261848543122125,""
"Package",62,0.03018427010053309,""
"Tuple",48,0.023368467174606264,""
"Directory",45,0.021907937976193375,""
"Engine",31,0.015092135050266546,""
"Null",23,0.011197390521165501,""
"jQAssistant",20,0.00973686132275261,""
"Concept",19,0.00925001825661498,""
"Rule",19,0.00925001825661498,""
"WeaklyConnectedComponent",14,0.0068158029259268275,""
"Scan",13,0.006328959859789197,""
"Class",12,0.005842116793651566,""
"Repository",12,0.005842116793651566,""
"AccessorProperty",11,0.005355273727513936,""
"Constructor",11,0.005355273727513936,""
"Getter",11,0.005355273727513936,""
"Project",11,0.005355273727513936,""
"BugTracker",9,0.004381587595238675,""
"EnumMember",9,0.004381587595238675,""
"NpmNonDevPackage",7,0.0034079014629634138,""
"Export",5,0.0024342153306881526,""
"Binary",3,0.0014605291984128915,""
"Enum",3,0.0014605291984128915,""
"NpmDevPackage",2,0.000973686132275261,""
"Overrides",2,0.000973686132275261,""
"TestEnvironment",2,0.000973686132275261,""
"TestRelated",2,0.000973686132275261,""
"Analyze",1,0.0004868430661376305,""
"Branch",1,0.0004868430661376305,""
"Setter",1,0.0004868430661376305,""
"Task",1,0.0004868430661376305,""
