"sourceLabels","targetLabels","numberOfNodes","percentageOfTotalNodes","Source Cypher File: domains/overview/queries/overview/Dependency_node_labels.cypher"
"TS,Function","TS,ExternalDeclaration",1186,0.57,""
"TS,Function","TS,Function",826,0.39,""
"TS,Function","TS,ExternalModule",445,0.21,""
"TS,Variable","TS,ExternalDeclaration",383,0.18,""
"TS,Function","TS,Property",381,0.18,""
"TS,Function","TS,Interface",374,0.18,""
"File,TS,Local,Module","TS,ExternalDeclaration",310,0.15,""
"TS,Function","TS,TypeAlias",307,0.15,""
"TS,Function","TS,Variable",295,0.14,""
"TS,TypeAlias","TS,TypeAlias",188,0.09,""
"TS,TypeAlias","TS,ExternalDeclaration",176,0.08,""
"File,TS,Local,Module","TS,ExternalDeclaration",151,0.07,""
"TS,Variable","TS,ExternalModule",150,0.07,""
"TS,Function","File,TS,Local,Module",147,0.07,""
"StronglyConnectedComponent,ModuleMembers","StronglyConnectedComponent,ModuleMembers",143,0.07,""
"TS,Variable","TS,Variable",115,0.05,""
"TS,Variable","TS,Function",98,0.05,""
"TS,Function","File,TS,Local,Module",97,0.05,""
"TS,Interface","TS,Interface",96,0.05,""
"Package,File,Json,NPM","Package,File,Json,NPM,NpmNonDevPackage",95,0.05,""
"TS,Property","File,TS,Local,Module",70,0.03,""
"TS,TypeAlias","TS,Interface",68,0.03,""
"File,TS,Local,Module","TS,TypeAlias",64,0.03,""
"TS,Interface","TS,TypeAlias",62,0.03,""
"TS,Property","TS,Interface",57,0.03,""
"TS,Variable","TS,TypeAlias",54,0.03,""
"TS,TypeAlias","File,TS,Local,Module",53,0.03,""
"File,TS,Local,Module","TS,Interface",48,0.02,""
"TS,Function","TS,Class",48,0.02,""
"TS,Function","File,TS,Local,Module",43,0.02,""
"File,TS,Local,Module","TS,ExternalDeclaration",42,0.02,""
"TS,Property","TS,TypeAlias",42,0.02,""
"TS,Class","TS,ExternalDeclaration",41,0.02,""
"File,TS,Local,Module","TS,ExternalDeclaration",40,0.02,""
"TS,Function","TS,Method,File,Local,Module",40,0.02,""
"TS,TypeAlias","TS,ExternalModule",40,0.02,""
"TS,Interface","File,TS,Local,Module",38,0.02,""
"TS,Property,File,Local,Module","TS,ExternalDeclaration",33,0.02,""
"TS,Variable","TS,Interface",33,0.02,""
"File,TS,Local,Module","TS,ExternalDeclaration",30,0.01,""
"TS,Function","TS,EnumMember",30,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration",29,0.01,""
"TS,Constructor","TS,Property",29,0.01,""
"TS,Function","TS,Enum",29,0.01,""
"TS,Property","File,TS,Local,Module",29,0.01,""
"TS,Method,File,Local,Module","TS,ExternalDeclaration",28,0.01,""
"File,TS,Local,Module","TS,Property,ExternalDeclaration",27,0.01,""
"TS,Property","TS,ExternalModule",27,0.01,""
"File,TS,Local,Module","TS,ExternalModule",26,0.01,""
"File,TS,Local,Module","TS,Function",25,0.01,""
"TS,Interface","TS,ExternalDeclaration",25,0.01,""
"TS,Variable","File,TS,Local,Module",25,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration",24,0.01,""
"File,TS,Local,Module","TS,Function,ExternalDeclaration",23,0.01,""
"TS,Class","TS,Property",23,0.01,""
"TS,Function","File,TS,Local,Module",23,0.01,""
"TS,Method","TS,TypeAlias",23,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration,Function",22,0.01,""
"TS,Function","File,TS,Local,Module",22,0.01,""
"TS,Method","File,TS,Local,Module",22,0.01,""
"File,TS,Local,Module","TS,Function",21,0.01,""
"TS,Function","File,TS,Local,Module",21,0.01,""
"TS,Variable","TS,Property",21,0.01,""
"File,TS,Local,Module","TS,Function,Variable",19,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration",18,0.01,""
"TS,Class","TS,ExternalModule",18,0.01,""
"TS,Method,File,Local,Module","TS,Interface",18,0.01,""
"File,TS,Local,Module","TS,Variable,TypeAlias,ExternalDeclaration,ExternalModule",17,0.01,""
"TS,Function","File,TS,Local,Module",17,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration",16,0.01,""
"Package,File,Json,NPM","Package,File,Json,NPM,NpmDevPackage",16,0.01,""
"TS,Interface,File,Local,Module","TS,ExternalModule",16,0.01,""
"TS,Interface,Variable","File,TS,Local,Module",16,0.01,""
"TS,TypeAlias","TS,Variable",16,0.01,""
"File,TS,Local,Module","TS,TypeAlias,ExternalDeclaration,Function",15,0.01,""
"TS,Function","File,TS,Local,Module",15,0.01,""
"TS,TypeAlias","File,TS,Local,Module",15,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration,ExternalModule",14,0.01,""
"TS,Function","File,TS,Local,Module",14,0.01,""
"TS,Constructor,File,Local,Module","TS,ExternalDeclaration",13,0.01,""
"TS,Method,File,Local,Module","TS,ExternalModule",13,0.01,""
"TS,TypeAlias","File,TS,Local,Module",13,0.01,""
"File,TS,Local,Module","TS,ExternalDeclaration,ExternalModule",12,0.01,""
"TS,Method,File,Local,Module","TS,Property",12,0.01,""
"File,TS,Local,Module","TS,Variable,Function,ExternalDeclaration,Interface,ExternalModule",11,0.01,""
"Package,File,Json,NPM,NpmNonDevPackage","Package,File,Json,NPM,NpmNonDevPackage",11,0.01,""
"TS,Function","TS,AccessorProperty,File,Local,Module",11,0.01,""
"File,TS,Local,Module","TS,TypeAlias,Property,ExternalDeclaration,Interface",10,0,""
"TS,Function","File,TS,Local,Module",10,0,""
"TS,Method,File,Local,Module,Class","TS,Function",10,0,""
"File,TS,Local,Module","TS,ExternalDeclaration,ExternalModule",9,0,""
"TS,Class","TS,Interface",9,0,""
"TS,Interface","File,TS,Local,Module",9,0,""
"TS,Method","TS,Variable",9,0,""
"File,TS,Local,Module","TS,TypeAlias,Function,ExternalDeclaration,Method,Property,ExternalModule",8,0,""
"TS,Class","TS,Variable",8,0,""
"TS,Function","File,TS,Local,Module",8,0,""
"TS,Property,TypeAlias","File,TS,Local,Module",8,0,""
"File,TS,Local,Module","TS,ExternalDeclaration,Property",7,0,""
"TS,Constructor,File,Local,Module","TS,ExternalModule",7,0,""
"TS,Function","File,TS,Local,Module",7,0,""
"TS,Property","File,TS,Local,Module",7,0,""
"TS,Property,Interface","TS,Enum",7,0,""
"TS,TypeAlias","File,TS,Local,Module",7,0,""
"TS,Variable","File,TS,Local,Module",7,0,""
"File,TS,Local,Module","TS,Function,TypeAlias,Variable,Property,ExternalDeclaration,ExternalModule,EnumMember",6,0,""
"TS,Constructor,File,Local,Module","TS,Interface",6,0,""
"TS,Function","File,TS,Local,Module",6,0,""
"TS,Method","File,TS,Local,Module",6,0,""
"TS,Variable","File,TS,Local,Module",6,0,""
"File,TS,Local,Module","TS,Function,ExternalDeclaration,Property,Variable,Interface,ExternalModule",5,0,""
"TS,AccessorProperty","File,TS,Local,Module",5,0,""
"TS,AccessorProperty,File,Local,Module","TS,TypeAlias",5,0,""
"TS,Class","File,TS,Local,Module,Method",5,0,""
"TS,Function","File,TS,Local,Module",5,0,""
"TS,TypeAlias","File,TS,Local,Module",5,0,""
"TS,Variable","TS,Class,File,Local,Module",5,0,""
"File,TS,Local,Module","TS,Interface,ExternalDeclaration,Property,Function,ExternalModule,AccessorProperty",4,0,""
