"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"Git,Change,Update","MODIFIES","Git",57173,""
"Git,Change,Update","UPDATES","Git",57173,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Update",57173,""
"TS,Union","CONTAINS","TS,NotIdentified",53911,""
"Git,Change,Create","MODIFIES","Git",17009,""
"Git,Change,Create","CREATES","Git",17009,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Create",17009,""
"Git,Commit","HAS_PARENT","Git,Commit",11780,""
"Author,Person,Git,Committer","COMMITTED","Git,Commit",10711,""
"Repository,Git","HAS_COMMIT","Git,Commit",10711,""
"Git,Change,Delete","MODIFIES","Git",8942,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Delete",8942,""
"Git,Change,Delete","DELETES","Git",8942,""
"TS,Union","CONTAINS","TS,Declared",7874,""
"TS,Union","CONTAINS","TS,Primitive",6498,""
"Repository,Git","HAS_FILE","Git",6207,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,Union",4161,""
"Git","CHANGED_TOGETHER_WITH","Git",3292,""
"TS,Union","CONTAINS","TS,Literal",3158,""
"Git,Change,Rename","MODIFIES","Git",2850,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Rename",2850,""
"Git,Change,Rename","DELETES","Git",2850,""
"Git,Change,Rename","CREATES","Git",2850,""
"Git,Change,Rename","RENAMES","Git",2850,""
"Json,Value,Object","HAS_KEY","Json,Key",1929,""
"Object,TS","HAS_MEMBER","TS,ObjectMember",1705,""
"Git","HAS_NEW_NAME","Git",1688,""
"Json,Key","HAS_VALUE","Json,Value,Scalar",1544,""
"Repository,Git","HAS_AUTHOR","Author,Person,Git",1295,""
"TS,Declared","REFERENCES","TS,ExternalDeclaration",1236,""
"Repository,Git","HAS_TAG","Git,Tag",1224,""
"Git,Tag","ON_COMMIT","Git,Commit",1224,""
"TS,Function","DEPENDS_ON","TS,ExternalDeclaration",1187,""
"TS,Function","HAS_PARAMETER","TS,Parameter",1070,""
"TS,ExternalModule","EXPORTS","TS,ExternalDeclaration",1012,""
"TS,Union","CONTAINS","Object,TS",897,""
"TS,Function","DEPENDS_ON","TS,Function",813,""
"TS,Declared","REFERENCES","TS,TypeAlias",766,""
"TS,Function","HAS_PARAMETER","TS,FunctionParameter",719,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,Primitive",626,""
"TS,ObjectMember","OF_TYPE","TS,Primitive",594,""
"TS,Declared","REFERENCES","TS,Interface",557,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,Declared",535,""
"TS,ObjectMember","OF_TYPE","TS,Union",508,""
"TS,Interface","DECLARES","TS,Property",504,""
"TS,Parameter","OF_TYPE","TS,Declared",502,""
"TS,Function","DEPENDS_ON","TS,ExternalModule",441,""
"Package,Json,NPM","DECLARES_DEV_DEPENDENCY","NPM,Dependency",380,""
"TS,Variable","DEPENDS_ON","TS,ExternalDeclaration",378,""
"TS,Parameter","OF_TYPE","TS,Primitive",373,""
"TS,Function","DEPENDS_ON","TS,Property",372,""
"TS,Function","DEPENDS_ON","TS,Interface",365,""
"Repository,Git","HAS_COMMITTER","Committer,Person,Git",361,""
"Package,Json,NPM","DECLARES_DEPENDENCY","NPM,Dependency",357,""
"TS,FunctionParameter","OF_TYPE","TS,Primitive",356,""
"Json,Key","HAS_VALUE","Json,Value,Object",348,""
"TS,Function","RETURNS","TS,Primitive",336,""
"TS,ObjectMember","OF_TYPE","TS,Declared",316,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",310,""
"TS,Function","DEPENDS_ON","TS,TypeAlias",295,""
"TS,Function","RETURNS","TS,Declared",291,""
"TS,Function","DEPENDS_ON","TS,Variable",271,""
"TS,Property","OF_TYPE","TS,Union",241,""
"Value,TS,Literal","OF_TYPE","TS,Primitive",231,""
"Package,Json,NPM","DECLARES_SCRIPT","NPM,Script",206,""
"TS,Parameter","OF_TYPE","TS,Union",200,""
"TS,Function","RETURNS","TS,Declared",199,""
"TS,Function","RETURNS","TS,Primitive",198,""
"TS,TypeAlias","DEPENDS_ON","TS,TypeAlias",188,""
"TS,Property","OF_TYPE","TS,Primitive",179,""
"Project,TS","USES","TS,ExternalModule",179,""
"TS,FunctionParameter","OF_TYPE","TS,Declared",177,""
"TS,TypeAlias","DEPENDS_ON","TS,ExternalDeclaration",176,""
"TS,ObjectMember","OF_TYPE","TS,Function",156,""
"Value,Array,TS","CONTAINS","Value,TS,Literal",156,""
"TS,Intersection","CONTAINS","Object,TS",154,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",150,""
"TS,Variable","DEPENDS_ON","TS,ExternalModule",146,""
"TS,Function","DEPENDS_ON","TS,Local,Module",145,""
"StronglyConnectedComponent,ModuleMembers","DEPENDS_ON","StronglyConnectedComponent,ModuleMembers",138,""
"NPM,Dependency","IS_DESCRIBED_IN_NPM_PACKAGE","Package,Json,NPM,NpmNonDevPackage",131,""
"Package,Json,NPM","CHANGED_TOGETHER_WITH","Package,Json,NPM",128,""
"Json,Value,Array","CONTAINS_VALUE","Json,Value,Scalar",127,""
"TS,TypeParameterReference","REFERENCES","TS,TypeParameter",126,""
"Value,TS,Declared","OF_TYPE","TS,Declared",123,""
"TS,Intersection","CONTAINS","TS,Declared",122,""
"TS,Variable","DEPENDS_ON","TS,Variable",122,""
"TS,TypeParameter","CONSTRAINED_BY","Object,TS",117,""
"TS,Tuple","CONTAINS","TS,Literal",117,""
"Package,Json,NPM","DEPENDS_ON","Package,Json,NPM,NpmNonDevPackage",110,""
"TS,TypeAlias","DECLARES","TS,TypeParameter",105,""
"TS,Variable","OF_TYPE","TS,Declared",102,""
"TS,TypeAlias","OF_TYPE","TS,Union",100,""
"TS,Method","HAS","TS,Parameter",99,""
"Value,TS,Member","MEMBER","Value,TS,Declared",96,""
"TS,Variable","DEPENDS_ON","TS,Function",96,""
"TS,TypeAlias","OF_TYPE","Object,TS",96,""
"Value,Object,TS","HAS_MEMBER","Value,TS,ObjectMember",95,""
"TS,Function","DEPENDS_ON","TS,Local,Module",95,""
"TS,Interface","DEPENDS_ON","TS,Interface",93,""
"TS,Method","RETURNS","TS,Primitive",92,""
"StronglyConnectedComponent,ModuleMembers","IN_WEAKLY_CONNECTED_COMPONENT","ModuleMembers,WeaklyConnectedComponent",91,""
"TS,FunctionParameter","OF_TYPE","TS,Union",90,""
"Value,TS,Complex","OF_TYPE","TS,NotIdentified",87,""
"Value,TS,Member","PARENT","Value,TS,Declared",87,""
"Value,TS,Function","OF_TYPE","TS,Function",84,""
"TS,Class","DECLARES","TS,Property",78,""
"TS,ObjectMember","OF_TYPE","TS,Literal",78,""
"TS,Declared","HAS_TYPE_ARGUMENT","TS,TypeParameterReference",76,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Function",76,""
"Value,TS,Member","OF_TYPE","TS,Declared",75,""
"TS,Property","OF_TYPE","TS,Declared",74,""
"TS,Class","DECLARES","TS,Method",72,""
"TS,Local,Module","DECLARES","TS,Function",72,""
"Git,Change,Copy","MODIFIES","Git",72,""
"Git,Change,Copy","CREATES","Git",72,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Copy",72,""
"Git,Change,Copy","COPIES","Git",72,""
"TS,TypeParameter","CONSTRAINED_BY","TS,Declared",71,""
"TS,Union","CONTAINS","TS,Function",69,""
"TS,Variable","INITIALIZED_WITH","Value,TS,Complex",68,""
"Package,Json,NPM,NpmNonDevPackage","DECLARES_DEV_DEPENDENCY","NPM,Dependency",66,""
"TS,TypeAlias","DEPENDS_ON","TS,Interface",66,""
