"moduleName","modulePath","fullQualifiedModuleName","numberOfModuleElements","languageElement","numberOfElements","Source Cypher File: domains/overview/queries/overview/Number_of_elements_per_module_for_Typescript.cypher"
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index.ts",170,"Interface",48,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index.ts",170,"TypeAlias",64,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index.ts",170,"Class",3,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index.ts",170,"Variable",19,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index.ts",170,"Function",21,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/index.ts",170,"Enum",2,""
"utils","lib/router/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts",91,"TypeAlias",29,""
"utils","lib/router/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts",91,"Variable",12,""
"utils","lib/router/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts",91,"Enum",1,""
"utils","lib/router/utils.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts",91,"Interface",24,""
