"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.13.1","react-router-7.13.1","","","Matt Brophy","github-actions[bot]","Michael Jackson",575,1389,4840,"2026-02-18","2026-02-23","2026-02-23",35,39,34,"fff84b5f20f35c347c9d6313dfc603db0eac6e19","react-router-7.13.1/typedoc.mjs",1,1,""
"react-router-7.13.1/.changeset",".changeset","react-router-7.13.1","react-router-7.13.1","Matt Brophy","Chance Strickland","Michael Jackson",5,2,31,"2022-06-14","2024-11-22","2024-11-22",493,1384,492,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.13.1/.changeset/config.json",2,1,""
"react-router-7.13.1/.github",".github","react-router-7.13.1","react-router-7.13.1","Matt Brophy","Michael Jackson","Tim Dorr",21,20,225,"2025-12-02","2025-12-11","2025-12-11",109,117,108,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.13.1/.github/workflows/test.yml",2,1,""
"react-router-7.13.1/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","react-router-7.13.1/.github",".github","Matt Brophy","Pedro Cattori","Tim Dorr",13,3,50,"2023-01-11","2025-07-16","2025-07-16",257,1173,256,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.13.1/.github/ISSUE_TEMPLATE/documentation_isse.yml",3,1,""
"react-router-7.13.1/.github/workflows","workflows","react-router-7.13.1/.github",".github","Matt Brophy","dependabot[bot]","Michael Jackson",15,15,189,"2025-12-02","2025-12-11","2025-12-11",109,117,108,"fde69511bbfddf5a04e00d8c8bb9a7702a32b9bf","react-router-7.13.1/.github/workflows/test.yml",3,1,""
"react-router-7.13.1/decisions","decisions","react-router-7.13.1","react-router-7.13.1","Matt Brophy","Pedro Cattori","Michael Jackson",9,19,60,"2025-10-22","2026-01-23","2026-01-23",66,158,65,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.13.1/decisions/template.md",2,1,""
"react-router-7.13.1/docs","docs","react-router-7.13.1","react-router-7.13.1","Matt Brophy","Ryan Florence","Remix Run Bot",116,195,642,"2025-11-26","2026-02-18","2026-02-18",40,123,39,"ff6a4fea561d67b1e61002522096797afb9ff55e","react-router-7.13.1/docs/upgrading/v6.md",2,1,""
"react-router-7.13.1/docs/api","api","react-router-7.13.1/docs","docs","Matt Brophy","Remix Run Bot","Brooks Lybrand",22,108,162,"2025-08-13","2026-02-18","2026-02-18",40,229,39,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.13.1/docs/api/utils/resolvePath.md",3,1,""
"react-router-7.13.1/docs/api/components","components","react-router-7.13.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",6,11,43,"2025-03-14","2026-02-18","2026-02-18",40,381,39,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.13.1/docs/api/components/index.md",4,1,""
"react-router-7.13.1/docs/api/data-routers","data-routers","react-router-7.13.1/docs/api","api","Remix Run Bot","Matt Brophy","Ryan Florence",5,8,54,"2025-07-16","2026-02-18","2026-02-18",40,256,39,"f36a3b0862db885272911bf9f40a90187791bce1","react-router-7.13.1/docs/api/data-routers/index.md",4,1,""
"react-router-7.13.1/docs/api/declarative-routers","declarative-routers","react-router-7.13.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",4,7,28,"2025-07-15","2026-02-18","2026-02-18",40,257,39,"f450f1f62bced8626d597d4e049f51775bfae3cb","react-router-7.13.1/docs/api/declarative-routers/index.md",4,1,""
"react-router-7.13.1/docs/api/framework-conventions","framework-conventions","react-router-7.13.1/docs/api","api","Matt Brophy","Brooks Lybrand","Qz",8,8,32,"2025-06-26","2026-02-18","2026-02-18",40,276,39,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.13.1/docs/api/framework-conventions/server-modules.md",4,1,""
"react-router-7.13.1/docs/api/framework-routers","framework-routers","react-router-7.13.1/docs/api","api","Matt Brophy","Remix Run Bot",,2,3,26,"2025-07-16","2026-02-18","2026-02-18",40,256,39,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.13.1/docs/api/framework-routers/index.md",4,1,""
"react-router-7.13.1/docs/api/hooks","hooks","react-router-7.13.1/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",11,31,81,"2025-07-02","2026-02-18","2026-02-18",40,270,39,"fd2fe65e06fa0e23cc93ef406d0df41064568f60","react-router-7.13.1/docs/api/hooks/useViewTransitionState.md",4,1,""
"react-router-7.13.1/docs/api/other-api","other-api","react-router-7.13.1/docs/api","api","Matt Brophy","Michaël De Boey","Mark Dalgleish",3,4,8,"2025-08-13","2026-02-18","2026-02-18",40,229,39,"f3653925cdb957a8e506597e5b7e5d25b1d96d20","react-router-7.13.1/docs/api/other-api/serve.md",4,1,""
