"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.3",1428,55.723963540316454,47,45,2,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.3",9922.418001443,18.99038437785342,235,229,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.3",6810.244227994231,16.836430298013376,232,227,5,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.3",662.0555555555555,11.313026504022577,47,46,1,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.0.3",751.3888888888891,10.722356401285493,41,40,1,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.0.3",2039.7333333333336,8.231152467039342,28,24,4,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.3",656,8.208688129171756,41,40,1,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.0.3",545.9250000000001,7.614834344393476,102,99,3,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.3",592.6999999999998,6.778313152006992,16,15,1,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.3",10120.975559734383,5.476201486692346,155,134,21,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.3",1760.2948412698413,5.253871730923538,136,133,3,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.3",4806.014336643749,4.093587432020519,72,69,3,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken","TrackingToken","axon-messaging-5.0.3",364.25,3.7834204500459605,60,56,4,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.3",755.0607142857141,3.4600005146316426,77,74,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.3",1122.866666666667,2.927184249681843,24,23,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.0.3",1184.6777777777777,2.581151257456593,42,38,4,""
"org.axonframework.messaging.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-5.0.3",638.0333333333332,2.40910987490657,41,37,4,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.3",530.0333333333334,2.3292934498302205,48,47,1,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.0.3",1405.5944444444444,2.3249536927647414,36,28,8,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.0.3",1339.5607142857148,2.271965610995576,53,45,8,""
