"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: domains/archetypes/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.3",1,25.772094591261247,49.49331495825714,55.72396354031647,6.230648582059332,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.0.3",1,11.476204338483333,22.19646811349231,23.830790162613184,1.6343220491208763,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.0.3",1,11.476204338483333,22.19646811349231,23.830790162613184,1.6343220491208763,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey","axon-messaging-5.0.3",1,7.252233280669038,14.131136818753857,21.535011791887158,7.4038749731333,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.3",1,5.094982823208403,10.01204144925357,18.990384377853424,8.978342928599854,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","axon-common-5.0.3",1,5.001436503177736,9.833422312871189,11.38508018879802,1.5516578759268294,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.3",1,4.923066180978573,9.683780517612602,11.31302650402258,1.6292459864099784,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.3",1,4.9084242559756115,9.65582294538371,16.836430298013376,7.180607352629666,""
"org.axonframework.common.AxonException","AxonException","axon-common-5.0.3",1,4.094277080552398,8.101274724624464,9.657158706645296,1.5558839820208314,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.3",1,3.4995537796580467,6.965698655385156,8.208688129171756,1.2429894737866005,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.0.3",1,3.2898926678358005,6.565367710091078,7.126794383578238,0.5614266734871598,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.0.3",1,3.091391812978583,6.186346373344353,10.722356401285492,4.536010027941138,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.3",1,2.6545011142337853,5.352138899680957,6.778313152006992,1.4261742523260348,""
"org.axonframework.common.annotation.Internal","Internal","axon-common-5.0.3",1,2.463121704797917,4.986715387311917,6.942790683953627,1.9560752966417094,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.0.3",1,2.4530722897786896,4.967526841666357,8.231152467039342,3.263625625372985,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.0.3",1,2.4300361695741595,4.923541232235811,7.614834344393476,2.691293112157665,""
"org.axonframework.common.StringUtils","StringUtils","axon-common-5.0.3",1,2.4158190579893186,4.896394806889483,5.915759110232292,1.019364303342809,""
