"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionOverReferencesUtilities.cypher"
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.0.3",0,23.83079016261318,2,1,1,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.0.3",0,23.83079016261318,2,1,1,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.0.3",0,7.126794383578237,2,1,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.3",0,6.778313152006992,16,15,1,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.0.3",0,3.84865767751738,2,1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema$Builder","TokenSchema$Builder","axon-messaging-5.0.3",0,2.8293876182505744,2,1,1,""
"org.axonframework.common.AxonTransientException","AxonTransientException","axon-common-5.0.3",0,1.3279943590968337,9,8,1,""
"org.axonframework.messaging.core.retry.DoNotRetryOutcome","DoNotRetryOutcome","axon-messaging-5.0.3",0,1.2149393386719465,2,1,1,""
"org.axonframework.messaging.core.retry.RetryOutcome","RetryOutcome","axon-messaging-5.0.3",0,1.2149393386719465,2,1,1,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","axon-common-5.0.3",0,1.0902512481632505,4,3,1,""
"org.axonframework.common.DefaultIdentifierFactory","DefaultIdentifierFactory","axon-common-5.0.3",0,1.0766645654189466,2,1,1,""
"org.axonframework.messaging.core.annotation.HasHandlerAttributes","HasHandlerAttributes","axon-messaging-5.0.3",0,0.9129870482656391,6,6,0,""
"org.axonframework.common.ExceptionUtils","ExceptionUtils","axon-common-5.0.3",0,0.8734351443012205,5,4,1,""
