"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.test.extension.ProvidedAxonTestFixture","ProvidedAxonTestFixture","axon-test-5.0.3",210.5,2,1,1,""
"org.axonframework.messaging.core.MessageTypeNotResolvedException","MessageTypeNotResolvedException","axon-messaging-5.0.3",66.99999999999999,2,1,1,""
"org.axonframework.axonserver.connector.InstructionAckSource","InstructionAckSource","axon-server-connector-5.0.3",61,2,1,1,""
"org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification","AnnotationMessageTypeResolver$AnnotationSpecification","axon-messaging-5.0.3",60,2,1,1,""
"org.axonframework.axonserver.connector.command.AxonServerCommandDispatchException","AxonServerCommandDispatchException","axon-server-connector-5.0.3",21,2,1,1,""
"org.axonframework.common.ProcessUtils","ProcessUtils","axon-common-5.0.3",19,2,1,1,""
"org.axonframework.messaging.eventhandling.NoHandlerForEventException","NoHandlerForEventException","axon-messaging-5.0.3",10,2,1,1,""
"org.axonframework.test.matchers.ExactClassMatcher","ExactClassMatcher","axon-test-5.0.3",9.666666666666666,2,1,1,""
"org.axonframework.common.lock.DeadlockException","DeadlockException","axon-common-5.0.3",9,2,1,1,""
"org.axonframework.test.server.AxonServerContainerUtils","AxonServerContainerUtils","axon-test-5.0.3",6,2,1,1,""
"org.axonframework.common.configuration.AmbiguousComponentMatchException","AmbiguousComponentMatchException","axon-common-5.0.3",6,2,1,1,""
"org.axonframework.test.matchers.MatcherExecutionException","MatcherExecutionException","axon-test-5.0.3",6,2,1,1,""
"org.axonframework.test.matchers.ListWithAnyOfMatcher","ListWithAnyOfMatcher","axon-test-5.0.3",4,2,1,1,""
"org.axonframework.test.matchers.ListWithAllOfMatcher","ListWithAllOfMatcher","axon-test-5.0.3",4,2,1,1,""
"org.axonframework.test.matchers.ExactSequenceMatcher","ExactSequenceMatcher","axon-test-5.0.3",4,2,1,1,""
"org.axonframework.test.matchers.SequenceMatcher","SequenceMatcher","axon-test-5.0.3",4,2,1,1,""
"org.axonframework.common.lifecycle.ShutdownInProgressException","ShutdownInProgressException","axon-common-5.0.3",4,2,1,1,""
"org.axonframework.common.ProcessRetriesExhaustedException","ProcessRetriesExhaustedException","axon-common-5.0.3",3,2,1,1,""
"org.axonframework.common.configuration.DuplicateModuleRegistrationException","DuplicateModuleRegistrationException","axon-common-5.0.3",3,2,1,1,""
"org.axonframework.extension.springboot.autoconfig.UpdateCheckerAutoConfiguration$NotTestEnvironmentCondition","UpdateCheckerAutoConfiguration$NotTestEnvironmentCondition","axon-spring-boot-autoconfigure-5.0.3",2.333333333333333,2,1,1,""
