"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.18.1","react-router-node",7,0,2,0,""
"react-router-7.18.1","server",2,0,2,3,""
"react-router-7.18.1","stream",4,0,4,15,""
"react-router-7.18.1","fileStorage",2,0,1,9,""
"react-router-7.18.1","copy-template",2,0,2,33,""
"react-router-7.18.1","create-react-router",2,0,0,28,""
"react-router-7.18.1","loading-indicator",1,0,1,12,""
"react-router-7.18.1","prompt",1,0,1,2,""
"react-router-7.18.1","prompts-confirm",3,0,1,5,""
"react-router-7.18.1","prompts-multi-select",2,0,1,5,""
"react-router-7.18.1","prompts-prompt-base",2,0,8,14,""
"react-router-7.18.1","prompts-select",3,0,3,6,""
"react-router-7.18.1","prompts-text",2,0,1,8,""
"react-router-7.18.1","utils",28,0,36,28,""
"react-router-7.18.1","react-router-express",3,0,3,0,""
"react-router-7.18.1","server",6,0,3,22,""
"react-router-7.18.1","config",4,0,5,0,""
"react-router-7.18.1","invariant",1,0,0,0,""
"react-router-7.18.1","manifest",2,0,2,0,""
"react-router-7.18.1","routes",8,0,9,0,""
"react-router-7.18.1","vite",2,0,0,0,""
"react-router-7.18.1","commands",5,0,5,16,""
"react-router-7.18.1","detectPackageManager",1,0,1,1,""
"react-router-7.18.1","run",1,0,0,9,""
"react-router-7.18.1","useJavascript",1,0,1,6,""
"react-router-7.18.1","config",14,0,17,40,""
"react-router-7.18.1","format",4,0,1,0,""
"react-router-7.18.1","is-react-router-repo",1,0,2,5,""
"react-router-7.18.1","routes",15,0,25,28,""
"react-router-7.18.1","context",2,0,3,0,""
"react-router-7.18.1","generate",5,0,5,24,""
"react-router-7.18.1","typegen",3,0,5,10,""
"react-router-7.18.1","params",1,0,1,0,""
"react-router-7.18.1","route",2,0,2,0,""
"react-router-7.18.1","babel",2,0,8,1,""
"react-router-7.18.1","build",2,0,1,8,""
