"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_spread.cypher"
"org.slf4j",10,37,1,13,3.5,3.6999999999999997,3.529242915351047,20,100,32.46753246753247,43.440874914559124,27.686369705310735,73,1,29,5.5,7.3,8.512082915218551,1.2658227848101267,25,5.592851370023725,8.950194760800581,7.700227562268945,"axon-eventsourcing-5.1.0,axon-conversion-5.1.0,axon-update-5.1.0,axoniq-spring-boot-autoconfigure-5.1.0",""
"jakarta.persistence",4,5,1,2,1,1.25,0.5,3.508771929824561,20,7.878787878787879,9.816586921850082,7.163310171100851,15,1,6,4,3.75,2.0615528128088303,0.946372239747634,3.8461538461538463,2.795749704840614,2.596006373895677,1.2759608840635295,"axon-eventsourcing-5.1.0,axoniq-spring-boot-autoconfigure-5.1.0,axon-messaging-5.1.0,axon-common-5.1.0",""
"com.fasterxml",3,3,1,1,1,1,0,1.7543859649122806,20,6.666666666666667,9.473684210526315,9.44113968215699,8,1,5,2,2.6666666666666665,2.0816659994661326,0.31545741324921134,12.195121951219512,0.5714285714285714,4.360669311965765,6.786042029488723,"axon-conversion-5.1.0,axon-messaging-5.1.0,axon-common-5.1.0",""
"io.axoniq",2,12,2,10,6,6,5.656854249492381,40,100,70,70,42.42640687119285,50,8,42,25,25,24.041630560342615,30.76923076923077,53.16455696202532,41.966893865628045,41.966893865628045,15.835887017809736,"axoniq-spring-boot-autoconfigure-5.1.0,axon-server-connector-5.1.0",""
"reactor.core",2,6,1,5,3,3,2.8284271247461903,8.771929824561402,10,9.385964912280702,9.385964912280702,0.8683767488255849,9,1,8,4.5,4.5,4.949747468305833,1.2618296529968454,1.2658227848101267,1.263826218903486,1.263826218903486,0.0028235705833430306,"axon-messaging-5.1.0,axon-server-connector-5.1.0",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.8264462809917356,0.8264462809917356,0.8264462809917356,0.8264462809917356,0,"axon-eventsourcing-5.1.0",""
"ScannedEntityCreator",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.8264462809917356,0.8264462809917356,0.8264462809917356,0.8264462809917356,0,"axon-eventsourcing-5.1.0",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.8264462809917356,0.8264462809917356,0.8264462809917356,0.8264462809917356,0,"axon-eventsourcing-5.1.0",""
"com.google",1,6,6,6,6,6,0,60,60,60,60,0,9,9,9,9,9,0,11.39240506329114,11.39240506329114,11.39240506329114,11.39240506329114,0,"axon-server-connector-5.1.0",""
"io.grpc",1,6,6,6,6,6,0,60,60,60,60,0,9,9,9,9,9,0,11.39240506329114,11.39240506329114,11.39240506329114,11.39240506329114,0,"axon-server-connector-5.1.0",""
"io.micrometer",1,3,3,3,3,3,0,100,100,100,100,0,13,13,13,13,13,0,68.42105263157896,68.42105263157896,68.42105263157896,68.42105263157896,0,"axon-metrics-micrometer-5.1.0",""
"io.opentelemetry",1,1,1,1,1,1,0,100,100,100,100,0,5,5,5,5,5,0,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,0,"axon-tracing-opentelemetry-5.1.0",""
"jakarta.validation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.31545741324921134,0.31545741324921134,0.31545741324921134,0.31545741324921134,0,"axon-messaging-5.1.0",""
"javax.cache",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,2,2,2,2,2,0,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.1428571428571428,0,"axon-common-5.1.0",""
"org.apache",1,1,1,1,1,1,0,20,20,20,20,0,9,9,9,9,9,0,21.95121951219512,21.95121951219512,21.95121951219512,21.95121951219512,0,"axon-conversion-5.1.0",""
"org.awaitility",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.0",""
"org.axonframework",1,1,1,1,1,1,0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,1,1,1,1,1,0,5.2631578947368425,5.2631578947368425,5.2631578947368425,5.2631578947368425,0,"axon-metrics-micrometer-5.1.0",""
"org.ehcache",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,3,3,3,3,3,0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,0,"axon-common-5.1.0",""
"org.hamcrest",1,3,3,3,3,3,0,60,60,60,60,0,22,22,22,22,22,0,27.848101265822788,27.848101265822788,27.848101265822788,27.848101265822788,0,"axon-test-5.1.0",""
"org.junit",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.0",""
"org.reactivestreams",1,3,3,3,3,3,0,5.263157894736842,5.263157894736842,5.263157894736842,5.263157894736842,0,6,6,6,6,6,0,0.946372239747634,0.946372239747634,0.946372239747634,0.946372239747634,0,"axon-messaging-5.1.0",""
"org.springframework",1,4,4,4,4,4,0,80,80,80,80,0,9,9,9,9,9,0,34.61538461538461,34.61538461538461,34.61538461538461,34.61538461538461,0,"axoniq-spring-boot-autoconfigure-5.1.0",""
"reactor.util",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.31545741324921134,0.31545741324921134,0.31545741324921134,0.31545741324921134,0,"axon-messaging-5.1.0",""
"tools.jackson",1,1,1,1,1,1,0,20,20,20,20,0,5,5,5,5,5,0,12.195121951219512,12.195121951219512,12.195121951219512,12.195121951219512,0,"axon-conversion-5.1.0",""
