"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-conversion-5.1.0",5,41,5,5,100,"tools.jackson",1,5,20,12.195121951219512,"org.axonframework.conversion.jackson","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",""
"axon-eventsourcing-5.1.0",11,121,6,11,100,"org.jspecify",11,11,100.00000000000001,9.090909090909092,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.annotation,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.snapshot.inmemory,org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.handler,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.configuration","org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.annotation.package-info,org.axonframework.eventsourcing.annotation.reflection.package-info,org.axonframework.eventsourcing.snapshot.inmemory.package-info,org.axonframework.eventsourcing.snapshot.store.package-info,org.axonframework.eventsourcing.snapshot.api.package-info,org.axonframework.eventsourcing.handler.package-info,org.axonframework.eventsourcing.eventstore.package-info,org.axonframework.eventsourcing.eventstore.inmemory.package-info",""
"axon-eventsourcing-5.1.0",11,121,6,11,100,"org.slf4j",4,8,36.36363636363637,6.6115702479338845,"org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.handler,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.snapshot.store.StoreBackedSnapshotter,org.axonframework.eventsourcing.handler.SnapshottingSourcingHandler,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-eventsourcing-5.1.0",11,121,6,11,100,"IdTypeParameterResolver",1,1,9.090909090909092,0.8264462809917356,"org.axonframework.eventsourcing.annotation.reflection","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory",""
"axon-eventsourcing-5.1.0",11,121,6,11,100,"ScannedEntityCreator",1,1,9.090909090909092,0.8264462809917356,"org.axonframework.eventsourcing.annotation.reflection","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory",""
"axon-eventsourcing-5.1.0",11,121,6,11,100,"WrappedEventCriteriaBuilderMethod",1,1,9.090909090909092,0.8264462809917356,"org.axonframework.eventsourcing.annotation","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver",""
"axon-eventsourcing-5.1.0",11,121,6,11,100,"jakarta.persistence",1,4,9.090909090909092,3.3057851239669422,"org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-messaging-5.1.0",57,634,8,57,100,"org.jspecify",57,57,100,8.990536277602523,"org.axonframework.messaging.monitoring,org.axonframework.messaging.monitoring.interception,org.axonframework.messaging.monitoring.configuration,org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.commandhandling.retry,org.axonframework.messaging.commandhandling.tracing,org.axonframework.messaging.commandhandling.configuration,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.annotation,org.axonframework.messaging.eventhandling.replay,org.axonframework.messaging.eventhandling.replay.annotation,org.axonframework.messaging.eventhandling.interception,org.axonframework.messaging.eventhandling.gateway,org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.processing,org.axonframework.messaging.eventhandling.processing.streaming,org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation,org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.eventhandling.processing.subscribing,org.axonframework.messaging.eventhandling.processing.errorhandling,org.axonframework.messaging.eventhandling.tracing,org.axonframework.messaging.eventhandling.configuration,org.axonframework.messaging.eventstreaming,org.axonframework.messaging.queryhandling,org.axonframework.messaging.queryhandling.annotation,org.axonframework.messaging.queryhandling.interception,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.queryhandling.tracing,org.axonframework.messaging.queryhandling.configuration,org.axonframework.messaging.core,org.axonframework.messaging.core.annotation,org.axonframework.messaging.core.reflection,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.interception.annotation,org.axonframework.messaging.core.correlation,org.axonframework.messaging.core.sequencing,org.axonframework.messaging.core.conversion,org.axonframework.messaging.core.retry,org.axonframework.messaging.core.unitofwork,org.axonframework.messaging.core.unitofwork.annotation,org.axonframework.messaging.core.unitofwork.transaction,org.axonframework.messaging.core.unitofwork.transaction.jdbc,org.axonframework.messaging.core.unitofwork.transaction.jpa,org.axonframework.messaging.core.timeout,org.axonframework.messaging.core.configuration,org.axonframework.messaging.core.configuration.reflection,org.axonframework.messaging.tracing,org.axonframework.messaging.tracing.attributes","org.axonframework.messaging.monitoring.package-info,org.axonframework.messaging.monitoring.interception.package-info,org.axonframework.messaging.monitoring.configuration.package-info,org.axonframework.messaging.commandhandling.package-info,org.axonframework.messaging.commandhandling.annotation.package-info,org.axonframework.messaging.commandhandling.interception.package-info,org.axonframework.messaging.commandhandling.gateway.package-info,org.axonframework.messaging.commandhandling.retry.package-info,org.axonframework.messaging.commandhandling.tracing.package-info",""
"axon-messaging-5.1.0",57,634,8,57,100,"org.slf4j",13,29,22.807017543859647,4.574132492113565,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.queryhandling,org.axonframework.messaging.core.annotation,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.unitofwork,org.axonframework.messaging.core.timeout","org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.pooled.SplitTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor,org.axonframework.messaging.eventhandling.processing.streaming.pooled.CoordinatorTask",""
"axon-messaging-5.1.0",57,634,8,57,100,"reactor.core",5,8,8.771929824561402,1.2618296529968454,"org.axonframework.messaging.queryhandling,org.axonframework.messaging.queryhandling.annotation,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.core,org.axonframework.messaging.core.annotation","org.axonframework.messaging.queryhandling.MonoSinkWrapper,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.core.MonoUtils,org.axonframework.messaging.core.FluxMessageStream,org.axonframework.messaging.core.FluxUtils,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils",""
