"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_package_with_annotations.cypher"
"axon-test-5.1.0","org.axonframework.test.matchers","org.hamcrest",36,142,24,"Description,Matcher,TypeSafeMatcher,BaseMatcher","matchers",""
"axon-metrics-micrometer-5.1.0","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",35,134,12,"Tag,Tags,MeterRegistry,Counter,Clock,Timer,Timer$Builder,Gauge$Builder,Gauge","micrometer",""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,15,"Event$Builder,TaggedEvent,Event,Tag,TaggedEvent$Builder,Tag$Builder,SequencedEvent,StreamEventsResponse,AppendEventsResponse,GetHeadResponse,GetSequenceAtResponse,GetTailResponse,SourceEventsResponse,StreamEventsRequest,ConsistencyCondition$Builder,Criterion$Builder,TagsAndNamesCriterion$Builder,ConsistencyCondition,Criterion,SourceEventsRequest$Builder,StreamEventsRequest$Builder,SourceEventsRequest,TagsAndNamesCriterion","event",""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",17,95,26,"Logger,LoggerFactory","pooled",""
"axon-conversion-5.1.0","org.axonframework.conversion.avro","org.apache.avro",16,54,11,"Schema,SchemaCompatibility$Incompatibility,AvroRuntimeException,SchemaNormalization,SchemaCompatibility$SchemaIncompatibilityType,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException,SchemaCompatibility,SchemaCompatibility$SchemaPairCompatibility","avro",""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",15,52,13,"TypedQuery,EntityManager,EntityExistsException,GenerationType,SequenceGenerator,Column,Index,Lob,Id,Entity,GeneratedValue,Basic,Table","jpa",""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.token","com.fasterxml.jackson.annotation",15,27,9,"JsonGetter,JsonTypeInfo,JsonCreator,JsonProperty,JsonIgnore,JsonTypeInfo$Id","token",""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.springboot.autoconfig","org.springframework.boot.autoconfigure.condition",15,23,9,"ConditionalOnClass,ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnBean","autoconfig",""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,9,"QueryResponse,QueryUpdate,SubscriptionQuery,QueryRequest,QueryResponse$Builder,QueryRequest$Builder,QueryUpdate$Builder","query",""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jakarta.persistence",11,87,5,"LockModeType,Query,TypedQuery,EntityManager,IdClass,Lob,Entity,Column,Id,Basic","jpa",""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.util","io.grpc",11,21,12,"ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,Metadata,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,ClientInterceptor,CallOptions,MethodDescriptor,Channel","util",""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.event","org.slf4j",10,44,15,"Logger,LoggerFactory","event",""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.connector",10,36,9,"AxonServerConnection,Registration,ResultStream,FlowControl,ReplyChannel","query",""
"axon-tracing-opentelemetry-5.1.0","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api.trace",9,47,6,"Span,StatusCode,SpanContext,SpanBuilder,Tracer,SpanKind","opentelemetry",""
"axon-tracing-opentelemetry-5.1.0","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context.propagation",9,16,6,"TextMapSetter,TextMapGetter,TextMapPropagator,ContextPropagators","opentelemetry",""
"axon-common-5.1.0","org.axonframework.common.caching","org.ehcache.event",8,30,13,"EventType,EventOrdering,EventFiring,CacheEventListener,CacheEvent","caching",""
"axon-common-5.1.0","org.axonframework.common.caching","javax.cache.event",8,26,13,"CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent,CacheEntryEventFilter","caching",""
"axon-conversion-5.1.0","org.axonframework.conversion.avro","org.apache.avro.message",8,28,11,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException","avro",""
