"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact.cypher"
"axon-common-5.1.0","org.jspecify.annotations",15,15,175,"NullMarked",""
"axon-common-5.1.0","org.slf4j",14,49,175,"LoggerFactory,Logger",""
"axon-common-5.1.0","javax.cache.event",8,26,175,"CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent,CacheEntryEventFilter",""
"axon-common-5.1.0","org.ehcache.event",8,30,175,"EventOrdering,EventFiring,EventType,CacheEventListener,CacheEvent",""
"axon-common-5.1.0","jakarta.persistence",5,11,175,"EntityManager,EntityManagerFactory",""
"axon-common-5.1.0","com.fasterxml.jackson.databind",3,14,175,"ObjectMapper,SerializationFeature,JsonNode",""
"axon-common-5.1.0","javax.cache.configuration",3,9,175,"Factory,CacheEntryListenerConfiguration",""
"axon-common-5.1.0","com.fasterxml.jackson.databind.node",2,16,175,"ObjectNode,ArrayNode",""
"axon-common-5.1.0","javax.cache",1,13,175,"Cache",""
"axon-common-5.1.0","org.ehcache.config",1,2,175,"CacheRuntimeConfiguration",""
"axon-common-5.1.0","org.ehcache.core",1,13,175,"Ehcache",""
"axon-conversion-5.1.0","org.apache.avro",16,54,41,"AvroRuntimeException,SchemaCompatibility$Incompatibility,Schema,SchemaNormalization,SchemaCompatibility$SchemaIncompatibilityType,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException,SchemaCompatibility,SchemaCompatibility$SchemaPairCompatibility",""
"axon-conversion-5.1.0","com.fasterxml.jackson.databind",8,42,41,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.1.0","org.apache.avro.message",8,28,41,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException",""
"axon-conversion-5.1.0","org.slf4j",8,39,41,"Logger,LoggerFactory",""
"axon-conversion-5.1.0","tools.jackson.databind",8,39,41,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.1.0","org.apache.avro.generic",7,29,41,"GenericRecord,GenericDatumReader,GenericData",""
"axon-conversion-5.1.0","org.jspecify.annotations",5,5,41,"NullMarked",""
"axon-conversion-5.1.0","org.apache.avro.specific",4,14,41,"SpecificData,SpecificRecordBase",""
"axon-conversion-5.1.0","com.fasterxml.jackson.databind.node",3,12,41,"ObjectNode,JsonNodeType",""
"axon-conversion-5.1.0","tools.jackson.core",3,6,41,"JacksonException",""
"axon-conversion-5.1.0","tools.jackson.databind.node",3,12,41,"JsonNodeType,ObjectNode",""
"axon-conversion-5.1.0","tools.jackson.databind.json",2,5,41,"JsonMapper,JsonMapper$Builder",""
"axon-conversion-5.1.0","com.fasterxml.jackson.core",1,1,41,"JsonProcessingException",""
"axon-conversion-5.1.0","org.apache.avro.io",1,3,41,"DecoderFactory",""
"axon-conversion-5.1.0","org.apache.commons.lang3.tuple",1,4,41,"Pair",""
"axon-eventsourcing-5.1.0","jakarta.persistence",15,52,121,"EntityExistsException,GenerationType,SequenceGenerator,Column,Index,Lob,Id,Entity,GeneratedValue,Basic,Table,TypedQuery,EntityManager",""
"axon-eventsourcing-5.1.0","org.slf4j",14,37,121,"Logger,LoggerFactory",""
"axon-eventsourcing-5.1.0","org.jspecify.annotations",11,11,121,"NullMarked",""
"axon-eventsourcing-5.1.0","IdTypeParameterResolver",1,1,121,"IdTypeParameterResolver",""
"axon-eventsourcing-5.1.0","ScannedEntityCreator",1,4,121,"ScannedEntityCreator",""
"axon-eventsourcing-5.1.0","WrappedEventCriteriaBuilderMethod",1,1,121,"WrappedEventCriteriaBuilderMethod",""
"axon-messaging-5.1.0","org.jspecify.annotations",57,57,634,"NullMarked",""
"axon-messaging-5.1.0","org.slf4j",54,202,634,"Logger,LoggerFactory",""
"axon-messaging-5.1.0","com.fasterxml.jackson.annotation",19,33,634,"JsonProperty,JsonCreator,JsonGetter,JsonTypeInfo,JsonIgnore,JsonTypeInfo$Id",""
"axon-messaging-5.1.0","jakarta.persistence",19,113,634,"EntityManagerFactory,EntityManager,EntityTransaction,IdClass,Lob,Entity,Column,Id,Basic,LockModeType,Query,TypedQuery",""
"axon-messaging-5.1.0","reactor.core.publisher",14,49,634,"FluxSink,MonoSink,Mono,Flux",""
"axon-messaging-5.1.0","org.reactivestreams",8,27,634,"Publisher,Subscription,Subscriber",""
"axon-messaging-5.1.0","jakarta.validation",5,16,634,"Validation,ConstraintViolation,Validator,ValidatorFactory",""
"axon-messaging-5.1.0","reactor.util.concurrent",2,4,634,"Queues",""
"axon-metrics-micrometer-5.1.0","io.micrometer.core.instrument",37,141,19,"Clock,MeterRegistry,Tag,Gauge$Builder,Gauge,Tags,Timer,Counter,Timer$Builder",""
"axon-metrics-micrometer-5.1.0","org.jspecify.annotations",3,3,19,"NullMarked",""
"axon-metrics-micrometer-5.1.0","org.springframework.boot.autoconfigure",3,3,19,"AutoConfigureAfter,AutoConfiguration,AutoConfigureBefore",""
"axon-metrics-micrometer-5.1.0","org.springframework.boot.autoconfigure.condition",3,6,19,"ConditionalOnClass,ConditionalOnProperty,ConditionalOnMissingBean",""
"axon-metrics-micrometer-5.1.0","io.micrometer.core.instrument.simple",2,4,19,"SimpleMeterRegistry",""
"axon-metrics-micrometer-5.1.0","org.springframework.boot.context.properties",2,2,19,"EnableConfigurationProperties,ConfigurationProperties",""
"axon-metrics-micrometer-5.1.0","org.axonframework.extension.springboot.autoconfig",1,1,19,"AxonAutoConfiguration",""
"axon-metrics-micrometer-5.1.0","org.springframework.context.annotation",1,3,19,"Bean",""
"axon-modelling-5.1.0","org.jspecify.annotations",7,7,99,"NullMarked",""
"axon-modelling-5.1.0","org.slf4j",4,17,99,"LoggerFactory,Logger",""
