"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-5.0.1","org.axonframework.messaging.core","core",18122,61768,377,113,68,7,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork","unitofwork",11490,40479,230,55,58,5,""
"axon-common-5.0.1","org.axonframework.common","common",6759,22336,445,99,87,9,""
"axon-common-5.0.1","org.axonframework.common.configuration","configuration",3175,17216,105,50,31,8,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling","eventhandling",2081,7412,97,35,25,6,""
"axon-common-5.0.1","org.axonframework.common.annotation","annotation",1841,2057,129,16,51,7,""
"axon-common-5.0.1","org.axonframework.common.infra","infra",1198,1412,106,27,40,6,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling","commandhandling",883,3295,63,26,20,6,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation","annotation",396,1318,81,11,23,4,""
"axon-conversion-5.0.1","org.axonframework.conversion","conversion",374,1538,36,12,15,3,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token","token",350,1386,45,8,11,4,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling","queryhandling",279,897,34,15,12,5,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventstreaming","eventstreaming",231,656,39,14,9,3,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing","processing",217,663,30,13,10,5,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming","streaming",207,633,30,12,11,4,""
"axon-messaging-5.0.1","org.axonframework.messaging.tracing","tracing",108,359,22,7,5,1,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore","eventstore",76,206,19,6,6,3,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",74,620,23,5,9,1,""
"axon-modelling-5.0.1","org.axonframework.modelling","modelling",74,226,13,20,4,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.repository","repository",66,311,14,5,6,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion","conversion",63,225,20,3,15,4,""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing","eventsourcing",61,168,15,6,4,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.configuration","configuration",61,244,8,6,4,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.child","child",52,137,16,7,2,0,""
"axon-modelling-5.0.1","org.axonframework.modelling.entity","entity",45,103,9,9,4,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.monitoring","monitoring",35,141,15,2,6,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception","interception",22,137,13,0,9,3,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",18,56,14,0,3,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion","conversion",17,50,15,0,10,4,""
"axon-common-5.0.1","org.axonframework.common.jdbc","jdbc",13,67,9,0,3,2,""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.annotation","annotation",13,25,4,4,3,1,""
"axon-update-5.0.1","org.axonframework.update.api","api",13,67,5,1,2,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork.transaction","transaction",11,28,7,1,4,2,""
"axon-common-5.0.1","org.axonframework.common.util","util",10,30,9,0,5,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",10,23,6,1,3,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.sequencing","sequencing",10,30,6,0,3,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.distributed","distributed",10,32,5,2,3,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","util",9,17,7,0,3,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.distributed","distributed",9,28,4,2,3,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.correlation","correlation",9,34,4,1,3,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception.annotation","annotation",9,19,6,0,5,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.configuration","configuration",9,32,4,4,1,0,""
"axon-test-5.0.1","org.axonframework.test.matchers","matchers",8,27,4,0,1,0,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","connector",7,31,5,0,3,0,""
"axon-common-5.0.1","org.axonframework.common.jpa","jpa",7,29,7,0,4,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration","configuration",7,22,7,0,7,2,""
"axon-update-5.0.1","org.axonframework.update","update",7,23,4,0,2,0,""
"axon-common-5.0.1","org.axonframework.common.property","property",6,19,3,0,3,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.annotation","annotation",6,10,6,1,5,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.configuration.reflection","reflection",6,6,6,0,5,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.timeout","timeout",6,68,4,0,2,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",6,15,4,2,2,1,""
"axon-modelling-5.0.1","org.axonframework.modelling.annotation","annotation",6,13,5,0,4,1,""
"axon-update-5.0.1","org.axonframework.update.configuration","configuration",6,24,6,0,3,1,""
"axon-common-5.0.1","org.axonframework.common.lifecycle","lifecycle",5,30,3,0,3,1,""
