"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java_Including_Subpackages.cypher"
"axon-common-5.0.1","org.axonframework.common.annotation","annotation",0.0010851871947911015,0.015267175572519083,0,0.019230769230769232,0,2,1841,2,129,0,16,1,51,0,7,""
"axon-common-5.0.1","org.axonframework.common.infra","infra",0.004156275976724855,0.027522935779816515,0,0.047619047619047616,0,5,1198,3,106,0,27,2,40,0,6,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork","unitofwork",0.015086576375792903,0.04564315352697095,0.5,0.07936507936507936,0.16666666666666666,176,11490,11,230,55,55,5,58,1,5,""
"axon-common-5.0.1","org.axonframework.common.configuration","configuration",0.02127003699136868,0.07079646017699115,0.42528735632183906,0.11428571428571428,0,69,3175,8,105,37,50,4,31,0,8,""
"axon-messaging-5.0.1","org.axonframework.messaging.core","core",0.0214902807775378,0.1822125813449024,0.3891891891891892,0.26881720430107525,0.2222222222222222,398,18122,84,377,72,113,25,68,2,7,""
"axon-conversion-5.0.1","org.axonframework.conversion","conversion",0.05793450881612091,0.14285714285714285,0.5,0.16666666666666666,0,23,374,6,36,12,12,3,15,0,3,""
"axon-common-5.0.1","org.axonframework.common.util","util",0.09090909090909091,0.1,0,0.16666666666666666,0,1,10,1,9,0,0,1,5,0,1,""
"axon-common-5.0.1","org.axonframework.common.jdbc","jdbc",0.13333333333333333,0.18181818181818182,0,0.4,0,2,13,2,9,0,0,2,3,0,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion","conversion",0.136986301369863,0.16666666666666666,0.5,0.21052631578947367,0.3333333333333333,10,63,4,20,3,3,4,15,2,4,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.15254237288135594,0.3283582089552239,0.5,0.45,0.3333333333333333,63,350,22,45,8,8,9,11,2,4,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventstreaming","eventstreaming",0.16304347826086957,0.20408163265306123,0.5,0.35714285714285715,0.25,45,231,10,39,14,14,5,9,1,3,""
"axon-common-5.0.1","org.axonframework.common.lifecycle","lifecycle",0.16666666666666666,0.25,0,0.25,0,1,5,1,3,0,0,1,3,0,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.tracing","tracing",0.20588235294117646,0.2903225806451613,0.46153846153846156,0.4444444444444444,0.5,28,108,9,22,6,7,4,5,1,1,""
"axon-common-5.0.1","org.axonframework.common.jpa","jpa",0.2222222222222222,0.2222222222222222,0,0.3333333333333333,0,2,7,2,7,0,0,2,4,0,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.23076923076923078,0.3333333333333333,0.5,0.5,0,3,10,3,6,1,1,3,3,0,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation","annotation",0.23846153846153847,0.3076923076923077,0.42105263157894735,0.28125,0.2,124,396,36,81,8,11,9,23,1,4,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling","eventhandling",0.23967848008768725,0.5174129353233831,0.573170731707317,0.4444444444444444,0.25,656,2081,104,97,47,35,20,25,2,6,""
"axon-common-5.0.1","org.axonframework.common.property","property",0.25,0.4,0,0.25,0,2,6,2,3,0,0,1,3,0,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util","util",0.25,0.3333333333333333,0,0.5,0,1,3,1,2,0,0,1,1,0,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling","commandhandling",0.2617056856187291,0.5434782608695652,0.5272727272727272,0.4117647058823529,0.25,313,883,75,63,29,26,14,20,2,6,""
"axon-modelling-5.0.1","org.axonframework.modelling.repository","repository",0.26666666666666666,0.3333333333333333,0.5,0.4,0.5,24,66,7,14,5,5,4,6,1,1,""
"axon-update-5.0.1","org.axonframework.update.api","api",0.3157894736842105,0.16666666666666666,0.5,0.3333333333333333,0,6,13,1,5,1,1,1,2,0,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.conversion","conversion",0.32,0.2857142857142857,0,0.3333333333333333,0.3333333333333333,8,17,6,15,0,0,5,10,2,4,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.actuator","actuator",0.3333333333333333,0.5,0,0.5,0,1,2,1,1,0,0,1,1,0,0,""
"axon-test-5.0.1","org.axonframework.test.server","server",0.3333333333333333,0.3333333333333333,0,0.5,0,1,2,1,2,0,0,1,1,0,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork.transaction","transaction",0.35294117647058826,0.4166666666666667,0,0.2,0,6,11,5,7,0,1,1,4,0,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.3983739837398374,0.46511627906976744,0.5,0.4375,0.5,49,74,20,23,5,5,7,9,1,1,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","util",0.4,0.4166666666666667,1,0.5,1,6,9,5,7,1,0,3,3,1,0,""
"axon-modelling-5.0.1","org.axonframework.modelling.entity.child","child",0.46938775510204084,0.5151515151515151,0.5,0.8,1,46,52,17,16,7,7,8,2,2,0,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util.jpa","jpa",0.5,0.5,0,0.5,0,1,1,1,1,0,0,1,1,0,0,""
"axon-update-5.0.1","org.axonframework.update.common","common",0.5,0.5,0,0.5,0,1,1,1,1,0,0,1,1,0,0,""
"axon-update-5.0.1","org.axonframework.update.configuration","configuration",0.5,0.14285714285714285,1,0.25,0,6,6,1,6,1,0,1,3,0,1,""
"axon-update-5.0.1","org.axonframework.update.detection","detection",0.5,0.4,0,0.5,0.5,5,5,2,3,0,0,2,2,1,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling","queryhandling",0.5263157894736842,0.6822429906542056,0.5588235294117647,0.5,0.2857142857142857,310,279,73,34,19,15,12,12,2,5,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.5705394190871369,0.7272727272727273,0.4782608695652174,0.6451612903225806,0.3333333333333333,275,207,80,30,11,12,20,11,2,4,""
"axon-test-5.0.1","org.axonframework.test.matchers","matchers",0.5789473684210527,0.6363636363636364,0,0.8333333333333334,1,11,8,7,4,0,0,5,1,2,0,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.actuator.axonserver","axonserver",0.6,0.6666666666666666,0,0.6666666666666666,1,3,2,2,1,0,0,2,1,1,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing","processing",0.6138790035587188,0.7247706422018348,0.5,0.6428571428571429,0.2857142857142857,345,217,79,30,13,13,18,10,2,5,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.correlation","correlation",0.64,0.6923076923076923,0.5,0.5,0.5,16,9,9,4,1,1,3,3,1,1,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.configuration","configuration",0.6629834254143646,0.8333333333333334,0.5384615384615384,0.8181818181818182,0.5,120,61,40,8,7,6,18,4,1,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.service","service",0.6666666666666666,0.5,0,0.5,0,2,1,1,1,0,0,1,1,0,0,""
