"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-common-5.0.1","org.axonframework.common.annotation","annotation",0.0016260162601626016,0.022556390977443608,0,0.037037037037037035,0,3,1842,3,130,0,16,2,52,0,7,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork","unitofwork",0.010826355408948659,0.08239700374531835,0.15384615384615385,0.09090909090909091,0.2,128,11695,22,245,10,55,6,60,1,4,""
"axon-common-5.0.1","org.axonframework.common.infra","infra",0.021791767554479417,0.08264462809917356,0.1,0.06818181818181818,0,27,1212,10,111,3,27,3,41,0,6,""
"axon-messaging-5.0.1","org.axonframework.messaging.core","core",0.030086465502029293,0.1646090534979424,0.17894736842105263,0.1038961038961039,0.2222222222222222,341,10993,80,406,17,78,8,69,2,7,""
"axon-common-5.0.1","org.axonframework.common","common",0.03567318757192175,0.0576271186440678,0,0.01282051282051282,0,31,838,17,278,0,20,1,77,0,10,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.036281179138321996,0.12121212121212122,0.2,0.15789473684210525,0.25,16,425,8,58,2,8,3,16,1,3,""
"axon-conversion-5.0.1","org.axonframework.conversion","conversion",0.04697986577181208,0.15384615384615385,0.25,0.13636363636363635,0.2,21,426,10,55,4,12,3,19,1,4,""
"axon-common-5.0.1","org.axonframework.common.configuration","configuration",0.07487520798668885,0.2639593908629442,0.29577464788732394,0.13513513513513514,0,270,3336,52,145,21,50,5,32,0,8,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling","eventhandling",0.12009871126953661,0.21243523316062177,0.39215686274509803,0.17777777777777778,0.25,438,3209,41,152,20,31,8,37,2,6,""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling","commandhandling",0.19215686274509805,0.27611940298507465,0.4444444444444444,0.1875,0.25,343,1442,37,97,20,25,6,26,2,6,""
"axon-common-5.0.1","org.axonframework.common.util","util",0.2,0.15384615384615385,0,0.25,0,3,12,2,11,0,0,2,6,0,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.core.conversion","conversion",0.24705882352941178,0.19230769230769232,0.5714285714285714,0.23809523809523808,0.3333333333333333,21,64,5,21,4,3,5,16,2,4,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.2631578947368421,0.19047619047619047,1,0.4,0.3333333333333333,10,28,4,17,2,0,4,6,1,2,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventstreaming","eventstreaming",0.2706185567010309,0.32051282051282054,0.46153846153846156,0.375,0.25,105,283,25,53,12,14,6,10,1,3,""
"axon-common-5.0.1","org.axonframework.common.jpa","jpa",0.2727272727272727,0.2727272727272727,1,0.375,0,3,8,3,8,1,0,3,5,0,3,""
"axon-messaging-5.0.1","org.axonframework.messaging.monitoring","monitoring",0.28205128205128205,0.1951219512195122,0.6666666666666666,0.3076923076923077,0.3333333333333333,22,56,8,33,4,2,4,9,1,2,""
"axon-common-5.0.1","org.axonframework.common.jdbc","jdbc",0.3103448275862069,0.38095238095238093,0,0.42857142857142855,0,9,20,8,13,0,0,3,4,0,3,""
"axon-messaging-5.0.1","org.axonframework.messaging.tracing","tracing",0.33170731707317075,0.3148148148148148,0.5333333333333333,0.4166666666666667,0.5,68,137,17,37,8,7,5,7,1,1,""
"axon-common-5.0.1","org.axonframework.common.lifecycle","lifecycle",0.3333333333333333,0.4444444444444444,0,0.3333333333333333,0,4,8,4,5,0,0,2,4,0,1,""
"axon-update-5.0.1","org.axonframework.update.api","api",0.3793103448275862,0.38461538461538464,0,0.4,1,11,18,5,8,0,1,2,3,1,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.38095238095238093,0.38461538461538464,0.75,0.5,0,8,13,5,8,3,1,4,4,0,0,""
"axon-test-5.0.1","org.axonframework.test.server","server",0.4,0.4,0,0.5,0.5,2,3,2,3,0,0,2,2,1,1,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot","springboot",0.4074074074074074,0.4444444444444444,1,0.6666666666666666,1,22,32,16,20,1,0,4,2,3,0,""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util","util",0.4375,0.46153846153846156,0,0.3333333333333333,0,7,9,6,7,0,0,1,2,0,0,""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling","queryhandling",0.4393574297188755,0.3870967741935484,0.575,0.36,0.4,547,698,48,76,23,17,9,16,2,3,""
"axon-common-5.0.1","org.axonframework.common.property","property",0.4411764705882353,0.4444444444444444,1,0.3333333333333333,0,15,19,8,10,1,0,2,4,0,2,""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","util",0.4594594594594595,0.5,0,0.5,1,17,20,12,12,0,0,4,4,1,0,""
