"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.11.2","org.axonframework.common",2,27,179,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.command.inspection",2,26,179,1,""
"axon-test-4.11.2","org.axonframework.test.matchers",2,24,179,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.correlation",2,4,179,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.interceptors.legacyvalidation",2,2,179,1,""
"axon-messaging-4.11.2","org.axonframework.queryhandling",12,47,160,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing",12,41,160,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot.autoconfig",12,39,160,1,""
"axon-messaging-4.11.2","org.axonframework.messaging",12,34,160,1,""
"axon-test-4.11.2","org.axonframework.test.matchers",12,24,160,1,""
"axon-test-4.11.2","org.axonframework.test.saga",12,21,160,1,""
"axon-messaging-4.11.2","org.axonframework.common.caching",12,14,160,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing.eventstore.legacyjpa",12,10,160,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga.repository.jdbc",12,10,160,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing.eventstore.jpa",12,6,160,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.command",5,56,159,1,""
"axon-messaging-4.11.2","org.axonframework.commandhandling.gateway",5,34,159,1,""
"axon-messaging-4.11.2","org.axonframework.serialization",5,33,159,1,""
"axon-messaging-4.11.2","org.axonframework.common",5,27,159,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.command.inspection",5,26,159,1,""
"axon-messaging-4.11.2","org.axonframework.eventhandling.pooled",5,22,159,1,""
"axon-test-4.11.2","org.axonframework.test.saga",5,21,159,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga.repository",5,15,159,1,""
"axon-messaging-4.11.2","org.axonframework.deadline",5,13,159,1,""
"axon-messaging-4.11.2","org.axonframework.serialization.upcasting.event",5,12,159,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.interceptors",5,8,159,1,""
"axon-messaging-4.11.2","org.axonframework.eventhandling.scheduling.quartz",5,6,159,1,""
"axon-messaging-4.11.2","org.axonframework.monitoring",5,6,159,1,""
"axon-messaging-4.11.2","org.axonframework.eventhandling.gateway",5,5,159,1,""
"axon-messaging-4.11.2","org.axonframework.common.jpa",5,4,159,1,""
"axon-messaging-4.11.2","org.axonframework.common.legacyjpa",5,4,159,1,""
"axon-test-4.11.2","org.axonframework.test.server",5,2,159,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing",9,41,133,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot.autoconfig",9,39,133,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing.eventstore",9,30,133,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.command.inspection",9,26,133,1,""
"axon-messaging-4.11.2","org.axonframework.deadline",9,13,133,1,""
"axon-server-connector-4.11.2","org.axonframework.axonserver.connector.command",9,11,133,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga.repository.jpa",9,7,133,1,""
"axon-messaging-4.11.2","org.axonframework.eventhandling.deadletter.legacyjpa",9,6,133,1,""
"axon-messaging-4.11.2","org.axonframework.serialization.upcasting",9,6,133,1,""
"axon-messaging-4.11.2","org.axonframework.deadline.jobrunr",9,4,133,1,""
"axon-messaging-4.11.2","org.axonframework.deadline.quartz",9,4,133,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.correlation",9,4,133,1,""
"axon-server-connector-4.11.2","org.axonframework.axonserver.connector.event.util",9,3,133,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.annotation",16,54,132,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga",4,33,102,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot",4,28,102,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing.eventstore.jdbc",4,13,102,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot.autoconfig.legacyjpa",4,2,102,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot.autoconfig",7,39,101,1,""
"axon-messaging-4.11.2","org.axonframework.messaging",7,34,101,1,""
"axon-messaging-4.11.2","org.axonframework.common",7,27,101,1,""
"axon-messaging-4.11.2","org.axonframework.common.jdbc",7,18,101,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot.autoconfig.legacyjpa",7,2,101,1,""
"axon-messaging-4.11.2","org.axonframework.commandhandling",15,31,99,1,""
"axon-messaging-4.11.2","org.axonframework.common",15,27,99,1,""
"axon-server-connector-4.11.2","org.axonframework.axonserver.connector.command",15,11,99,1,""
"axon-messaging-4.11.2","org.axonframework.util",15,3,99,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing.eventstore",11,30,83,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.interceptors",11,8,83,1,""
"axon-server-connector-4.11.2","org.axonframework.axonserver.connector.processor",11,3,83,1,""
"axon-messaging-4.11.2","org.axonframework.queryhandling",10,47,81,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga",10,33,81,1,""
"axon-eventsourcing-4.11.2","org.axonframework.eventsourcing.eventstore",10,30,81,1,""
"axon-test-4.11.2","org.axonframework.test.matchers",10,24,81,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga.repository",10,15,81,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.interceptors",10,8,81,1,""
"axon-messaging-4.11.2","org.axonframework.messaging.interceptors.legacyvalidation",10,2,81,1,""
"axon-modelling-4.11.2","org.axonframework.modelling.saga",21,33,64,1,""
"axon-messaging-4.11.2","org.axonframework.deadline.annotation",21,5,64,1,""
"axon-test-4.11.2","org.axonframework.test.utils",21,4,64,1,""
"axon-spring-boot-autoconfigure-4.11.2","org.axonframework.springboot",0,28,56,1,""
"axon-messaging-4.11.2","org.axonframework.common",0,27,56,1,""
"axon-test-4.11.2","org.axonframework.test.server",0,2,56,1,""
