"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"Git,Update,Change","MODIFIES","Git",314311,""
"Git,Update,Change","UPDATES","Git",314311,""
"Git,Commit","CONTAINS_CHANGE","Git,Update,Change",314311,""
"Git,Change,Create","MODIFIES","Git",108091,""
"Git,Change,Create","CREATES","Git",108091,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Create",108091,""
"Git,Change,Delete","MODIFIES","Git",66520,""
"Git,Change,Delete","DELETES","Git",66520,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Delete",66520,""
"Git,Change,Rename","MODIFIES","Git",27672,""
"Git,Change,Rename","DELETES","Git",27672,""
"Git,Change,Rename","CREATES","Git",27672,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Rename",27672,""
"Git,Change,Rename","RENAMES","Git",27672,""
"Git,Commit","HAS_PARENT","Git,Commit",21172,""
"Author,Git,Person,Committer","COMMITTED","Git,Commit",17415,""
"Repository,Git","HAS_COMMIT","Git,Commit",17415,""
"Repository,Git","HAS_FILE","Git",17297,""
"Member,Method","INVOKES","Member,Method",13463,""
"Git","HAS_NEW_NAME","Git",9780,""
"Git","CHANGED_TOGETHER_WITH","Git",6006,""
"Member,Method","HAS","Parameter",5441,""
"Member,Method","READS","Member,Field",5321,""
"Parameter","OF_TYPE","JavaType",4158,""
"StronglyConnectedComponent,TypeMembers","DEPENDS_ON","StronglyConnectedComponent,TypeMembers",4067,""
"Bound,ParameterizedType","OF_RAW_TYPE","JavaType",2880,""
"Bound","OF_RAW_TYPE","JavaType",2438,""
"Xml,Element","HAS_ELEMENT","Xml,Element",2294,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound",2143,""
"Parameter","OF_GENERIC_TYPE","Bound,ParameterizedType",1893,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","TypeVariable,Bound",1875,""
"Parameter","OF_GENERIC_TYPE","Bound",1753,""
"JavaType","DECLARES","Member,Method",1652,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Text",1548,""
"Xml,Element","HAS_TEXT","Xml,Text",1548,""
"Xml,Element","HAS_LAST_CHILD","Xml,Text",1548,""
"Xml,Element","HAS_SIBLING","Xml,Element",1526,""
"Member,Constructor,Method","INVOKES","Member,Constructor,Method",1512,""
"Member,Method","RETURNS","JavaType",1485,""
"Member,Constructor,Method","WRITES","Member,Field",1482,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Copy",1480,""
"Git,Change,Copy","MODIFIES","Git",1480,""
"Git,Change,Copy","CREATES","Git",1480,""
"Git,Change,Copy","COPIES","Git",1480,""
"Member,Method,Lambda","HAS","Parameter",1476,""
"Member,Method","INVOKES","Member,Constructor,Method",1457,""
"Member,Constructor,Method","HAS","Parameter",1399,""
"Member,Method,Lambda","INVOKES","Member,Method",1391,""
"Parameter","OF_TYPE","ResolvedDuplicateType",1333,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,WildcardType",1158,""
"Member,Method","RETURNS_GENERIC","Bound,ParameterizedType",1065,""
"Member,Constructor,Method","INVOKES","Member,Method",1056,""
"Member,Constructor,Method","RETURNS","Void",1029,""
"GenericDeclaration,Member,Method","INVOKES","Member,Method",1029,""
"Member,Method","RETURNS","Void",969,""
"GenericDeclaration,Member,Method","HAS","Parameter",900,""
"StronglyConnectedComponent,TypeMembers","IN_WEAKLY_CONNECTED_COMPONENT","WeaklyConnectedComponent,TypeMembers",896,""
"TypeVariable,Bound","HAS_UPPER_BOUND","Bound",842,""
"Member,Field","OF_TYPE","JavaType",834,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,ParameterizedType",800,""
"Member,Method","RETURNS","PrimitiveType",778,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Element",768,""
"Xml,Element","HAS_LAST_CHILD","Xml,Element",768,""
"TypeVariable,Bound","OF_RAW_TYPE","JavaType",706,""
"Bound","OF_RAW_TYPE","ResolvedDuplicateType",698,""
"Member,Method","RETURNS_GENERIC","Bound",664,""
"ExternalType","DECLARES","Member,Method",664,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",623,""
"ResolvedDuplicateType","DECLARES","Member,Method",620,""
"Member,Method","WRITES","Member,Field",613,""
"Member,Method","INVOKES","GenericDeclaration,Member,Method",608,""
"Member,Field","OF_GENERIC_TYPE","Bound,ParameterizedType",584,""
"Member,Method","INVOKES","Member,Method,Lambda",568,""
"GenericDeclaration,Member,Method","DECLARES_TYPE_PARAMETER","TypeVariable,Bound",559,""
"Parameter","OF_TYPE","PrimitiveType",514,""
"Member,Method","RESOLVES_TO","Member,Method",469,""
"Git","COPY_OF","Git",467,""
"Bound","OF_RAW_TYPE","Void",455,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",431,""
"Bound,ParameterizedType","OF_RAW_TYPE","ResolvedDuplicateType",381,""
"StronglyConnectedComponent,PackageMembers","DEPENDS_ON","StronglyConnectedComponent,PackageMembers",364,""
"Member,Method","CATCHES","Throwable,JavaType",344,""
"GenericDeclaration,Member,Method","READS","Member,Field",339,""
"Bound","OF_RAW_TYPE","PrimitiveType",328,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",324,""
"Member,Constructor,Method","RETURNS_GENERIC","Bound",314,""
"Parameter","OF_TYPE","ExternalType",313,""
"Repository,Git","HAS_AUTHOR","Author,Git,Person",313,""
"Member,Method","THROWS","Throwable,JavaType",301,""
"Parameter","OF_GENERIC_TYPE","TypeVariable,Bound",299,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",298,""
"GenericDeclaration,Member,Method","RETURNS_GENERIC","Bound,ParameterizedType",270,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",269,""
"Member,Field","OF_TYPE","PrimitiveType",255,""
"Repository,Git","HAS_COMMITTER","Committer,Git,Person",254,""
"Member,Method,Lambda","RETURNS","JavaType",251,""
"Value,Json,Object","HAS_KEY","Json,Key",248,""
"GenericDeclaration,Member,Method","RETURNS","JavaType",244,""
"Json,Key","HAS_VALUE","Value,Json,Scalar",242,""
"Value,Annotation","OF_TYPE","ExternalAnnotation,ExternalType",238,""
"Member,Method","RETURNS","ResolvedDuplicateType",224,""
"Member,Constructor,Method","READS","Member,Field",220,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",218,""
"Parameter","OF_TYPE","Throwable,JavaType",217,""
"Bound,WildcardType","HAS_LOWER_BOUND","Bound",211,""
"GenericDeclaration,Member,Method","INVOKES","GenericDeclaration,Member,Method",210,""
"Value,Annotation","OF_TYPE","JavaType",195,""
"Bound","OF_RAW_TYPE","ExternalType",187,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",184,""
"Maven,Dependency","TO_ARTIFACT","Artifact,Maven",182,""
"Document,Xml,Pom,Maven","DECLARES_DEPENDENCY","Maven,Dependency",182,""
"JavaType","DECLARES","Member,Constructor,Method",181,""
"Member,Method,Lambda","INVOKES","Member,Constructor,Method",172,""
"GenericDeclaration,Member,Method","INVOKES","Member,Constructor,Method",164,""
"Member,Method,Lambda","RETURNS","Void",159,""
"Value,Annotation","OF_TYPE","Annotation,InternalJavaType,ConnectedInternalJavaType",159,""
"Bound,ParameterizedType","OF_RAW_TYPE","ExternalType",157,""
"Value,Annotation","OF_TYPE","ResolvedDuplicateType",157,""
"Member,Field","HAS","Value,Primitive",154,""
"GenericDeclaration,Member,Method","RETURNS_GENERIC","TypeVariable,Bound",153,""
"Git,Tag","ON_COMMIT","Git,Commit",151,""
"Repository,Git","HAS_TAG","Git,Tag",151,""
"Bound,WildcardType","HAS_UPPER_BOUND","Bound",149,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",149,""
"Value,Primitive","OF_TYPE","JavaType",148,""
"Member,Field","OF_TYPE","ExternalType",145,""
"Parameter","OF_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",142,""
"Member,Method","RESOLVES_TO","GenericDeclaration,Member,Method",142,""
"Value,Enum","OF_TYPE","JavaType",137,""
"Value,Enum","IS","Member,Field",137,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",136,""
"Git","RESOLVES_TO","Interface",135,""
"Member,Constructor,Method","RESOLVES_TO","Member,Constructor,Method",134,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",133,""
"Member,Field","OF_TYPE","ResolvedDuplicateType",130,""
"Member,Method","RETURNS","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",130,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",126,""
"Interface","EXTENDS","JavaType",124,""
"Interface","DEPENDS_ON","JavaType,ExternalAnnotation,ExternalType",124,""
"Interface","ANNOTATED_BY","Value,Annotation",124,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",123,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType,Record",122,""
"Artifact,Jar,Archive,Zip","REQUIRES","ExternalType",122,""
"Bound","OF_RAW_TYPE","Throwable,JavaType",118,""
"Member,Method,Lambda","INVOKES","GenericDeclaration,Member,Method",118,""
"TypeVariable,Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",118,""
"Member,Method,Lambda","RETURNS","PrimitiveType",114,""
"Member,Method","RETURNS_GENERIC","TypeVariable,Bound",113,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",110,""
"Parameter","OF_TYPE","Record,InternalJavaType,ConnectedInternalJavaType",106,""
"GenericDeclaration,Member,Method","INVOKES","Member,Method,Lambda",104,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",103,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",101,""
"Bound,ParameterizedType","OF_RAW_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",101,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",99,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",96,""
"Bound,WildcardType","HAS_LOWER_BOUND","TypeVariable,Bound",94,""
"Member,Method","RETURNS","Interface,InternalJavaType,ConnectedInternalJavaType",93,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",93,""
"StronglyConnectedComponent,PackageMembers","IN_WEAKLY_CONNECTED_COMPONENT","WeaklyConnectedComponent,PackageMembers",93,""
"ResolvedDuplicateType","DECLARES","Member,Constructor,Method",92,""
"Value,Annotation","HAS","Value,Array",89,""
"Value,Array","CONTAINS","Value,Enum",89,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",89,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",88,""
"ManifestSection","HAS","Value,ManifestEntry",87,""
"Git","RESOLVES_TO","ServiceLoader",83,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",82,""
"Parameter","OF_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",81,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",81,""
"Bound,GenericArrayType","HAS_COMPONENT_TYPE","Bound",79,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",79,""
"Member,Method","RETURNS","ExternalType",78,""
"Member,Method","INVOKES","Member,Method",78,""
"Value,Annotation","HAS","Value,Primitive",77,""
"Parameter","OF_TYPE","Class,InternalJavaType,ConnectedInternalJavaType",77,""
"Bound,WildcardType","HAS_UPPER_BOUND","TypeVariable,Bound",74,""
"Bound,ParameterizedType","OF_RAW_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",73,""
"JavaType","DECLARES","Member,Field",72,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Member,Method",72,""
"Parameter","OF_GENERIC_TYPE","Bound,GenericArrayType",71,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",71,""
"GenericDeclaration,Member,Method","RETURNS_GENERIC","Bound",68,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",67,""
"Member,Method","ANNOTATED_BY","Value,Annotation",66,""
"Member,Method,Lambda","READS","Member,Field",65,""
"Parameter","OF_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",65,""
"Member,Constructor,Method","INVOKES","Member,Method,Lambda",64,""
"Bound,ParameterizedType","OF_RAW_TYPE","GenericDeclaration,Interface,InternalJavaType,ConnectedInternalJavaType",64,""
"Member,Method","RETURNS","Interface,InternalJavaType,ConnectedInternalJavaType",63,""
"Member,Method","RETURNS","Interface,InternalJavaType,ConnectedInternalJavaType",62,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",62,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType,JavaType",60,""
"GenericDeclaration,Member,Method","CATCHES","Throwable,JavaType",59,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",57,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",57,""
"Artifact,Jar,Archive,Zip","CONTAINS","Interface",57,""
"Member,Method","INVOKES","Member,Method,GenericDeclaration",56,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",56,""
