artifactName,Class,Interface,Annotation,Enum
axon-messaging-5.1.0,373,195,28,8
axon-common-5.1.0,106,57,3,5
axon-eventsourcing-5.1.0,68,36,7,0
axon-modelling-5.1.0,60,36,3,0
axon-server-connector-5.1.0,57,16,0,2
axon-test-5.1.0,51,22,1,0
axon-conversion-5.1.0,29,10,0,0
axoniq-spring-boot-autoconfigure-5.1.0,20,6,0,0
axon-update-5.1.0,14,8,0,1
axon-metrics-micrometer-5.1.0,16,3,0,0
axon-tracing-opentelemetry-5.1.0,5,1,0,0
