"artifactName","numberOfPackages","Source Cypher File: domains/overview/queries/overview/Number_of_packages_per_artifact.cypher"
"axon-eventsourcing-5.1.0",11,""
"axon-conversion-5.1.0",5,""
"axon-update-5.1.0",5,""
"axoniq-spring-boot-autoconfigure-5.1.0",5,""
"axon-modelling-5.1.0",7,""
"axon-metrics-micrometer-5.1.0",3,""
"axon-test-5.1.0",5,""
"axon-tracing-opentelemetry-5.1.0",1,""
"axon-messaging-5.1.0",57,""
"axon-server-connector-5.1.0",10,""
"axon-common-5.1.0",15,""
