"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: domains/overview/queries/overview/Number_of_types_per_artifact.cypher"
"axon-messaging-5.1.0",634,"Class",373,""
"axon-messaging-5.1.0",634,"Interface",195,""
"axon-messaging-5.1.0",634,"Annotation",28,""
"axon-messaging-5.1.0",634,"Enum",8,""
"axon-common-5.1.0",175,"Interface",57,""
"axon-common-5.1.0",175,"Class",106,""
"axon-common-5.1.0",175,"Annotation",3,""
"axon-common-5.1.0",175,"Enum",5,""
"axon-eventsourcing-5.1.0",121,"Interface",36,""
"axon-eventsourcing-5.1.0",121,"Class",68,""
"axon-eventsourcing-5.1.0",121,"Annotation",7,""
"axon-modelling-5.1.0",99,"Class",60,""
"axon-modelling-5.1.0",99,"Interface",36,""
"axon-modelling-5.1.0",99,"Annotation",3,""
"axon-server-connector-5.1.0",79,"Class",57,""
"axon-server-connector-5.1.0",79,"Interface",16,""
"axon-server-connector-5.1.0",79,"Enum",2,""
"axon-test-5.1.0",79,"Class",51,""
"axon-test-5.1.0",79,"Interface",22,""
"axon-test-5.1.0",79,"Annotation",1,""
"axon-conversion-5.1.0",41,"Class",29,""
"axon-conversion-5.1.0",41,"Interface",10,""
"axon-update-5.1.0",28,"Interface",8,""
"axon-update-5.1.0",28,"Enum",1,""
"axon-update-5.1.0",28,"Class",14,""
"axoniq-spring-boot-autoconfigure-5.1.0",26,"Class",20,""
"axoniq-spring-boot-autoconfigure-5.1.0",26,"Interface",6,""
"axon-metrics-micrometer-5.1.0",19,"Class",16,""
"axon-metrics-micrometer-5.1.0",19,"Interface",3,""
"axon-tracing-opentelemetry-5.1.0",6,"Interface",1,""
"axon-tracing-opentelemetry-5.1.0",6,"Class",5,""
