"artifactName","effectiveLineCount","methods","Source Cypher File: domains/overview/queries/overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-common-5.1.0.jar",1,392,""
"axon-common-5.1.0.jar",2,152,""
"axon-common-5.1.0.jar",3,101,""
"axon-common-5.1.0.jar",4,37,""
"axon-common-5.1.0.jar",5,38,""
"axon-common-5.1.0.jar",6,38,""
"axon-common-5.1.0.jar",7,19,""
"axon-common-5.1.0.jar",8,18,""
"axon-common-5.1.0.jar",9,12,""
"axon-common-5.1.0.jar",10,6,""
"axon-common-5.1.0.jar",11,7,""
"axon-common-5.1.0.jar",12,7,""
"axon-common-5.1.0.jar",13,6,""
"axon-common-5.1.0.jar",14,5,""
"axon-common-5.1.0.jar",15,1,""
"axon-common-5.1.0.jar",16,3,""
"axon-common-5.1.0.jar",17,3,""
"axon-common-5.1.0.jar",18,1,""
"axon-common-5.1.0.jar",24,1,""
"axon-common-5.1.0.jar",26,1,""
"axon-conversion-5.1.0.jar",1,118,""
"axon-conversion-5.1.0.jar",2,23,""
"axon-conversion-5.1.0.jar",3,17,""
"axon-conversion-5.1.0.jar",4,8,""
"axon-conversion-5.1.0.jar",5,10,""
"axon-conversion-5.1.0.jar",6,7,""
"axon-conversion-5.1.0.jar",7,4,""
"axon-conversion-5.1.0.jar",8,6,""
"axon-conversion-5.1.0.jar",9,4,""
"axon-conversion-5.1.0.jar",10,1,""
"axon-conversion-5.1.0.jar",11,2,""
"axon-conversion-5.1.0.jar",13,1,""
"axon-conversion-5.1.0.jar",15,1,""
"axon-conversion-5.1.0.jar",16,2,""
"axon-conversion-5.1.0.jar",17,1,""
"axon-conversion-5.1.0.jar",19,1,""
"axon-conversion-5.1.0.jar",29,2,""
"axon-conversion-5.1.0.jar",30,1,""
"axon-eventsourcing-5.1.0.jar",1,332,""
"axon-eventsourcing-5.1.0.jar",2,78,""
"axon-eventsourcing-5.1.0.jar",3,54,""
"axon-eventsourcing-5.1.0.jar",4,59,""
"axon-eventsourcing-5.1.0.jar",5,34,""
"axon-eventsourcing-5.1.0.jar",6,18,""
"axon-eventsourcing-5.1.0.jar",7,23,""
"axon-eventsourcing-5.1.0.jar",8,3,""
"axon-eventsourcing-5.1.0.jar",9,9,""
"axon-eventsourcing-5.1.0.jar",10,7,""
"axon-eventsourcing-5.1.0.jar",11,7,""
"axon-eventsourcing-5.1.0.jar",12,3,""
"axon-eventsourcing-5.1.0.jar",13,5,""
"axon-eventsourcing-5.1.0.jar",14,2,""
"axon-eventsourcing-5.1.0.jar",15,2,""
