"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: domains/overview/queries/overview/Node_label_count.cypher"
"Git",553506,92.08693178320625,""
"Change",518074,86.19210107325449,""
"Update",314311,52.29199975377203,""
"Create",108091,17.983126729210788,""
"Delete",66520,11.06694905243824,""
"Java",41311,6.872921411684849,""
"ByteCode",41096,6.837151807862325,""
"Rename",27672,4.603797567334199,""
"File",20477,3.406763616157213,""
"Commit",17415,2.8973379096243526,""
"Member",13911,2.3143765524423983,""
"Bound",13847,2.3037288564208103,""
"Method",11759,1.956347773716495,""
"Parameter",9316,1.5499052521424328,""
"ParameterizedType",5074,0.8441626502115398,""
"Xml",3941,0.6556651565793611,""
"Type",2902,0.4828064664788901,""
"Element",2316,0.3853134997812231,""
"Field",2152,0.35802877872590333,""
"Value",1737,0.2889851248359173,""
"Text",1548,0.25754114752216467,""
"Constructor",1536,0.2555447045181169,""
"Copy",1480,0.2462279704992272,""
"InternalJavaType",1183,0.1968160061490445,""
"ConnectedInternalJavaType",1171,0.19481956314499665,""
"WildcardType",1158,0.19265674989061154,""
"StronglyConnectedComponent",1000,0.16637025033731567,""
"TypeVariable",909,0.15123055755661996,""
"TypeMembers",900,0.1497332253035841,""
"Class",854,0.14208019378806758,""
"Lambda",807,0.13426079202221378,""
"JavaType",758,0.12610864975568528,""
"GenericDeclaration",742,0.12344672575028824,""
"Annotation",668,0.11113532722532687,""
"Person",567,0.094331931941258,""
"Json",552,0.09183637818619826,""
"ResolvedDuplicateType",436,0.07253742914706963,""
"Interface",390,0.06488439763155313,""
"Maven",369,0.06139062237446949,""
"ExternalType",352,0.05856232811873512,""
"Author",313,0.05207388835557981,""
"Primitive",302,0.05024381560186933,""
"Committer",254,0.04225804358567819,""
"Key",248,0.041259822083654286,""
"Scalar",242,0.04026160058163039,""
"Directory",214,0.03560323357218556,""
"Dependency",182,0.030279385561391457,""
"Package",157,0.026120129302958563,""
"Throwable",156,0.025953759052621247,""
"Enum",153,0.025454648301609296,""
"Tag",151,0.025121907800934665,""
"Array",144,0.023957316048573457,""
"Artifact",112,0.018633468037779356,""
"GenericArrayType",111,0.01846709778744204,""
"PackageMembers",94,0.015638803531707674,""
"ManifestEntry",87,0.014474211779346467,""
"Property",87,0.014474211779346467,""
"Record",60,0.00998221502023894,""
"Object",57,0.009483104269226994,""
"ExternalAnnotation",51,0.008484882767203099,""
"Namespace",44,0.00732029101484189,""
"PrimitiveType",38,0.006322069512817996,""
"Attribute",22,0.003660145507420945,""
"jQAssistant",20,0.0033274050067463134,""
"Concept",19,0.003161034756408998,""
"Rule",19,0.003161034756408998,""
"Configuration",18,0.002994664506071682,""
"Plugin",18,0.002994664506071682,""
"ExecutionGoal",13,0.0021628132543851037,""
"PluginExecution",13,0.0021628132543851037,""
"ServiceLoader",13,0.0021628132543851037,""
"ArtifactMembers",12,0.0019964430040477882,""
"Properties",12,0.0019964430040477882,""
"Archive",11,0.0018300727537104726,""
"Document",11,0.0018300727537104726,""
"Jar",11,0.0018300727537104726,""
"Manifest",11,0.0018300727537104726,""
"ManifestSection",11,0.0018300727537104726,""
"Pom",11,0.0018300727537104726,""
"Void",11,0.0018300727537104726,""
"Zip",11,0.0018300727537104726,""
"License",9,0.001497332253035841,""
"WeaklyConnectedComponent",6,0.0009982215020238941,""
"Exclusion",4,0.0006654810013492627,""
"Analyze",1,0.00016637025033731568,""
"Branch",1,0.00016637025033731568,""
"Repository",1,0.00016637025033731568,""
"Task",1,0.00016637025033731568,""
