"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Java_artifacts.cypher"
"axon-messaging-5.0.3.jar",59,579,7,2,""
"axon-common-5.0.3.jar",15,156,10,0,""
"axon-eventsourcing-5.0.3.jar",7,100,3,4,""
"axon-modelling-5.0.3.jar",7,92,2,3,""
"axon-spring-boot-autoconfigure-5.0.3.jar",7,75,1,7,""
"axon-test-5.0.3.jar",6,78,1,3,""
"axon-server-connector-5.0.3.jar",5,72,1,4,""
"axon-conversion-5.0.3.jar",5,35,4,1,""
"axon-update-5.0.3.jar",5,23,1,1,""
"axon-metrics-micrometer-5.0.3.jar",3,16,0,3,""
"axon-tracing-opentelemetry-5.0.3.jar",1,5,0,2,""
