"artifactName","dependentArtifactName","fullPackageName","fullDependentPackageName","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNameExamples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity.annotation","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.annotation","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-test-5.0.3","axon-messaging-5.0.3","org.axonframework.test.matchers","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-spring-boot-autoconfigure-5.0.3","axon-messaging-5.0.3","org.axonframework.extension.springboot.autoconfig","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.messaging.eventhandling",1,19,0.0526,"org.axonframework.messaging.eventhandling.EventMessage",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.annotation","org.axonframework.messaging.eventhandling.annotation",1,18,0.0556,"org.axonframework.messaging.eventhandling.annotation.EventHandler",""
"axon-eventsourcing-5.0.3","axon-modelling-5.0.3","org.axonframework.eventsourcing.configuration","org.axonframework.modelling.entity.annotation",1,18,0.0556,"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",""
"axon-eventsourcing-5.0.3","axon-modelling-5.0.3","org.axonframework.eventsourcing.annotation","org.axonframework.modelling.entity.annotation",1,18,0.0556,"org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition",""
"axon-spring-boot-autoconfigure-5.0.3","axon-messaging-5.0.3","org.axonframework.extension.springboot.autoconfig","org.axonframework.messaging.core.annotation",3,51,0.0588,"org.axonframework.messaging.core.annotation.HandlerEnhancerDefinition,org.axonframework.messaging.core.annotation.HandlerDefinition,org.axonframework.messaging.core.annotation.ParameterResolverFactory",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity.annotation","org.axonframework.messaging.core.annotation",3,51,0.0588,"org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector,org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.core.annotation.ParameterResolverFactory",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.messaging.core.annotation",3,51,0.0588,"org.axonframework.messaging.core.annotation.PayloadParameterResolver,org.axonframework.messaging.core.annotation.ParameterResolver,org.axonframework.messaging.core.annotation.ParameterResolverFactory",""
"axon-server-connector-5.0.3","axon-common-5.0.3","org.axonframework.axonserver.connector.event","org.axonframework.common",2,34,0.0588,"org.axonframework.common.StringUtils,org.axonframework.common.FutureUtils",""
"axon-metrics-micrometer-5.0.3","axon-common-5.0.3","org.axonframework.extension.metrics.micrometer","org.axonframework.common",2,34,0.0588,"org.axonframework.common.StringUtils,org.axonframework.common.BuilderUtils",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.queryhandling.annotation","org.axonframework.common",2,34,0.0588,"org.axonframework.common.StringUtils,org.axonframework.common.ReflectionUtils",""
"axon-modelling-5.0.3","axon-common-5.0.3","org.axonframework.modelling.annotation","org.axonframework.common",2,34,0.0588,"org.axonframework.common.ReflectionUtils,org.axonframework.common.ConstructorUtils",""
"axon-test-5.0.3","axon-common-5.0.3","org.axonframework.test","org.axonframework.common",2,34,0.0588,"org.axonframework.common.Priority,org.axonframework.common.AxonNonTransientException",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.core.unitofwork","org.axonframework.common",2,34,0.0588,"org.axonframework.common.DirectExecutor,org.axonframework.common.FutureUtils",""
"axon-server-connector-5.0.3","axon-common-5.0.3","org.axonframework.axonserver.connector.util","org.axonframework.common",2,34,0.0588,"org.axonframework.common.ObjectUtils,org.axonframework.common.AxonException",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","org.axonframework.common",2,34,0.0588,"org.axonframework.common.ObjectUtils,org.axonframework.common.FutureUtils",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.core.interception","org.axonframework.common",2,34,0.0588,"org.axonframework.common.AxonNonTransientException,org.axonframework.common.TypeReference",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.core.retry","org.axonframework.common",2,34,0.0588,"org.axonframework.common.AxonNonTransientException,org.axonframework.common.FutureUtils",""
"axon-conversion-5.0.3","axon-common-5.0.3","org.axonframework.conversion","org.axonframework.common",2,34,0.0588,"org.axonframework.common.AxonNonTransientException,org.axonframework.common.Assert",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token","org.axonframework.common",2,34,0.0588,"org.axonframework.common.Assert,org.axonframework.common.CollectionUtils",""
"axon-modelling-5.0.3","axon-common-5.0.3","org.axonframework.modelling.configuration","org.axonframework.common",2,34,0.0588,"org.axonframework.common.TypeReference,org.axonframework.common.FutureUtils",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.tracing","org.axonframework.common",2,34,0.0588,"org.axonframework.common.BuilderUtils,org.axonframework.common.FutureUtils",""
"axon-test-5.0.3","axon-common-5.0.3","org.axonframework.test.fixture","org.axonframework.common",2,34,0.0588,"org.axonframework.common.FutureUtils,org.axonframework.common.Registration",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing","org.axonframework.messaging.eventstreaming",1,16,0.0625,"org.axonframework.messaging.eventstreaming.EventCriteria",""
"axon-test-5.0.3","axon-messaging-5.0.3","org.axonframework.test.fixture","org.axonframework.messaging.eventstreaming",1,16,0.0625,"org.axonframework.messaging.eventstreaming.StreamingCondition",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.messaging.core",5,80,0.0625,"org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.Context$ResourceKey,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.Message,org.axonframework.messaging.core.MessageType",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity.child","org.axonframework.messaging.core",5,80,0.0625,"org.axonframework.messaging.core.MessageStream$Single,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.core.MessageStream$Empty,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.MessageStream",""
"axon-eventsourcing-5.0.3","axon-modelling-5.0.3","org.axonframework.eventsourcing","org.axonframework.modelling",1,16,0.0625,"org.axonframework.modelling.EntityEvolver",""
"axon-server-connector-5.0.3","axon-modelling-5.0.3","org.axonframework.axonserver.connector","org.axonframework.modelling",1,16,0.0625,"org.axonframework.modelling.ConcurrencyException",""
"axon-modelling-5.0.3","axon-common-5.0.3","org.axonframework.modelling","org.axonframework.common.configuration",3,46,0.0652,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-metrics-micrometer-5.0.3","axon-common-5.0.3","org.axonframework.extension.metrics.micrometer","org.axonframework.common.configuration",3,46,0.0652,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-modelling-5.0.3","axon-common-5.0.3","org.axonframework.modelling.annotation","org.axonframework.common.configuration",3,46,0.0652,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.core.reflection","org.axonframework.common.configuration",3,46,0.0652,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.commandhandling.annotation","org.axonframework.common.configuration",3,46,0.0652,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.0.3","axon-common-5.0.3","org.axonframework.messaging.eventhandling.annotation","org.axonframework.common.configuration",3,46,0.0652,"org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ConfigurationEnhancer,org.axonframework.common.configuration.Configuration",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.repository","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.annotation","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity.annotation","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-server-connector-5.0.3","axon-messaging-5.0.3","org.axonframework.axonserver.connector.query","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-modelling-5.0.3","axon-messaging-5.0.3","org.axonframework.modelling.entity.child","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-server-connector-5.0.3","axon-messaging-5.0.3","org.axonframework.axonserver.connector.command","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-test-5.0.3","axon-messaging-5.0.3","org.axonframework.test.util","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
"axon-eventsourcing-5.0.3","axon-messaging-5.0.3","org.axonframework.eventsourcing","org.axonframework.messaging.core.unitofwork",1,15,0.0667,"org.axonframework.messaging.core.unitofwork.ProcessingContext",""
