"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: domains/archetypes/labels/ArchetypeBottleneck.cypher"
"axon-messaging-5.1.0","annotation","org.axonframework.messaging.core.annotation",1320.0761904761905,1,""
"axon-messaging-5.1.0","core","org.axonframework.messaging.core",1148.0714285714287,2,""
"axon-messaging-5.1.0","sequencing","org.axonframework.messaging.core.sequencing",412.6428571428572,3,""
"axon-messaging-5.1.0","unitofwork","org.axonframework.messaging.core.unitofwork",399.08333333333337,4,""
"axon-messaging-5.1.0","conversion","org.axonframework.messaging.core.conversion",351.4809523809523,5,""
"axon-messaging-5.1.0","annotation","org.axonframework.messaging.eventhandling.annotation",239.03809523809522,6,""
"axon-messaging-5.1.0","annotation","org.axonframework.messaging.commandhandling.annotation",231.28095238095239,7,""
"axon-messaging-5.1.0","token","org.axonframework.messaging.eventhandling.processing.streaming.token",199,8,""
"axon-eventsourcing-5.1.0","eventstore","org.axonframework.eventsourcing.eventstore",189.83333333333331,9,""
"axon-messaging-5.1.0","transaction","org.axonframework.messaging.core.unitofwork.transaction",177.5,10,""
