"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"Git,Commit","CONTAINS_CHANGE","Git,Update,Change",315202,""
"Git,Update,Change","MODIFIES","Git",315202,""
"Git,Update,Change","UPDATES","Git",315202,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Create",108637,""
"Git,Change,Create","MODIFIES","Git",108637,""
"Git,Change,Create","CREATES","Git",108637,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Delete",66564,""
"Git,Change,Delete","MODIFIES","Git",66564,""
"Git,Change,Delete","DELETES","Git",66564,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Rename",27910,""
"Git,Change,Rename","MODIFIES","Git",27910,""
"Git,Change,Rename","CREATES","Git",27910,""
"Git,Change,Rename","DELETES","Git",27910,""
"Git,Change,Rename","RENAMES","Git",27910,""
"Git,Commit","HAS_PARENT","Git,Commit",21416,""
"Author,Git,Person,Committer","COMMITTED","Git,Commit",17612,""
"Repository,Git","HAS_COMMIT","Git,Commit",17612,""
"Repository,Git","HAS_FILE","Git",17554,""
"Member,Method","INVOKES","Member,Method",13760,""
"Git","HAS_NEW_NAME","Git",9825,""
"Git","CHANGED_TOGETHER_WITH","Git",6784,""
"Member,Method","HAS","Parameter",5470,""
"Member,Method","READS","Member,Field",5400,""
"Parameter","OF_TYPE","JavaType",4167,""
"StronglyConnectedComponent,TypeMembers","DEPENDS_ON","StronglyConnectedComponent,TypeMembers",4124,""
"Bound,ParameterizedType","OF_RAW_TYPE","JavaType",2883,""
"Bound","OF_RAW_TYPE","JavaType",2442,""
"Xml,Element","HAS_ELEMENT","Xml,Element",2294,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound",2153,""
"Parameter","OF_GENERIC_TYPE","Bound,ParameterizedType",1897,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,TypeVariable",1847,""
"Parameter","OF_GENERIC_TYPE","Bound",1779,""
"JavaType","DECLARES","Member,Method",1650,""
"Xml,Element","HAS_LAST_CHILD","Xml,Text",1548,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Text",1548,""
"Xml,Element","HAS_TEXT","Xml,Text",1548,""
"Xml,Element","HAS_SIBLING","Xml,Element",1526,""
"Member,Constructor,Method","INVOKES","Member,Constructor,Method",1525,""
"Member,Method","INVOKES","Member,Constructor,Method",1498,""
"Member,Method","RETURNS","JavaType",1494,""
"Member,Constructor,Method","WRITES","Member,Field",1489,""
"Member,Method,Lambda","HAS","Parameter",1487,""
"Git,Change,Copy","MODIFIES","Git",1486,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Copy",1486,""
"Git,Change,Copy","CREATES","Git",1486,""
"Git,Change,Copy","COPIES","Git",1486,""
"Member,Method,Lambda","INVOKES","Member,Method",1424,""
"Member,Constructor,Method","HAS","Parameter",1418,""
"Parameter","OF_TYPE","ResolvedDuplicateType",1357,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,WildcardType",1165,""
"Member,Constructor,Method","INVOKES","Member,Method",1094,""
"Member,Method","RETURNS_GENERIC","Bound,ParameterizedType",1069,""
"Member,Constructor,Method","RETURNS","Void",1036,""
"GenericDeclaration,Member,Method","INVOKES","Member,Method",1016,""
"Member,Method","RETURNS","Void",980,""
"StronglyConnectedComponent,TypeMembers","IN_WEAKLY_CONNECTED_COMPONENT","WeaklyConnectedComponent,TypeMembers",903,""
"GenericDeclaration,Member,Method","HAS","Parameter",885,""
"Member,Field","OF_TYPE","JavaType",837,""
"Bound,TypeVariable","HAS_UPPER_BOUND","Bound",835,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,ParameterizedType",802,""
"Member,Method","RETURNS","PrimitiveType",792,""
"Xml,Element","HAS_LAST_CHILD","Xml,Element",768,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Element",768,""
"Bound","OF_RAW_TYPE","ResolvedDuplicateType",713,""
"Bound,TypeVariable","OF_RAW_TYPE","JavaType",701,""
"Member,Method","RETURNS_GENERIC","Bound",675,""
"ExternalType","DECLARES","Member,Method",663,""
"ResolvedDuplicateType","DECLARES","Member,Method",633,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",630,""
"Member,Method","WRITES","Member,Field",616,""
"Member,Field","OF_GENERIC_TYPE","Bound,ParameterizedType",585,""
"Member,Method","INVOKES","Member,Method,Lambda",573,""
"GenericDeclaration,Member,Method","DECLARES_TYPE_PARAMETER","Bound,TypeVariable",549,""
"Member,Method","INVOKES","GenericDeclaration,Member,Method",542,""
"Parameter","OF_TYPE","PrimitiveType",519,""
"Member,Method","RESOLVES_TO","Member,Method",510,""
"Git","COPY_OF","Git",468,""
"Bound","OF_RAW_TYPE","Void",462,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",438,""
"Bound,ParameterizedType","OF_RAW_TYPE","ResolvedDuplicateType",389,""
"StronglyConnectedComponent,PackageMembers","DEPENDS_ON","StronglyConnectedComponent,PackageMembers",357,""
"Member,Method","CATCHES","Throwable,JavaType",349,""
"Bound","OF_RAW_TYPE","PrimitiveType",335,""
"GenericDeclaration,Member,Method","READS","Member,Field",331,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",318,""
"Member,Constructor,Method","RETURNS_GENERIC","Bound",316,""
"Repository,Git","HAS_AUTHOR","Author,Git,Person",314,""
"Parameter","OF_TYPE","ExternalType",313,""
"Member,Method","THROWS","Throwable,JavaType",312,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",300,""
"Parameter","OF_GENERIC_TYPE","Bound,TypeVariable",294,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",273,""
"GenericDeclaration,Member,Method","RETURNS_GENERIC","Bound,ParameterizedType",262,""
"Member,Field","OF_TYPE","PrimitiveType",258,""
"Repository,Git","HAS_COMMITTER","Committer,Git,Person",255,""
