"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: domains/overview/queries/overview/Node_label_combination_count.cypher"
"Git,Change,Update",315202,52.23055534382136,""
"Git,Change,Create",108637,18.001696819457745,""
"Git,Change,Delete",66564,11.029989295455374,""
"Git,Change,Rename",27910,4.62482725251126,""
"Git,Commit",17612,2.91839690330449,""
"File,Git",17554,2.908786011844595,""
"Java,ByteCode,Parameter",9368,1.5523246757981182,""
"Java,ByteCode,Member,Method",8998,1.4910138164849989,""
"Java,ByteCode,Bound",6639,1.1001156621075692,""
"Java,ByteCode,Bound,ParameterizedType",5076,0.8411187077659317,""
"Xml,Element",2316,0.3837728382950941,""
"Java,ByteCode,Member,Field",2163,0.35841996944399335,""
"Xml,Text",1548,0.25651137896407844,""
"Java,ByteCode,Member,Method,Constructor",1537,0.2546886236872019,""
"Git,Change,Copy",1486,0.24623766740350167,""
"Java,ByteCode,Bound,WildcardType",1165,0.19304635432374123,""
"StronglyConnectedComponent,TypeMembers",903,0.14963163772904578,""
"Java,ByteCode,Bound,TypeVariable",902,0.14946593270387518,""
"Java,ByteCode,Member,Method,Lambda",812,0.13455248043852178,""
"Type,File,Java,ByteCode,JavaType",664,0.11002813671327397,""
"Java,Value,ByteCode,Annotation",629,0.10422846083230321,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",622,0.10306852565610905,""
"Java,ByteCode,Member,Method,GenericDeclaration",499,0.08268680756012607,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",427,0.07075604574784335,""
"Author,Git,Person",314,0.0520313779035663,""
"Java,Value,ByteCode,Primitive",307,0.050871442727372145,""
"Type,File,Java,ByteCode,ExternalType",291,0.04822016232464266,""
"Committer,Git,Person",255,0.0422547814185013,""
"Json,Key",248,0.041094846242307144,""
"Value,Json,Scalar",242,0.040100616091283584,""
"Maven,Dependency",182,0.030158314581047986,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",178,0.02949549448036561,""
"Package,File,Directory,Java",157,0.02601568895178315,""
"Git,Tag",153,0.02535286885110078,""
"Value,Array",140,0.023198703523883066,""
"Java,Value,ByteCode,Enum",139,0.023032998498712473,""
"Type,File,Java,Class,ByteCode,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",129,0.02137594824700654,""
"Type,File,Java,ByteCode,Interface",124,0.020547423121153572,""
"Java,ByteCode,Bound,GenericArrayType",111,0.01839325779393586,""
"Artifact,Maven",101,0.016736207542229927,""
"Type,File,Java,ByteCode,Throwable,JavaType",94,0.015576272366035773,""
"StronglyConnectedComponent,PackageMembers",92,0.015244862315694585,""
"Value,ManifestEntry",87,0.01441633718984162,""
"Value,Property",87,0.01441633718984162,""
