artifactName,Class,Interface,Annotation,Enum
axon-messaging-5.1.2,372,195,28,8
axon-common-5.1.2,106,57,3,5
axon-eventsourcing-5.1.2,71,38,8,0
axon-modelling-5.1.2,60,36,3,0
axon-server-connector-5.1.2,57,16,0,2
axon-test-5.1.2,51,22,1,0
axon-conversion-5.1.2,29,10,0,0
axoniq-spring-boot-autoconfigure-5.1.2,20,6,0,0
axon-update-5.1.2,14,8,0,1
axon-metrics-micrometer-5.1.2,16,3,0,0
axon-tracing-opentelemetry-5.1.2,5,1,0,0
