"artifactName","cyclomaticComplexity","methods","Source Cypher File: domains/overview/queries/overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-common-5.1.2.jar",1,598,""
"axon-common-5.1.2.jar",2,96,""
"axon-common-5.1.2.jar",3,80,""
"axon-common-5.1.2.jar",4,33,""
"axon-common-5.1.2.jar",5,13,""
"axon-common-5.1.2.jar",6,8,""
"axon-common-5.1.2.jar",7,6,""
"axon-common-5.1.2.jar",8,8,""
"axon-common-5.1.2.jar",9,3,""
"axon-common-5.1.2.jar",10,1,""
"axon-common-5.1.2.jar",11,1,""
"axon-common-5.1.2.jar",12,1,""
"axon-conversion-5.1.2.jar",1,162,""
"axon-conversion-5.1.2.jar",2,14,""
"axon-conversion-5.1.2.jar",3,9,""
"axon-conversion-5.1.2.jar",4,13,""
"axon-conversion-5.1.2.jar",5,2,""
"axon-conversion-5.1.2.jar",6,2,""
"axon-conversion-5.1.2.jar",7,2,""
"axon-conversion-5.1.2.jar",8,1,""
"axon-conversion-5.1.2.jar",9,1,""
"axon-conversion-5.1.2.jar",17,2,""
"axon-conversion-5.1.2.jar",21,1,""
"axon-eventsourcing-5.1.2.jar",1,551,""
"axon-eventsourcing-5.1.2.jar",2,62,""
"axon-eventsourcing-5.1.2.jar",3,50,""
"axon-eventsourcing-5.1.2.jar",4,19,""
"axon-eventsourcing-5.1.2.jar",5,9,""
"axon-eventsourcing-5.1.2.jar",6,10,""
"axon-eventsourcing-5.1.2.jar",7,4,""
"axon-eventsourcing-5.1.2.jar",8,4,""
"axon-eventsourcing-5.1.2.jar",11,1,""
"axon-eventsourcing-5.1.2.jar",13,1,""
"axon-messaging-5.1.2.jar",1,2982,""
"axon-messaging-5.1.2.jar",2,322,""
"axon-messaging-5.1.2.jar",3,149,""
"axon-messaging-5.1.2.jar",4,84,""
"axon-messaging-5.1.2.jar",5,36,""
"axon-messaging-5.1.2.jar",6,32,""
"axon-messaging-5.1.2.jar",7,11,""
"axon-messaging-5.1.2.jar",8,5,""
"axon-messaging-5.1.2.jar",9,2,""
"axon-messaging-5.1.2.jar",10,1,""
"axon-messaging-5.1.2.jar",11,3,""
"axon-messaging-5.1.2.jar",13,1,""
"axon-messaging-5.1.2.jar",25,1,""
"axon-messaging-5.1.2.jar",58,1,""
"axon-metrics-micrometer-5.1.2.jar",1,95,""
"axon-metrics-micrometer-5.1.2.jar",2,10,""
"axon-metrics-micrometer-5.1.2.jar",3,2,""
"axon-modelling-5.1.2.jar",1,291,""
"axon-modelling-5.1.2.jar",2,26,""
"axon-modelling-5.1.2.jar",3,20,""
"axon-modelling-5.1.2.jar",4,19,""
"axon-modelling-5.1.2.jar",5,7,""
"axon-modelling-5.1.2.jar",6,3,""
"axon-modelling-5.1.2.jar",7,1,""
"axon-modelling-5.1.2.jar",8,1,""
"axon-server-connector-5.1.2.jar",1,495,""
"axon-server-connector-5.1.2.jar",2,55,""
"axon-server-connector-5.1.2.jar",3,23,""
"axon-server-connector-5.1.2.jar",4,6,""
"axon-server-connector-5.1.2.jar",5,5,""
"axon-server-connector-5.1.2.jar",6,4,""
"axon-server-connector-5.1.2.jar",7,4,""
"axon-server-connector-5.1.2.jar",9,2,""
"axon-server-connector-5.1.2.jar",10,1,""
"axon-server-connector-5.1.2.jar",12,1,""
"axon-server-connector-5.1.2.jar",28,1,""
"axon-server-connector-5.1.2.jar",31,1,""
"axon-test-5.1.2.jar",1,303,""
"axon-test-5.1.2.jar",2,38,""
"axon-test-5.1.2.jar",3,29,""
"axon-test-5.1.2.jar",4,9,""
"axon-test-5.1.2.jar",5,7,""
"axon-test-5.1.2.jar",6,5,""
"axon-test-5.1.2.jar",7,3,""
"axon-test-5.1.2.jar",8,4,""
"axon-test-5.1.2.jar",9,1,""
"axon-test-5.1.2.jar",11,1,""
"axon-tracing-opentelemetry-5.1.2.jar",1,30,""
"axon-tracing-opentelemetry-5.1.2.jar",2,7,""
"axon-tracing-opentelemetry-5.1.2.jar",3,3,""
"axon-tracing-opentelemetry-5.1.2.jar",4,1,""
"axon-update-5.1.2.jar",1,119,""
"axon-update-5.1.2.jar",2,15,""
"axon-update-5.1.2.jar",3,6,""
"axon-update-5.1.2.jar",4,1,""
"axon-update-5.1.2.jar",5,2,""
"axon-update-5.1.2.jar",6,4,""
"axon-update-5.1.2.jar",7,3,""
"axon-update-5.1.2.jar",9,1,""
"axon-update-5.1.2.jar",11,1,""
"axon-update-5.1.2.jar",17,1,""
"axon-update-5.1.2.jar",41,1,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",1,70,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",2,4,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",3,4,""
