"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/deadline/quartz","quartz","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/deadline","deadline","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",26,2,405,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fe00b61e3d1268e540588c0b5e1921c535074072","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/deadline/quartz/QuartzDeadlineManager.java",10,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging","messaging","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework","axonframework","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",18,127,323,"2025-11-17","2025-11-18","2025-11-18",25,25,24,"fef8b0a634262016191824c78cef042626e12fd2","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/snapshotting/SnapshotterSpanFactory.java",9,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/deadletter","deadletter","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging","messaging","Steven van Beelen","Mitchell Herrijgers","Simon Zambrovski",11,17,209,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fef8b0a634262016191824c78cef042626e12fd2","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/deadletter/annotation/DeadLetterParameterResolverFactory.java",10,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/deadletter/annotation","annotation","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/deadletter","deadletter","Simon Zambrovski","Steven van Beelen","Allard Buijze",6,1,30,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fef8b0a634262016191824c78cef042626e12fd2","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/deadletter/annotation/DeadLetterParameterResolverFactory.java",11,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling","eventhandling","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging","messaging","Simon Zambrovski","Jan Galinski","Allard Buijze",5,64,22,"2025-11-17","2025-11-18","2025-11-18",25,25,24,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/scheduling/quartz/QuartzScheduleToken.java",10,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/annotation","annotation","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling","eventhandling","Simon Zambrovski","Jan Galinski","Allard Buijze",5,2,21,"2025-11-17","2025-11-18","2025-11-18",25,25,24,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/annotation/ConcludesBatchParameterResolverFactory.java",11,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter","deadletter","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling","eventhandling","Simon Zambrovski","Jan Galinski","Allard Buijze",4,21,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jpa/PagingJpaQueryIterable.java",11,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jdbc","jdbc","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter","deadletter","Simon Zambrovski","Jan Galinski","Allard Buijze",4,10,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jdbc/PagingJdbcIterable.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jpa","jpa","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter","deadletter","Simon Zambrovski","Jan Galinski","Allard Buijze",4,8,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jpa/PagingJpaQueryIterable.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing","processing","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling","eventhandling","Simon Zambrovski","Jan Galinski","Allard Buijze",4,4,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventhandling/processing/streaming/token/MultiSourceTrackingToken.java",11,1,""
