"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,148,69,86,"./cli/run.ts uses ./cli/commands.ts,./cli/commands.ts uses ./cli/useJavascript.ts,./config/config.ts uses ./config/routes.ts,./config/format.ts uses ./config/routes.ts",""
3,41,24,29,"./config/config.ts uses ./config.ts,./vite/plugin.ts uses ./config.ts,./vite/plugin.ts uses ./manifest.ts,./config/routes.ts uses ./routes.ts",""
4,116,43,40,"./vite/rsc/virtual-route-config.ts uses ./routes.ts,./config/config.ts uses ./cli/detectPackageManager.ts,./vite/build.ts uses ./config/config.ts,./vite/cloudflare-dev-proxy.ts uses ./config/config.ts",""
5,48,22,18,"./vite/rsc/plugin.ts uses ./config/config.ts,./vite/rsc/plugin.ts uses ./config/routes.ts,./vite/rsc/virtual-route-config.ts uses ./config/routes.ts,./vite/rsc/plugin.ts uses ./typegen/index.ts",""
6,1,1,1,"./lib/server-runtime/single-fetch.ts uses ./vendor/turbo-stream-v2/turbo-stream.ts",""
