"artifactName","fullQualifiedName","name","distance","abstractness","instability","elementsCount","Source Cypher File: Metrics/Calculate_distance_between_abstractness_and_instability_for_Java_including_subpackages.cypher"
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","connector",0.13601532567049812,0.16666666666666666,0.9693486590038314,72,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.12682926829268304,0.2,0.926829268292683,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.configuration","configuration",0.11695906432748537,0.2222222222222222,0.8947368421052632,9,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","command",0.11111111111111116,0,0.8888888888888888,6,""
"axon-update-5.0.3","org.axonframework.update","update",0.1048593350383632,0.13043478260869565,0.7647058823529411,23,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","child",0.10204081632653061,0.42857142857142855,0.46938775510204084,14,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.interception","interception",0.09090909090909094,0,0.9090909090909091,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0.09090909090909094,0,0.9090909090909091,4,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service","service",0.08333333333333337,0.25,0.6666666666666666,4,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service.connection","connection",0.08333333333333337,0.25,0.6666666666666666,4,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0.08333333333333337,0,0.9166666666666666,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling","queryhandling",0.07887667887667893,0.38095238095238093,0.5401709401709401,63,""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","jackson2",0.07692307692307687,0,0.9230769230769231,5,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","springboot",0.07152542372881365,0.08,0.9915254237288136,75,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception","interception",0.06896551724137934,0,0.9310344827586207,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration","configuration",0.0625,0,0.9375,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception","interception",0.03448275862068961,0,0.9655172413793104,6,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction","transaction",0.030303030303030276,0.3333333333333333,0.6363636363636364,9,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore","eventstore",0.029371328583926992,0.2698412698412698,0.7007874015748031,63,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","query",0.02840909090909083,0.09090909090909091,0.9375,11,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation","correlation",0.026666666666666616,0.3333333333333333,0.64,6,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.02629016553067176,0.07692307692307693,0.9493670886075949,13,""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","avro",0.0235294117647058,0.2,0.8235294117647058,10,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.interception","interception",0.015625,0,0.984375,8,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","event",0.01388888888888884,0,0.9861111111111112,14,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","autoconfig",0.007692307692307665,0,0.9923076923076923,41,""
