"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-common-5.0.0","org.axonframework.common.annotation","annotation",0.0016402405686167304,0.022727272727272728,0,0.037037037037037035,0,3,1826,3,129,0,16,2,52,0,7,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.unitofwork","unitofwork",0.010826355408948659,0.08239700374531835,0.15384615384615385,0.09090909090909091,0.2,128,11695,22,245,10,55,6,60,1,4,""
"axon-common-5.0.0","org.axonframework.common.infra","infra",0.021791767554479417,0.08264462809917356,0.1,0.06818181818181818,0,27,1212,10,111,3,27,3,41,0,6,""
"axon-messaging-5.0.0","org.axonframework.messaging.core","core",0.030195696449127778,0.1646090534979424,0.17894736842105263,0.1038961038961039,0.2222222222222222,341,10952,80,406,17,78,8,69,2,7,""
"axon-common-5.0.0","org.axonframework.common","common",0.03587962962962963,0.05802047781569966,0,0.012987012987012988,0,31,833,17,276,0,20,1,76,0,9,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.036281179138321996,0.12121212121212122,0.2,0.15789473684210525,0.25,16,425,8,58,2,8,3,16,1,3,""
"axon-conversion-5.0.0","org.axonframework.conversion","conversion",0.04697986577181208,0.15384615384615385,0.25,0.13636363636363635,0.2,21,426,10,55,4,12,3,19,1,4,""
"axon-common-5.0.0","org.axonframework.common.configuration","configuration",0.07569386038687972,0.26666666666666666,0.29577464788732394,0.13513513513513514,0,270,3297,52,143,21,50,5,32,0,8,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling","eventhandling",0.12009871126953661,0.21243523316062177,0.39215686274509803,0.17777777777777778,0.25,438,3209,41,152,20,31,8,37,2,6,""
"axon-messaging-5.0.0","org.axonframework.messaging.commandhandling","commandhandling",0.19389485585076313,0.27611940298507465,0.4444444444444444,0.1875,0.25,343,1426,37,97,20,25,6,26,2,6,""
