"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.0","org.axonframework.messaging.core.unitofwork","unitofwork",11695,41449,245,55,60,4,""
"axon-messaging-5.0.0","org.axonframework.messaging.core","core",10952,35476,406,78,69,7,""
"axon-common-5.0.0","org.axonframework.common.configuration","configuration",3297,17699,143,50,32,8,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling","eventhandling",3209,10519,152,31,37,6,""
"axon-common-5.0.0","org.axonframework.common.annotation","annotation",1826,2042,129,16,52,7,""
"axon-messaging-5.0.0","org.axonframework.messaging.commandhandling","commandhandling",1426,4983,97,25,26,6,""
"axon-common-5.0.0","org.axonframework.common.infra","infra",1212,1486,111,27,41,6,""
"axon-common-5.0.0","org.axonframework.common","common",833,2020,276,20,76,9,""
"axon-messaging-5.0.0","org.axonframework.messaging.queryhandling","queryhandling",697,2463,76,17,16,3,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.annotation","annotation",480,1682,117,11,24,4,""
"axon-conversion-5.0.0","org.axonframework.conversion","conversion",426,1719,55,12,19,4,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.processing.streaming.token","token",425,2089,58,8,16,3,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventstreaming","eventstreaming",283,801,53,14,10,3,""
"axon-eventsourcing-5.0.0","org.axonframework.eventsourcing.eventstore","eventstore",223,719,65,7,9,3,""
"axon-messaging-5.0.0","org.axonframework.messaging.tracing","tracing",137,481,37,7,7,1,""
"axon-test-5.0.0","org.axonframework.test.fixture","fixture",132,355,26,0,1,0,""
"axon-modelling-5.0.0","org.axonframework.modelling","modelling",125,282,36,9,9,2,""
"axon-modelling-5.0.0","org.axonframework.modelling.entity","entity",115,394,25,5,5,1,""
"axon-modelling-5.0.0","org.axonframework.modelling.entity.child","child",89,230,28,7,3,0,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",86,651,31,5,10,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.configuration","configuration",85,309,18,6,5,1,""
"axon-modelling-5.0.0","org.axonframework.modelling.repository","repository",81,395,20,5,7,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.conversion","conversion",64,226,21,3,16,4,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",60,517,18,2,2,0,""
"axon-server-connector-5.0.0","org.axonframework.axonserver.connector","connector",59,336,33,1,8,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.monitoring","monitoring",56,195,33,2,9,2,""
"axon-modelling-5.0.0","org.axonframework.modelling.entity.annotation","annotation",47,96,21,4,4,1,""
"axon-spring-boot-autoconfigure-5.0.0","org.axonframework.extension.springboot.autoconfig","autoconfig",42,55,23,0,1,0,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.interception","interception",38,189,21,0,5,2,""
"axon-messaging-5.0.0","org.axonframework.messaging.queryhandling.distributed","distributed",38,134,14,2,4,2,""
"axon-modelling-5.0.0","org.axonframework.modelling.configuration","configuration",36,89,14,4,2,1,""
"axon-test-5.0.0","org.axonframework.test.matchers","matchers",35,85,16,0,2,0,""
"axon-eventsourcing-5.0.0","org.axonframework.eventsourcing","eventsourcing",34,93,14,4,4,0,""
"axon-eventsourcing-5.0.0","org.axonframework.eventsourcing.configuration","configuration",31,68,13,0,1,0,""
"axon-spring-boot-autoconfigure-5.0.0","org.axonframework.extension.springboot","springboot",31,152,19,0,2,0,""
"axon-messaging-5.0.0","org.axonframework.messaging.commandhandling.distributed","distributed",31,115,12,2,4,2,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",28,121,17,0,6,2,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.retry","retry",23,62,12,1,2,0,""
"axon-test-5.0.0","org.axonframework.test.util","util",23,74,10,0,2,0,""
"axon-common-5.0.0","org.axonframework.common.caching","caching",22,92,11,0,1,0,""
"axon-conversion-5.0.0","org.axonframework.conversion.avro","avro",22,95,9,0,2,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.interception.annotation","annotation",21,42,13,0,6,1,""
"axon-server-connector-5.0.0","org.axonframework.axonserver.connector.query","query",20,55,8,0,2,0,""
"axon-server-connector-5.0.0","org.axonframework.axonserver.connector.util","util",20,61,12,0,4,0,""
"axon-common-5.0.0","org.axonframework.common.jdbc","jdbc",20,100,13,0,4,3,""
"axon-messaging-5.0.0","org.axonframework.messaging.commandhandling.gateway","gateway",20,59,10,1,3,0,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.annotation","annotation",20,48,13,1,4,1,""
"axon-common-5.0.0","org.axonframework.common.property","property",19,43,10,0,4,2,""
"axon-server-connector-5.0.0","org.axonframework.axonserver.connector.event","event",18,70,10,0,2,0,""
"axon-metrics-micrometer-5.0.0","org.axonframework.extension.metrics.micrometer","micrometer",18,102,11,0,1,0,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.conversion","conversion",18,51,16,0,11,4,""
"axon-messaging-5.0.0","org.axonframework.messaging.eventhandling.sequencing","sequencing",18,55,14,0,4,0,""
"axon-update-5.0.0","org.axonframework.update.api","api",18,98,8,1,3,0,""
"axon-common-5.0.0","org.axonframework.common.lock","lock",17,71,7,0,1,0,""
"axon-eventsourcing-5.0.0","org.axonframework.eventsourcing.annotation","annotation",17,40,9,0,4,0,""
"axon-eventsourcing-5.0.0","org.axonframework.eventsourcing.eventstore.jpa","jpa",17,111,9,0,2,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.unitofwork.transaction","transaction",17,50,10,1,5,2,""
"axon-messaging-5.0.0","org.axonframework.messaging.monitoring.configuration","configuration",17,66,10,0,3,0,""
"axon-messaging-5.0.0","org.axonframework.messaging.commandhandling.annotation","annotation",16,48,14,1,6,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.correlation","correlation",15,50,9,1,4,1,""
"axon-messaging-5.0.0","org.axonframework.messaging.core.timeout","timeout",15,126,9,0,3,1,""
"axon-update-5.0.0","org.axonframework.update.configuration","configuration",15,40,9,0,2,0,""
