"codeFileExtension","firstThreeCodeFileLabels","codeFileCount","codeFileExamples","Source Cypher File: domains/git-history/queries/statistics/List_unresolved_git_files.cypher"
"jar","File,Artifact",11,"/axon-eventsourcing-5.1.0.jar,/axon-conversion-5.1.0.jar,/axon-update-5.1.0.jar,/axoniq-spring-boot-autoconfigure-5.1.0.jar,/axon-modelling-5.1.0.jar,/axon-metrics-micrometer-5.1.0.jar",""
"MF","File,Java",1,"/META-INF/MANIFEST.MF",""
"class","Type,File",1091,"/java/lang/Object.class,/org/axonframework/modelling/repository/Repository$LifecycleManagement.class,/org/axonframework/messaging/core/Context$ResourceKey.class,/org/axonframework/eventsourcing/EventSourcingRepository$EventSourcedEntity.class,/java/lang/invoke/MethodHandles$Lookup.class,/java/util/Map.class",""
"xml","File,Document",11,"/META-INF/maven/org.axonframework/axon-eventsourcing/pom.xml,/META-INF/maven/org.axonframework/axon-conversion/pom.xml,/META-INF/maven/org.axonframework/axon-update/pom.xml,/META-INF/maven/io.axoniq.framework/axoniq-spring-boot-autoconfigure/pom.xml,/META-INF/maven/org.axonframework/axon-modelling/pom.xml,/META-INF/maven/org.axonframework.extensions.metrics/axon-metrics-micrometer/pom.xml",""
"properties","File,Java",10,"/META-INF/maven/org.axonframework/axon-eventsourcing/pom.properties,/META-INF/maven/org.axonframework/axon-conversion/pom.properties,/META-INF/maven/org.axonframework/axon-update/pom.properties,/META-INF/maven/io.axoniq.framework/axoniq-spring-boot-autoconfigure/pom.properties,/META-INF/maven/org.axonframework.extensions.metrics/axon-metrics-micrometer/pom.properties,/META-INF/maven/org.axonframework/axon-test/pom.properties",""
