"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: domains/overview/queries/overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",89912,19.94423457855405,""
"MODIFIES",89912,19.94423457855405,""
"CONTAINS",73597,16.325249491478804,""
"UPDATES",59569,13.213565593134243,""
"COMMITTED",21994,4.87869800828274,""
"CREATES",20548,4.557947016195041,""
"DELETES",12727,2.8230967332642734,""
"HAS_PARENT",12088,2.6813540749350624,""
"HAS_COMMIT",10997,2.43934900414137,""
"DEPENDS_ON",10524,2.3344283822482295,""
"HAS_FILE",6450,1.430735753088282,""
"OF_TYPE",5989,1.3284769651543753,""
"HAS_TYPE_ARGUMENT",5587,1.239305527520036,""
"REFERENCES",3045,0.6754403671556308,""
"RENAMES",2932,0.6503747640395104,""
"CHANGED_TOGETHER_WITH",2909,0.6452729156176453,""
"DECLARES",2347,0.5206103585268523,""
"EXPORTS",1921,0.4261152529740449,""
"HAS_MEMBER",1877,0.4163551951235202,""
"HAS_PARAMETER",1850,0.41036606871524367,""
"HAS_NEW_NAME",1712,0.3797549781840525,""
"HAS_KEY",1563,0.34670387319023016,""
"HAS_VALUE",1563,0.34670387319023016,""
"RETURNS",1390,0.30832910027793986,""
"HAS_TAG",1367,0.30322725185607463,""
"ON_COMMIT",1367,0.30322725185607463,""
"HAS_AUTHOR",1322,0.29324537450894705,""
"HAS_COMMITTER",361,0.08007683827362322,""
"DECLARES_DEPENDENCY",332,0.07364407287214103,""
"DECLARES_DEV_DEPENDENCY",310,0.06876404394687867,""
"INITIALIZED_WITH",277,0.061444000558985135,""
"CONSTRAINED_BY",229,0.050796664722049086,""
"IN_WEAKLY_CONNECTED_COMPONENT",221,0.049022108749226405,""
"SIMILAR",220,0.04880028925262357,""
"RESOLVES_TO",213,0.04724755277640373,""
"USES",182,0.04037114838171586,""
"DECLARES_SCRIPT",166,0.036822036436070515,""
"IS_DESCRIBED_IN_NPM_PACKAGE",132,0.029280173551574144,""
"IN_STRONGLY_CONNECTED_COMPONENT",131,0.029058354054971307,""
"CONTAINS_VALUE",128,0.028392895565162807,""
"HAS",117,0.025952881102531626,""
"HAS_ARGUMENT",102,0.02262558865348911,""
"CALLS",99,0.021960130163680605,""
"MEMBER",96,0.021294671673872105,""
"PARENT",96,0.021294671673872105,""
"COPIES",80,0.017745559728226754,""
"COPY_OF",44,0.009760057850524714,""
"EXTENDS",37,0.008207321374304874,""
"DECLARES_ENGINE",33,0.007320043387893536,""
"REQUIRES_CONCEPT",28,0.006210945904879363,""
"DECLARES_PEER_DEPENDENCY",27,0.005989126408276529,""
"DESCRIBED_BY_GETTER",17,0.0037709314422481846,""
"HAS_EXPORT",15,0.003327292449042516,""
"CONTAINS_PROJECT",11,0.0024400144626311785,""
"HAS_CONFIG",11,0.0024400144626311785,""
"HAS_ROOT",11,0.0024400144626311785,""
"IN_REPOSITORY",11,0.0024400144626311785,""
"HAS_BUG_TRACKER",9,0.0019963754694255096,""
"INCLUDES_CONCEPT",4,0.0008872779864113377,""
"HAS_BINARY",3,0.0006654584898085033,""
"HAS_HEAD",2,0.00044363899320566886,""
"DESCRIBED_BY_SETTER",1,0.00022181949660283443,""
"HAS_BRANCH",1,0.00022181949660283443,""
"IMPLEMENTS",1,0.00022181949660283443,""
