"filesPerCommit","commitCount","Source Cypher File: GitLog/List_git_files_per_commit_distribution.cypher"
1,6327,""
2,2609,""
3,1214,""
4,799,""
5,552,""
6,401,""
7,323,""
8,264,""
9,195,""
10,180,""
11,149,""
12,130,""
13,148,""
14,166,""
15,207,""
16,96,""
17,88,""
18,85,""
19,104,""
20,84,""
21,59,""
22,84,""
23,50,""
24,53,""
25,62,""
26,46,""
27,48,""
28,37,""
29,42,""
30,34,""
31,27,""
32,31,""
33,27,""
34,23,""
35,29,""
36,31,""
37,22,""
38,22,""
39,22,""
40,37,""
41,18,""
42,21,""
43,28,""
44,28,""
45,20,""
46,23,""
47,15,""
48,18,""
49,16,""
50,14,""
51,15,""
52,15,""
53,19,""
54,17,""
55,16,""
56,10,""
57,23,""
58,21,""
59,17,""
60,7,""
61,8,""
62,12,""
63,14,""
64,14,""
65,13,""
66,13,""
67,9,""
68,10,""
69,9,""
70,13,""
71,12,""
72,6,""
73,9,""
74,9,""
75,8,""
76,8,""
77,8,""
78,6,""
79,9,""
80,16,""
81,5,""
82,12,""
83,16,""
84,12,""
85,7,""
86,10,""
87,6,""
88,6,""
89,3,""
90,5,""
91,8,""
92,17,""
93,7,""
94,9,""
95,11,""
96,10,""
97,6,""
98,5,""
99,9,""
100,7,""
101,7,""
102,3,""
103,7,""
104,6,""
105,9,""
106,8,""
107,2,""
108,3,""
109,11,""
110,8,""
111,4,""
112,4,""
113,8,""
114,10,""
115,2,""
116,5,""
117,4,""
118,6,""
119,5,""
120,8,""
121,5,""
122,4,""
123,2,""
125,5,""
126,2,""
127,3,""
128,8,""
129,5,""
130,2,""
131,4,""
132,2,""
133,4,""
134,2,""
135,2,""
136,2,""
138,2,""
139,4,""
140,5,""
141,1,""
142,5,""
143,2,""
144,2,""
145,4,""
146,3,""
147,1,""
148,4,""
149,5,""
150,7,""
151,3,""
152,4,""
153,6,""
154,5,""
155,2,""
156,1,""
157,2,""
158,3,""
159,2,""
160,3,""
161,2,""
162,1,""
163,6,""
164,1,""
165,1,""
166,1,""
167,2,""
169,1,""
170,2,""
171,1,""
172,1,""
173,2,""
174,2,""
175,1,""
176,5,""
177,2,""
179,3,""
180,4,""
181,5,""
182,3,""
183,3,""
184,3,""
186,4,""
187,2,""
188,1,""
189,1,""
190,2,""
191,1,""
192,1,""
193,4,""
194,3,""
195,1,""
196,3,""
197,2,""
198,1,""
199,2,""
201,1,""
202,1,""
203,1,""
204,2,""
205,2,""
206,3,""
207,5,""
208,1,""
209,3,""
210,2,""
211,4,""
212,2,""
213,1,""
215,2,""
216,3,""
217,5,""
218,1,""
219,1,""
221,3,""
222,1,""
225,3,""
227,2,""
229,1,""
230,1,""
231,1,""
232,1,""
233,1,""
234,2,""
236,3,""
237,1,""
238,4,""
239,2,""
240,1,""
241,3,""
244,1,""
245,2,""
246,2,""
247,1,""
248,3,""
251,1,""
255,1,""
256,1,""
257,1,""
258,1,""
260,1,""
261,3,""
262,1,""
263,2,""
270,3,""
274,3,""
276,1,""
277,1,""
278,1,""
279,1,""
280,2,""
281,2,""
282,1,""
284,4,""
286,1,""
287,2,""
288,2,""
292,2,""
293,2,""
294,3,""
296,2,""
298,1,""
299,3,""
302,4,""
303,1,""
304,1,""
306,1,""
307,1,""
308,1,""
309,1,""
311,1,""
314,2,""
315,1,""
317,1,""
318,1,""
319,2,""
321,2,""
322,2,""
324,1,""
325,2,""
327,3,""
333,1,""
334,2,""
335,2,""
336,1,""
338,1,""
340,1,""
341,1,""
343,2,""
345,1,""
347,1,""
349,1,""
350,1,""
353,1,""
358,1,""
359,2,""
369,1,""
371,2,""
372,1,""
373,2,""
375,2,""
381,1,""
383,2,""
387,1,""
391,3,""
392,2,""
393,2,""
396,1,""
400,1,""
401,1,""
408,1,""
411,1,""
413,1,""
418,2,""
422,1,""
428,1,""
429,1,""
431,1,""
432,2,""
434,2,""
436,1,""
438,3,""
441,1,""
443,1,""
444,1,""
445,1,""
447,1,""
449,1,""
455,1,""
456,1,""
457,2,""
474,1,""
475,1,""
477,1,""
489,1,""
497,1,""
506,1,""
507,1,""
508,1,""
519,1,""
520,1,""
521,1,""
522,1,""
534,1,""
537,2,""
538,1,""
539,1,""
546,1,""
552,1,""
