"fromMemberName","toMemberName","fromIncomingDependencies","fromOutgoingDependencies","toIncomingDependencies","toOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_10d_Bridges_Stream.cypher"
"io.axoniq.framework.springboot.service.connection.AxonServerConnectionDetails","io.axoniq.framework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory",4,0,0,1,""
"io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration","io.axoniq.framework.springboot.service.connection.AxonServerConnectionDetails",2,12,4,0,""
"org.axonframework.modelling.SimpleStateManager","org.axonframework.modelling.LoadedEntityNotOfExpectedTypeException",1,10,1,0,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent","org.axonframework.modelling.StateEvolvingException",1,17,1,0,""
"org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolver","org.axonframework.modelling.annotation.TargetEntityId",3,6,1,0,""
"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration","io.axoniq.framework.springboot.PostgresqlProperties",1,3,1,0,""
"org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver","org.axonframework.eventsourcing.annotation.EventCriteriaBuilder",2,12,1,0,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityModelRoutingKeyMatcher","org.axonframework.modelling.entity.annotation.UnknownRoutingKeyException",2,8,1,0,""
"org.axonframework.modelling.PropertyBasedEntityIdResolver","org.axonframework.modelling.annotation.TargetEntityIdMemberMismatchException",1,8,1,0,""
"org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver","org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver$TagResolutionException",1,7,1,0,""
"org.axonframework.test.matchers.FieldFilter","org.axonframework.test.matchers.NonStaticFieldsFilter",9,0,0,1,""
"org.axonframework.common.jdbc.ConnectionProvider","org.axonframework.common.jdbc.DataSourceConnectionProvider",2,1,0,1,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory","org.axonframework.eventsourcing.annotation.reflection.EntityCreator",3,20,1,0,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory","org.axonframework.eventsourcing.annotation.reflection.InjectEntityId",3,20,1,0,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore$ProcessAndSegmentId",1,11,1,0,""
"org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder","org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter",1,6,1,0,""
"org.axonframework.messaging.core.unitofwork.UnitOfWorkConfiguration","org.axonframework.common.DirectExecutor",3,2,1,0,""
"org.axonframework.conversion.ContentTypeConverter","org.axonframework.conversion.converter.StringToByteArrayConverter",19,0,0,1,""
"org.axonframework.conversion.ContentTypeConverter","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",19,0,0,1,""
"org.axonframework.conversion.ContentTypeConverter","org.axonframework.conversion.converter.ByteArrayToStringConverter",19,0,0,1,""
"org.axonframework.messaging.core.annotation.HasHandlerAttributes","org.axonframework.messaging.core.annotation.MessageHandlerTimeout",6,0,0,1,""
"org.axonframework.messaging.core.QueueMessageStream","org.axonframework.messaging.core.QueueMessageStream$State",1,7,1,0,""
"org.axonframework.messaging.core.timeout.AxonTimeLimitedTask","org.axonframework.messaging.core.timeout.AxonTimeoutException",2,2,1,0,""
"org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay","org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay",2,1,0,1,""
"org.axonframework.messaging.eventhandling.annotation.EventHandler","org.axonframework.eventsourcing.annotation.EventSourcingHandler",3,2,0,1,""
