"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabels","numberOfUsingPackages","Source Cypher File: Internal_Dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","Type,File,Java,ByteCode,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation5,Mark4TypeLouvainCommunity3,Mark4TypeLeidenCommunity4,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut10,Mark4TypeHDBSCAN-1",58,""
"org.axonframework.common.annotation.Internal","Internal","Type,File,Java,ByteCode,Annotation,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity6,Mark4TypeLeidenCommunity7,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut76,Mark4TypeHDBSCAN-1",51,""
"org.axonframework.messaging.core.Message","Message","Type,File,Java,ByteCode,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation6,Mark4TypeLouvainCommunity1,Mark4TypeLeidenCommunity1,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut12,Mark4TypeHDBSCAN49",46,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","Type,File,Java,ByteCode,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation2,Mark4TypeLouvainCommunity7,Mark4TypeLeidenCommunity8,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut65,Mark4TypeHDBSCAN29",44,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","Type,File,Java,ByteCode,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity2,Mark4TypeLeidenCommunity2,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut2,Mark4TypeHDBSCAN-1",35,""
"org.axonframework.messaging.core.MessageStream","MessageStream","Type,File,Java,ByteCode,Interface,GenericDeclaration,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation11,Mark4TypeLouvainCommunity2,Mark4TypeLeidenCommunity9,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut36,Mark4TypeHDBSCAN50",35,""
"org.axonframework.messaging.core.MessageType","MessageType","Type,File,Java,ByteCode,Record,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation6,Mark4TypeLouvainCommunity1,Mark4TypeLeidenCommunity1,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut97,Mark4TypeHDBSCAN-1",30,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","Type,File,Java,ByteCode,Record,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation2,Mark4TypeLouvainCommunity0,Mark4TypeLeidenCommunity3,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut1,Mark4TypeHDBSCAN136",30,""
"org.axonframework.common.configuration.Configuration","Configuration","Type,File,Java,ByteCode,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation8,Mark4TypeLouvainCommunity5,Mark4TypeLeidenCommunity6,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut0,Mark4TypeHDBSCAN-1",28,""
"org.axonframework.common.FutureUtils","FutureUtils","Type,File,Java,ByteCode,Class,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation5,Mark4TypeLouvainCommunity4,Mark4TypeLeidenCommunity5,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut60,Mark4TypeHDBSCAN103",28,""
