"fullDependentTypeName","declaredMethods","calledMethodNames","calledMethods","callerTypes","Source Cypher File: Internal_Dependencies/Candidates_for_Interface_Segregation.cypher"
"org.axonframework.messaging.core.unitofwork.ProcessingContext",32,"computeResourceIfAbsent",1,7,""
"org.axonframework.common.configuration.ComponentDefinition$ComponentCreator",17,"createComponent",1,5,""
"org.axonframework.messaging.core.MessageStream$Entry",7,"message",1,5,""
"org.axonframework.messaging.commandhandling.CommandBus",6,"dispatch",1,5,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",32,"withResource",1,4,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"timestamp,identifier",2,4,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"timestamp",1,4,""
"org.axonframework.messaging.core.MessageStream$Empty",44,"cast",1,3,""
"org.axonframework.messaging.core.DelayedMessageStream",42,"create",1,3,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"identifier",1,3,""
"org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember",13,"handleSync",1,3,""
"org.axonframework.common.configuration.AbstractComponent",24,"describeTo",1,2,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",24,"execute",1,2,""
"org.axonframework.test.fixture.AxonTestThenMessage",22,"exception,exceptionSatisfies",3,2,""
"org.axonframework.messaging.commandhandling.CommandMessage",20,"routingKey,priority",2,2,""
"org.axonframework.messaging.commandhandling.CommandMessage",19,"andMetadata",1,2,""
"org.axonframework.messaging.commandhandling.CommandMessage",19,"withConvertedPayload",1,2,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"andMetadata",1,2,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"withConvertedPayload",1,2,""
"org.axonframework.messaging.eventhandling.annotation.EventHandlingMember",13,"eventName",1,2,""
"org.axonframework.messaging.eventstreaming.EventCriterion",12,"tags",1,2,""
"org.axonframework.messaging.eventstreaming.OrEventCriteria",12,"or",1,2,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodel",11,"forSuperType",1,2,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",11,"entityType",1,2,""
"org.axonframework.eventsourcing.eventstore.EventStore",9,"transaction",1,2,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",9,"unwrapLowerBound",1,2,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken",9,"get",1,2,""
"org.axonframework.messaging.core.MessageStream$Entry",7,"map",1,2,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext",45,"whenComplete,isCompleted,commit,isError,on,isStarted,isCommitted,onError",8,1,""
"org.axonframework.messaging.core.EmptyMessageStream",44,"instance",1,1,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedMessageStream",43,"hasNextAvailable,isCompleted",2,1,""
