"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-test-5.0.2.jar",5,73,1,3,""
"axon-update-5.0.2.jar",5,23,1,1,""
"axon-spring-boot-autoconfigure-5.0.2.jar",7,72,0,7,""
"axon-messaging-5.0.2.jar",57,570,7,2,""
"axon-conversion-5.0.2.jar",4,30,4,1,""
"axon-metrics-micrometer-5.0.2.jar",2,13,0,2,""
"axon-modelling-5.0.2.jar",7,93,2,3,""
"axon-eventsourcing-5.0.2.jar",8,104,3,4,""
"axon-server-connector-5.0.2.jar",5,72,1,4,""
"axon-common-5.0.2.jar",15,156,10,0,""
"axon-tracing-opentelemetry-5.0.2.jar",1,5,0,2,""
