"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2719,1080,1216,"/axon-spring-boot-autoconfigure-4.12.1.jar uses /axon-configuration-4.12.1.jar,/axon-server-connector-4.12.1.jar uses /axon-configuration-4.12.1.jar,/org/axonframework/config/UpdateCheckerConfigurerModule.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/config/DefaultConfigurer.class uses /org/axonframework/config/ConfigurerModule.class",""
1,95,85,41,"/org/axonframework/test/saga uses /org/axonframework/test,/org/axonframework/test/deadline uses /org/axonframework/test,/org/axonframework/test/aggregate uses /org/axonframework/test,/org/axonframework/test/eventscheduler uses /org/axonframework/test",""
2,2583,786,487,"/org/axonframework/test/saga/FixtureExecutionResultImpl.class uses /org/axonframework/test/deadline/DeadlineManagerValidator.class,/org/axonframework/test/aggregate/ResultValidatorImpl.class uses /org/axonframework/test/deadline/DeadlineManagerValidator.class,/org/axonframework/test/aggregate/AggregateTestFixture.class uses /org/axonframework/test/deadline/StubDeadlineManager.class,/org/axonframework/test/aggregate/ResultValidatorImpl.class uses /org/axonframework/test/deadline/StubDeadlineManager.class",""
4,2655,460,562,"/org/axonframework/springboot/autoconfig/AxonAutoConfiguration.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/springboot/autoconfig/InfraConfiguration.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/springboot/autoconfig/AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/springboot/autoconfig/AxonTracingAutoConfiguration.class uses /org/axonframework/config/ConfigurerModule.class",""
