"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-server-connector-5.0.3","AxonServerRegistration","org.axonframework.axonserver.connector.AxonServerRegistration",1,0.9170351289694741,1,""
"axon-server-connector-5.0.3","QueryResponseMessageStream","org.axonframework.axonserver.connector.query.QueryResponseMessageStream",1,0.9015682269437403,2,""
"axon-messaging-5.0.3","CommandBusConnector$Handler","org.axonframework.messaging.commandhandling.distributed.CommandBusConnector$Handler",1,0.8887118743529223,3,""
"axon-conversion-5.0.3","ObjectNodeToJsonNodeConverter","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,0.8074223366014701,4,""
"axon-common-5.0.3","SimpleEntityManagerProvider","org.axonframework.common.jpa.SimpleEntityManagerProvider",1,0.8000189165468542,5,""
"axon-messaging-5.0.3","AxonTimeoutException","org.axonframework.messaging.core.timeout.AxonTimeoutException",1,0.7871010242668147,6,""
"axon-messaging-5.0.3","DelegatingMessageConverter","org.axonframework.messaging.core.conversion.DelegatingMessageConverter",1,0.7479340588463512,7,""
"axon-conversion-5.0.3","ObjectNodeToJsonNodeConverter","org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter",0.9938673789726373,0.8074223366014701,8,""
"axon-messaging-5.0.3","AxonTaskJanitor","org.axonframework.messaging.core.timeout.AxonTaskJanitor",0.9933104055602405,0.7871010242668147,9,""
"axon-messaging-5.0.3","DelegatingCommandBusConnector","org.axonframework.messaging.commandhandling.distributed.DelegatingCommandBusConnector",0.9904625393111742,0.8887118743529223,10,""
