"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPotentialOverEngineerOrIsolated.cypher"
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$1","AggregateBasedJpaEventStorageEngine$1","axon-eventsourcing-5.0.3",1,0.15226833747309707,3,1,2,""
"org.axonframework.common.configuration.DefaultComponentRegistry$1","DefaultComponentRegistry$1","axon-common-5.0.3",1,0.15336160822971773,3,1,2,""
"org.axonframework.common.configuration.DuplicateModuleRegistrationException","DuplicateModuleRegistrationException","axon-common-5.0.3",1,0.15336160822971773,2,1,1,""
"org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException","WrongPolymorphicEntityTypeException","axon-modelling-5.0.3",1,0.15381828370727121,2,1,1,""
"org.axonframework.messaging.eventhandling.NoHandlerForEventException","NoHandlerForEventException","axon-messaging-5.0.3",1,0.1545200876661593,2,1,1,""
"org.axonframework.messaging.core.sequencing.HierarchicalSequencingPolicy","HierarchicalSequencingPolicy","axon-messaging-5.0.3",1,0.1545200876661593,4,1,3,""
"org.axonframework.modelling.RepositoryAlreadyRegisteredException","RepositoryAlreadyRegisteredException","axon-modelling-5.0.3",1,0.15471359671522625,2,1,1,""
"org.axonframework.messaging.core.DelayedMessageStream$Empty","DelayedMessageStream$Empty","axon-messaging-5.0.3",1,0.1549682034491211,4,1,3,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$NoToken","Coordinator$NoToken","axon-messaging-5.0.3",1,0.15515841841365913,3,2,1,""
"org.axonframework.update.detection.KotlinVersion","KotlinVersion","axon-update-5.0.3",1,0.15543907241753147,2,1,1,""
"org.axonframework.messaging.commandhandling.gateway.FutureCommandResult","FutureCommandResult","axon-messaging-5.0.3",1,0.1558271297117518,3,1,2,""
